osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,junction,bridge,access
232640027,False,Strada Jiului,residential,50,True,4.154,"LINESTRING (23.1584969 44.899879, 23.158447 44.8998911)",,,,,
232640027,False,Strada Jiului,residential,50,False,73.385,"LINESTRING (23.1584969 44.899879, 23.1592664 44.8996536, 23.159358 44.899627)",,,,,
30418136,False,Strada Muncii,residential,50,False,41.659,"LINESTRING (23.164102 44.8982128, 23.1643586 44.8985404)",,,,,
30418136,False,Strada Muncii,residential,50,True,24.512,"LINESTRING (23.164102 44.8982128, 23.1639574 44.8980176)",,,,,
399859425,False,Strada Jiului,residential,50,True,262.81,"LINESTRING (23.164102 44.8982128, 23.1626885 44.8986403, 23.1624177 44.8987225, 23.1615753 44.8989802, 23.1614577 44.8990162, 23.1610335 44.899141)",,,,,
162838031,False,Strada Tineretului,residential,RO:urban,False,51.456,"LINESTRING (23.1593022 44.8960325, 23.159904 44.8958525)",,,,,
162838031,False,Strada Tineretului,residential,RO:urban,True,87.243,"LINESTRING (23.1593022 44.8960325, 23.158276 44.8963277)",,,,,
232639966,True,,tertiary,,False,40.86,"LINESTRING (23.1573723 44.8999013, 23.1575447 44.8999111, 23.1576445 44.899911, 23.1577447 44.8999144, 23.1578118 44.8999182, 23.1578901 44.8999207)",,,,,
232640027,False,Strada Jiului,residential,50,False,4.154,"LINESTRING (23.158447 44.8998911, 23.1584969 44.899879)",,,,,
232640067,True,,residential,RO:urban,False,36.301,"LINESTRING (23.158447 44.8998911, 23.1582617 44.8999527, 23.1581511 44.9000156, 23.1580678 44.9000711)",,,,,
45876645,False,Strada Plopilor,residential,50,False,169.437,"LINESTRING (23.1628049 44.8949281, 23.1637074 44.8960333, 23.1638689 44.8962522)",,,,,
219273619,False,Strada Tineretului,residential,RO:urban,False,95.901,"LINESTRING (23.1628049 44.8949281, 23.1635326 44.8946365, 23.1638732 44.8945149)",,,,,
219273619,False,Strada Tineretului,residential,RO:urban,True,84.162,"LINESTRING (23.1628049 44.8949281, 23.1620225 44.8952204, 23.1618568 44.8952769)",,,,,
30418136,False,Strada Muncii,residential,50,False,24.512,"LINESTRING (23.1639574 44.8980176, 23.164102 44.8982128)",,,,,
30418136,False,Strada Muncii,residential,50,True,73.14699999999999,"LINESTRING (23.1639574 44.8980176, 23.163774 44.8977792, 23.1635004 44.897445)",,,,,
"[45876645, 219321751]",False,"['Strada Plopilor', 'Aleea Creșei']",residential,50,True,264.819,"LINESTRING (23.1639574 44.8980176, 23.1649036 44.897665, 23.1649477 44.8976251, 23.1649336 44.8975772, 23.1638689 44.8962522)",,,,,
30418136,False,Strada Muncii,residential,50,False,33.847,"LINESTRING (23.1628888 44.896662, 23.1630941 44.8969294)",,,,,
30418136,False,Strada Muncii,residential,50,True,94.41600000000001,"LINESTRING (23.1628888 44.896662, 23.1624007 44.8960464, 23.1622976 44.8959234)",,,,,
219274672,False,Strada Vulcan,residential,50,True,89.662,"LINESTRING (23.1628888 44.896662, 23.1632053 44.8965214, 23.1637901 44.8962839, 23.1638689 44.8962522)",,,,,
399859425,False,Strada Jiului,residential,50,True,40.563,"LINESTRING (23.1610335 44.899141, 23.1605569 44.8992792)",,,,,
219321765,False,Strada Prieteniei,residential,50,True,101.071,"LINESTRING (23.1610335 44.899141, 23.1606244 44.8984099, 23.1605607 44.898296)",,,,,
399859425,False,Strada Jiului,residential,50,False,262.81,"LINESTRING (23.1610335 44.899141, 23.1614577 44.8990162, 23.1615753 44.8989802, 23.1624177 44.8987225, 23.1626885 44.8986403, 23.164102 44.8982128)",,,,,
30418136,False,Strada Muncii,residential,50,True,65.66,"LINESTRING (23.1635004 44.897445, 23.1630941 44.8969294)",,,,,
30418136,False,Strada Muncii,residential,50,False,73.14699999999999,"LINESTRING (23.1635004 44.897445, 23.163774 44.8977792, 23.1639574 44.8980176)",,,,,
30418127,True,Strada Prieteniei,residential,50,False,193.348,"LINESTRING (23.1605607 44.898296, 23.1601369 44.8975664, 23.1601262 44.8975467, 23.1596546 44.8966801)",,,,,
219271480,False,Strada Florilor,residential,50,False,82.311,"LINESTRING (23.1605607 44.898296, 23.1607109 44.898258, 23.1615331 44.8980251)",,,,,
219321765,False,Strada Prieteniei,residential,50,False,101.071,"LINESTRING (23.1605607 44.898296, 23.1606244 44.8984099, 23.1610335 44.899141)",,,,,
219271480,False,Strada Florilor,residential,50,True,31.48,"LINESTRING (23.1619042 44.89792, 23.1615331 44.8980251)",,,,,
219321759,True,Strada Florilor,residential,50,False,136.372,"LINESTRING (23.1619042 44.89792, 23.1627057 44.8976815, 23.1635004 44.897445)",,,,,
219321763,False,,tertiary,,False,43.04900000000001,"LINESTRING (23.1580555 44.9008533, 23.1580585 44.9007883, 23.1580612 44.9007161, 23.1580505 44.9006477, 23.158029 44.9005869, 23.1580102 44.9005432, 23.1579888 44.9004721)",DJ674B,,,,
667628932,True,,residential,50,False,15.516,"LINESTRING (23.164631 44.898593, 23.1647218 44.8985743, 23.1648207 44.8985554)",,1,,,
219273600,False,Strada Constructorilor,residential,50,True,12.134,"LINESTRING (23.1649739 44.8988819, 23.1650519 44.8987878)",,2,,,
219273602,False,Strada Constructorilor,residential,50,False,28.977,"LINESTRING (23.1649739 44.8988819, 23.1648656 44.8990009, 23.1648066 44.8990636, 23.1647789 44.8991026)",,2,,,
667628930,True,,residential,50,False,30.751,"LINESTRING (23.1649739 44.8988819, 23.1648914 44.8989188, 23.1647957 44.8989322, 23.1646995 44.8989203, 23.1646158 44.8988847)",,1,,,
219273612,False,Strada Constructorilor,residential,50,True,88.46199999999999,"LINESTRING (23.1676819 44.8977146, 23.1672984 44.8978229, 23.1666386 44.8980091)",,2,,,
219274675,False,Aleea Constructorilor,residential,50,True,457.435,"LINESTRING (23.1676819 44.8977146, 23.1676042 44.8975949, 23.1673279 44.8971389, 23.1670945 44.8967741, 23.1669577 44.8965879, 23.1668692 44.8964815, 23.1666386 44.8962174, 23.1662282 44.8957823, 23.1661489 44.8956992, 23.1660941 44.8956417, 23.1657937 44.8953111, 23.1652331 44.8946042, 23.1648576 44.8941292)",,2,,,
219273604,True,,residential,50,False,15.248999999999999,"LINESTRING (23.1618568 44.8952769, 23.1618804 44.8952958, 23.1618938 44.8953209, 23.1618948 44.8953417, 23.1618848 44.8953659, 23.1618745 44.8953776, 23.1618484 44.8953948)",,,roundabout,,
219273619,False,Strada Tineretului,residential,RO:urban,False,84.162,"LINESTRING (23.1618568 44.8952769, 23.1620225 44.8952204, 23.1628049 44.8949281)",,,,,
219273617,True,,residential,50,False,35.587,"LINESTRING (23.1648207 44.8985554, 23.1649166 44.898576, 23.1649951 44.8986203, 23.1650449 44.8986819, 23.1650591 44.8987523, 23.1650519 44.8987878)",,1,,,
219273618,True,,residential,50,False,59.075,"LINESTRING (23.1648207 44.8985554, 23.1649273 44.8985335, 23.1651499 44.8984632, 23.1653055 44.89841, 23.1654289 44.8983682, 23.1655094 44.8983473)",,,,,
219273607,False,Strada 22 Decembrie 1989,residential,50,True,445.43600000000004,"LINESTRING (23.1638732 44.8945149, 23.1640328 44.8947163, 23.1644199 44.8952071, 23.1645035 44.895313, 23.1650936 44.8960483, 23.165673 44.8967874, 23.1658307 44.8969872, 23.1661799 44.8974296, 23.1666386 44.8980091)",,2,,,
