osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,ref
26478653,False,2,Strada Sfatului,tertiary,50,False,202.367,"LINESTRING (24.1789704 45.081235, 24.1793865 45.0811403, 24.1803472 45.0809478, 24.1804125 45.0809323, 24.1804671 45.0809119, 24.1805219 45.0808749, 24.1805445 45.0808323, 24.1805566 45.0807729, 24.1805866 45.0805616, 24.1806542 45.0802225)",,
668325950,False,2,Strada Fagului,residential,50,True,106.503,"LINESTRING (24.1789704 45.081235, 24.1790666 45.0812828, 24.1791985 45.0813659, 24.1792655 45.0814236, 24.1793433 45.0815098, 24.1794425 45.081614, 24.1795019 45.0816535, 24.1795659 45.0816831, 24.1796625 45.0817039, 24.1797376 45.081715, 24.1798442 45.0817203, 24.1800349 45.0817295)",,
"[516761115, 516761116, 216951023]",False,2,Strada Horia Cloșca și Crișan,tertiary,50,True,60.198,"LINESTRING (24.1836125 45.0798255, 24.1835547 45.0797521, 24.1834947 45.0796897, 24.1834697 45.0796707, 24.1834399 45.0796539, 24.1831171 45.0795144, 24.1830422 45.0794823)",yes,
1025470943,False,2,Strada Tudor Vladimirescu,tertiary,50,False,45.697,"LINESTRING (24.1836125 45.0798255, 24.1838318 45.0797316, 24.1841077 45.0796096)",,
1025470944,False,2,Strada Tudor Vladimirescu,tertiary,50,True,116.503,"LINESTRING (24.1836125 45.0798255, 24.1834118 45.0799122, 24.1831099 45.0800427, 24.1830017 45.0800894, 24.1829065 45.0801245, 24.1827929 45.0801605, 24.1826924 45.0801838, 24.1825552 45.0802067, 24.1824001 45.0802235, 24.182268 45.0802264)",,
1025470943,False,2,Strada Tudor Vladimirescu,tertiary,50,False,23.595,"LINESTRING (24.1874826 45.0771528, 24.1876978 45.0770047)",,
1025470943,False,2,Strada Tudor Vladimirescu,tertiary,50,True,46.332,"LINESTRING (24.1874826 45.0771528, 24.1871063 45.0774196, 24.1870669 45.0774485)",,
216946956,False,2,,secondary,50,False,69.75699999999999,"LINESTRING (24.1869019 45.0772705, 24.1874245 45.077059, 24.1874891 45.077037, 24.1875556 45.0770216, 24.18763 45.0770105, 24.1876978 45.0770047)",,DJ649
216946970,False,2,,secondary_link,50,False,29.977000000000004,"LINESTRING (24.1869019 45.0772705, 24.1869908 45.077278, 24.1870554 45.0773041, 24.1870826 45.0773372, 24.1870961 45.0773865, 24.1870669 45.0774485)",,
"[216945464, 516761113, 516761114]",False,2,Strada Pieții,secondary,50,True,123.168,"LINESTRING (24.1869019 45.0772705, 24.1863181 45.0775275, 24.1860109 45.0776584, 24.1855687 45.0778541)",yes,DJ649
216945464,False,2,Strada Pieții,secondary,50,True,62.983,"LINESTRING (24.1855687 45.0778541, 24.1848927 45.078159)",,DJ649
"[216945464, 516761113, 516761114]",False,2,Strada Pieții,secondary,50,False,123.16799999999999,"LINESTRING (24.1855687 45.0778541, 24.1860109 45.0776584, 24.1863181 45.0775275, 24.1869019 45.0772705)",yes,DJ649
