osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,junction,bridge
12118529,True,1,Strada 22 Decembrie,primary,RO:urban,False,32.349,,"LINESTRING (25.3616337 47.3489258, 25.3615002 47.3486493)",,
23580521,False,2,Strada Mihai Eminescu,trunk,RO:urban,False,43.305,DN17,"LINESTRING (25.3616337 47.3489258, 25.3614449 47.3487765, 25.361252 47.3486347)",,
718343054,False,3,Podul Verde,trunk,RO:urban,True,55.925000000000004,DN17,"LINESTRING (25.3616337 47.3489258, 25.3616975 47.3490057, 25.3617189 47.3490437, 25.361751 47.3491114, 25.3617908 47.3492024, 25.3618002 47.349274, 25.3618009 47.3493353, 25.3617946 47.3494074)",,
915753255,True,1,,primary,30,False,32.046,,"LINESTRING (25.3616337 47.3489258, 25.3616196 47.3488781, 25.3616157 47.348835, 25.3616384 47.3487894, 25.3616826 47.3487494, 25.3617457 47.3487235, 25.361816 47.3487155)",roundabout,
39958778,True,1,Strada 22 Decembrie,primary,RO:urban,False,28.834000000000003,,"LINESTRING (25.3614233 47.348457, 25.3615415 47.3485757, 25.361654 47.3486633)",,
"[46772556, 915633421, 915633422, 39997584, 846533402]",False,"['2', '3']",Strada 22 Decembrie,primary,RO:urban,False,317.261,DN17B,"LINESTRING (25.3614233 47.348457, 25.3612842 47.3481898, 25.36116 47.3479814, 25.3610055 47.3477431, 25.3608744 47.3475252, 25.3607771 47.3473594, 25.3606061 47.3470777, 25.3605369 47.3469598, 25.3604433 47.3468038, 25.3600788 47.3462253, 25.3598705 47.345891, 25.3598737 47.3458117)",,yes
26472740,False,2,Strada Unirii,primary,RO:urban,True,5.984,DN17B,"LINESTRING (25.3597918 47.3431476, 25.3597126 47.3431516)",,
26472740,False,2,Strada Unirii,primary,RO:urban,False,54.653000000000006,DN17B,"LINESTRING (25.3597918 47.3431476, 25.3600452 47.3431379, 25.360516 47.3431198)",,
39958458,False,2,Strada Vicilicilor,residential,RO:urban,True,113.40299999999999,,"LINESTRING (25.3597918 47.3431476, 25.3598328 47.3433854, 25.3599445 47.3437899, 25.3600517 47.3441516)",,
48846326,True,1,,trunk_link,RO:urban,False,18.769,,"LINESTRING (25.361252 47.3486347, 25.3615002 47.3486493)",,
23580521,False,2,Strada Mihai Eminescu,trunk,RO:urban,True,43.305,DN17,"LINESTRING (25.361252 47.3486347, 25.3614449 47.3487765, 25.3616337 47.3489258)",,
48798908,True,1,Strada 22 Decembrie,primary_link,RO:urban,False,25.046999999999997,,"LINESTRING (25.361252 47.3486347, 25.3613304 47.3486035, 25.36137 47.3485735, 25.3614012 47.3485356, 25.3614233 47.348457)",,
78010882,False,2,Strada Mihai Eminescu,trunk,RO:urban,False,16.992,DN17,"LINESTRING (25.361252 47.3486347, 25.3611922 47.3486003, 25.3610848 47.3485322)",,
39958287,False,,Strada Miniera,residential,RO:urban,True,66.882,,"LINESTRING (25.3593265 47.3477347, 25.3597639 47.3472113)",,
698830595,False,2,Strada Mihai Eminescu,trunk,RO:urban,False,209.232,DN17,"LINESTRING (25.3593265 47.3477347, 25.3591656 47.3476936, 25.3590181 47.3476615, 25.3588758 47.3476361, 25.3586963 47.3476092, 25.3584442 47.3475856, 25.3578101 47.3475433, 25.3572026 47.3475069, 25.3565865 47.3474762)",,
718343052,False,2,Strada Mihai Eminescu,trunk,RO:urban,True,130.267,DN17,"LINESTRING (25.3593265 47.3477347, 25.3596554 47.3478251, 25.3600123 47.3479451, 25.3602628 47.3480553, 25.3604729 47.3481675, 25.3606228 47.3482536, 25.3607821 47.3483494)",,
26472740,False,2,Strada Unirii,primary,RO:urban,False,91.56299999999999,DN17B,"LINESTRING (25.3586454 47.3435346, 25.3589644 47.3434027, 25.3592751 47.3432699, 25.3593917 47.3432249, 25.3595123 47.3431881, 25.3596125 47.3431658, 25.3597126 47.3431516)",,
