osmid,oneway,lanes,ref,name,highway,maxspeed,access,reversed,length,geometry,bridge,junction,width
300623801,False,2,DJ687C,Strada Mihai Eminescu,secondary,50,yes,False,153.126,"LINESTRING (22.9451803 45.6128833, 22.9445325 45.6127165, 22.9439133 45.6125342, 22.9433619 45.6123574)",,,
300623801,False,2,DJ687C,Strada Mihai Eminescu,secondary,50,yes,True,149.985,"LINESTRING (22.9451803 45.6128833, 22.9461261 45.6130464, 22.9469182 45.6131779, 22.947054 45.6132019)",,,
314764102,False,2,DJ687A,Strada Cimitirului,secondary,50,,True,116.52199999999999,"LINESTRING (22.9451803 45.6128833, 22.9449843 45.6134162, 22.9448667 45.613907)",,,
300623801,False,2,DJ687C,Strada Mihai Eminescu,secondary,50,yes,False,65.275,"LINESTRING (22.9481915 45.6134257, 22.9473862 45.6132605)",,,
222551818,False,2,,Strada Mihai Eminescu,secondary,50,yes,True,336.282,"LINESTRING (22.9481915 45.6134257, 22.9486313 45.6135249, 22.9494386 45.6136843, 22.9498929 45.6137587, 22.9504015 45.6138419, 22.9510265 45.6139376, 22.9516407 45.6140202, 22.9519947 45.614084, 22.9523806 45.6141649)",,,
23544915,True,2,DJ687A,Strada Bisericilor,tertiary,50,yes,False,8.345,"LINESTRING (22.9473862 45.6132605, 22.9474351 45.6131937)",,,
300623801,False,2,DJ687C,Strada Mihai Eminescu,secondary,50,yes,False,26.648,"LINESTRING (22.9473862 45.6132605, 22.947054 45.6132019)",,,
300623801,False,2,DJ687C,Strada Mihai Eminescu,secondary,50,yes,True,65.275,"LINESTRING (22.9473862 45.6132605, 22.9481915 45.6134257)",,,
23544967,True,,,Strada Bisericilor,tertiary,50,yes,False,131.521,"LINESTRING (22.9482586 45.6122459, 22.948285 45.6125507, 22.9481915 45.6134257)",,,
300621681,False,2,DJ687A,Strada Bisericilor,tertiary,50,yes,False,21.249,"LINESTRING (22.9482586 45.6122459, 22.9482828 45.6121637, 22.9482996 45.6120603, 22.9482999 45.6120572)",,,
26243527,False,,,Strada Libertății,tertiary,RO:urban,,False,194.923,"LINESTRING (22.9446527 45.6107493, 22.9454677 45.6107834, 22.9457052 45.6107837, 22.9459394 45.6107768, 22.9462112 45.6107553, 22.946538 45.610714, 22.9468233 45.6106512, 22.9471107 45.6105647)",,,
26243527,False,,,Strada Libertății,tertiary,RO:urban,,True,44.705,"LINESTRING (22.9446527 45.6107493, 22.9441787 45.6107224, 22.9441223 45.6107261, 22.9440832 45.6107378)",,,
