osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction,bridge,access
223171516,Strada Bartolomeu Băiulescu,residential,50,False,True,57.401,"LINESTRING (25.3143976 45.558735, 25.3143921 45.5586197, 25.3143932 45.5585585, 25.3143977 45.5584911, 25.3144052 45.5584308, 25.3144183 45.5583543, 25.314433 45.5582817, 25.3144508 45.5582217)",,,,,
419663212,Strada Doctor Ioan Șenchea,secondary,30,False,False,48.326,"LINESTRING (25.3143976 45.558735, 25.3143453 45.5587936, 25.314294 45.5588558, 25.3140979 45.5591154)",DJ112H,,,,
"[173871226, 703027533]",Strada Doctor Ioan Șenchea,secondary,"['30', '50']",False,True,359.312,"LINESTRING (25.3143976 45.558735, 25.3144402 45.5587007, 25.3144919 45.5586769, 25.3145613 45.5586581, 25.3146467 45.5586482, 25.3147472 45.5586471, 25.3148873 45.5586526, 25.3150021 45.5586661, 25.315126 45.5586828, 25.3152807 45.5587142, 25.3154635 45.5587588, 25.3159599 45.5589106, 25.316549 45.5590883, 25.3166839 45.5591261, 25.3168785 45.559172, 25.3170539 45.559208, 25.3171642 45.559226, 25.3173831 45.5592579, 25.3176448 45.5592901, 25.318461 45.5593687, 25.3186285 45.5593829, 25.3188052 45.5593949)",DJ112H,2,,,
28699527,Strada Doctor Ion Șenchea,secondary,RO:urban,False,False,25.943,"LINESTRING (25.3140979 45.5591154, 25.3140684 45.5591574, 25.3140406 45.5592048, 25.3140094 45.5592713, 25.313984 45.5593341)",DJ112G;DJ112H,,,,
419663212,Strada Doctor Ioan Șenchea,secondary,30,False,True,48.326,"LINESTRING (25.3140979 45.5591154, 25.314294 45.5588558, 25.3143453 45.5587936, 25.3143976 45.558735)",DJ112H,,,,
28699013,Strada Avram Iancu,tertiary,RO:urban,False,True,153.63500000000002,"LINESTRING (25.3100995 45.557856, 25.3101536 45.5579848, 25.3102096 45.5580694, 25.3103026 45.5581825, 25.3104093 45.5583073, 25.3105085 45.5584144, 25.3106426 45.5585439, 25.3107472 45.5586397, 25.310825 45.558728, 25.3108813 45.5588181, 25.3109457 45.5589308, 25.310994 45.5590041, 25.3110456 45.5590591)",DJ112G,2,,,
446637388,Strada Avram Iancu,secondary,RO:urban,True,False,65.227,"LINESTRING (25.3100995 45.557856, 25.3100676 45.5577447, 25.310044 45.5576039, 25.3100332 45.5574743, 25.3100244 45.5572729)",DJ112G,2,,,
419663216,Strada Barcului,secondary,RO:urban,True,False,48.13000000000001,"LINESTRING (25.3096931 45.5564132, 25.3097908 45.5564085, 25.3098609 45.5563969, 25.3099339 45.5563782, 25.3101241 45.556316, 25.3102016 45.5563015, 25.3102819 45.5562997)",DJ112G,,,,
28699013,Strada Avram Iancu,tertiary,RO:urban,False,False,216.97699999999998,"LINESTRING (25.3120523 45.5607222, 25.3120019 45.5605917, 25.3119612 45.5604882, 25.311931 45.5603994, 25.3119094 45.5603121, 25.3118949 45.5602151, 25.3118695 45.5599217, 25.3118497 45.5597027, 25.311835 45.559574, 25.3118098 45.5594907, 25.3117718 45.5594247, 25.311686 45.5593534, 25.3115975 45.5593064, 25.3114661 45.5592501, 25.311289 45.5591862, 25.3111844 45.5591449, 25.3111147 45.5591093, 25.3110456 45.5590591)",DJ112G,2,,,
"[244848793, 292800863]",Strada George Barițiu,tertiary,RO:urban,False,True,184.346,"LINESTRING (25.3120523 45.5607222, 25.3122069 45.5605955, 25.3122704 45.5605384, 25.3123329 45.5604782, 25.3125922 45.5602, 25.3126785 45.5601186, 25.3127984 45.5600266, 25.3129331 45.5599389, 25.3130677 45.5598677, 25.3131778 45.5598175, 25.313426 45.5597236, 25.3136648 45.5596401, 25.3137371 45.5596026)",DC50A,2,,,
