osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,junction
24239091,False,2,Strada Kossuth Lajos,secondary,RO:urban,True,372.175,"LINESTRING (25.2945007 46.3037923, 25.2943084 46.3036681, 25.2912108 46.3016626, 25.2909746 46.3014972)",,,
713009341,True,,Piața Primăriei,primary,50,False,82.717,"LINESTRING (25.2945007 46.3037923, 25.2951915 46.3033478, 25.2952904 46.3032866)",DN13A,,
24239091,False,2,Strada Kossuth Lajos,secondary,RO:urban,False,372.175,"LINESTRING (25.2909746 46.3014972, 25.2912108 46.3016626, 25.2943084 46.3036681, 25.2945007 46.3037923)",,,
27528831,False,,Strada Morii,residential,RO:urban,True,116.078,"LINESTRING (25.2909746 46.3014972, 25.2908995 46.3015463, 25.2904739 46.3018458, 25.290387 46.3019063, 25.2900231 46.3023005)",,,
27534523,False,,Strada Stejarului,residential,RO:urban,False,109.037,"LINESTRING (25.2909746 46.3014972, 25.2910326 46.3014488, 25.2911657 46.3013376, 25.2913508 46.3012125, 25.291454 46.3011486, 25.2915694 46.3010856, 25.2916512 46.3010457, 25.2920844 46.3009114)",,,
110943716,False,,Strada Târgului,residential,RO:urban,False,91.586,"LINESTRING (25.2997804 46.3082914, 25.2995966 46.3083559, 25.2995278 46.3083835, 25.2990932 46.3085574, 25.2987416 46.3086954)",,,
1060443689,False,2,Strada Bethlen Gábor,primary,50,False,121.657,"LINESTRING (25.2997804 46.3082914, 25.29971 46.3081547, 25.2996932 46.3081234, 25.2993131 46.3073963, 25.2992431 46.3072622)",DN13A,,
449297630,False,2,Strada Insulei,secondary,RO:urban,True,70.159,"LINESTRING (25.2900723 46.3029446, 25.2906126 46.3034533)",,,
27534445,False,,Strada Teilor,residential,RO:urban,True,322.668,"LINESTRING (25.2900723 46.3029446, 25.2903956 46.3027876, 25.2904536 46.3027692, 25.2905095 46.3027657, 25.2905708 46.3027734, 25.2909228 46.3028782, 25.2914842 46.3030478, 25.2915886 46.3030918, 25.291693 46.3031454, 25.291798 46.303206, 25.2919512 46.3033106, 25.2921375 46.3034663, 25.2923456 46.3036757, 25.2923999 46.3037662, 25.2924071 46.3037962, 25.2924062 46.3038439, 25.2924053 46.3038952, 25.2923914 46.3039501, 25.2923561 46.3040272, 25.2922962 46.3040887, 25.2917569 46.3044267)",,,
449297630,False,2,Strada Insulei,secondary,RO:urban,False,51.294,"LINESTRING (25.2900723 46.3029446, 25.2898782 46.302772, 25.2898326 46.3027244, 25.289789 46.3026603, 25.2897287 46.3025533)",,,
24239121,False,,Strada Kornis Ferenc,residential,RO:urban,True,171.259,"LINESTRING (25.2987416 46.3086954, 25.2984111 46.3084242, 25.2983169 46.3083245, 25.2982367 46.3082163, 25.2979451 46.307696, 25.2978744 46.3075863, 25.2977598 46.3074341, 25.2976828 46.3073548)",,,
110943716,False,,Strada Târgului,residential,RO:urban,True,91.58600000000001,"LINESTRING (25.2987416 46.3086954, 25.2990932 46.3085574, 25.2995278 46.3083835, 25.2995966 46.3083559, 25.2997804 46.3082914)",,,
"[27533018, 174897814, 42300327]",True,1,"['Strada Tompa László', 'Strada Petőfi Sándor', 'Strada Tompa László;Orban Balazs']",primary,RO:urban,False,16.337,"LINESTRING (25.294023 46.3063865, 25.2939798 46.3063344, 25.293918 46.3062692, 25.2939103 46.306262)",DN13A,yes,
27533084,True,,Strada Cetății,residential,RO:urban,False,91.297,"LINESTRING (25.2946578 46.3049756, 25.2940653 46.3044188, 25.2939574 46.3043123)",,,
40925587,False,,Strada Petőfi Sándor,residential,RO:urban,True,106.781,"LINESTRING (25.2946578 46.3049756, 25.2942812 46.3053737, 25.2941202 46.3055781, 25.2940768 46.3056239, 25.2940403 46.3056643, 25.2940152 46.3056892, 25.2939864 46.3057137, 25.293951 46.3057406, 25.2939205 46.3057569, 25.2938891 46.3057689)",,,
27534937,False,,Strada Orbán Balázs,secondary,RO:urban,False,133.706,"LINESTRING (25.2923124 46.3076265, 25.2920897 46.3079164, 25.29156 46.3087104)",,,
