osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,access,ref,junction
13683321,Strada Mărășești,residential,50,False,False,95.498,,"LINESTRING (28.6016492 44.0578599, 28.6028442 44.0578497)",,,
13947566,Strada Doctor Ion Tătăranu,residential,50,False,True,132.141,2,"LINESTRING (28.6016492 44.0578599, 28.6012239 44.0590083)",,,
13683321,Strada Mărășești,residential,50,False,True,196.496,,"LINESTRING (28.6016492 44.0578599, 28.6014952 44.0578787, 28.6013582 44.0579153, 28.5995142 44.058719)",,,
13947566,Strada Doctor Ion Tătăranu,residential,50,False,False,165.503,2,"LINESTRING (28.6016492 44.0578599, 28.6018686 44.0573214, 28.6018941 44.0572383, 28.6019993 44.0563995)",,,
13683321,Strada Mărășești,residential,50,False,True,33.936,,"LINESTRING (28.6048196 44.0577549, 28.6047767 44.0577865, 28.6046989 44.0578, 28.6044168 44.057818)",,,
13683428,Strada Costache Negri,residential,50,False,True,154.63400000000001,,"LINESTRING (28.6048196 44.0577549, 28.6048294 44.0577025, 28.6044904 44.0568421, 28.6043362 44.0564126)",,,
498814737,,living_street,30,False,True,29.788,1,"LINESTRING (28.6048196 44.0577549, 28.6049039 44.0577664, 28.6049951 44.0577664, 28.6051882 44.0577433)",destination,,
13947566,Strada Doctor Ion Tătăranu,residential,50,False,False,117.364,2,"LINESTRING (28.6019993 44.0563995, 28.6021185 44.0553475)",,,
13683411,Strada Oituz,residential,50,False,False,94.53,2,"LINESTRING (28.6019993 44.0563995, 28.6030151 44.0564063, 28.6031822 44.056406)",,,
13947566,Strada Doctor Ion Tătăranu,residential,50,False,True,165.50300000000001,2,"LINESTRING (28.6019993 44.0563995, 28.6018941 44.0572383, 28.6018686 44.0573214, 28.6016492 44.0578599)",,,
13683411,Strada Oituz,residential,50,False,False,27.402,2,"LINESTRING (28.6043362 44.0564126, 28.6046791 44.0564146)",,,
13683411,Strada Oituz,residential,50,False,True,78.986,2,"LINESTRING (28.6043362 44.0564126, 28.6034644 44.056408, 28.6033478 44.0564088)",,,
13683428,Strada Costache Negri,residential,50,False,False,154.634,,"LINESTRING (28.6043362 44.0564126, 28.6044904 44.0568421, 28.6048294 44.0577025, 28.6048196 44.0577549)",,,
13683321,Strada Mărășești,residential,50,False,False,34.13,,"LINESTRING (28.60399 44.0578298, 28.6044168 44.057818)",,,
13683321,Strada Mărășești,residential,50,False,True,91.587,,"LINESTRING (28.60399 44.0578298, 28.6028442 44.0578497)",,,
13683579,Strada George Coșbuc,residential,50,False,True,166.13299999999998,,"LINESTRING (28.60399 44.0578298, 28.6034364 44.0566009, 28.6033478 44.0564088)",,,
13683655,Strada Pictor Țuculescu,secondary,50,False,True,146.754,2,"LINESTRING (28.6005589 44.0557931, 28.6003981 44.0558612, 28.5989848 44.0564729)",,DJ383,
289859961,Strada Pictor Țuculescu,secondary,30,True,False,38.376,,"LINESTRING (28.6005589 44.0557931, 28.6008103 44.0555892, 28.6008774 44.0555348)",,DJ383,
289860634,,secondary_link,50,True,False,25.044000000000004,,"LINESTRING (28.6031102 44.0549813, 28.6031628 44.0549482, 28.6031914 44.0549196, 28.6032101 44.054882, 28.60322 44.0548426, 28.6032202 44.0547828)",,,
289921623,Strada Republicii,secondary,50,False,False,39.699,2,"LINESTRING (28.6031102 44.0549813, 28.603298 44.0549931, 28.6034509 44.0550085, 28.6036014 44.0550315)",,DJ383,
"[289859964, 289921623]",Strada Republicii,secondary,"['50', '30']",False,True,76.01400000000001,2,"LINESTRING (28.6031102 44.0549813, 28.6030069 44.0549826, 28.6028891 44.0549868, 28.6026303 44.0550013, 28.6025268 44.0550126, 28.6024807 44.0550187, 28.6023602 44.0550348, 28.6021709 44.055072)",,DJ383,
13683826,Strada Doctor Victor Climescu,tertiary,50,False,False,19.756,2,"LINESTRING (28.6027799 44.0512098, 28.6027257 44.0512571, 28.602689 44.0513097, 28.6026625 44.051364)",,,
13685169,Strada Mihai Eminescu,residential,50,False,False,98.746,,"LINESTRING (28.5967044 44.0538013, 28.5979271 44.0539295)",,,
13685169,Strada Mihai Eminescu,residential,50,False,True,64.256,,"LINESTRING (28.5967044 44.0538013, 28.595909 44.0537167)",,,
379170821,Strada 9 Mai,residential,50,False,False,136.245,,"LINESTRING (28.5967044 44.0538013, 28.5960403 44.0549298)",,,
