osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,junction
167075949,2,DN1,Strada Bobâlna,trunk,RO:urban,False,True,23.205,"LINESTRING (22.399593 47.0584734, 22.3997879 47.0583124)",,,
410102946,1,DN1H,,secondary,RO:urban,True,False,21.48,"LINESTRING (22.399593 47.0584734, 22.3996777 47.0585044, 22.3997389 47.0585364, 22.3997685 47.0585655, 22.3997943 47.0586011)",,,
"[706632776, 1173791222]",2,DN1,Strada Bobâlna,trunk,RO:urban,False,False,69.005,"LINESTRING (22.399593 47.0584734, 22.3993635 47.058622, 22.3991631 47.0587228, 22.3988686 47.0588455)",,,
167075928,,,Strada Târgului,residential,RO:urban,False,True,118.594,"LINESTRING (22.3988686 47.0588455, 22.3988888 47.0590042, 22.3988914 47.0591513, 22.3989424 47.0595314, 22.3989724 47.0599093)",,,
418056019,2,DN1,Strada Bobâlna,trunk,RO:urban,False,False,75.133,"LINESTRING (22.3988686 47.0588455, 22.3980366 47.0591254, 22.3979786 47.0591437)",,,
"[706632776, 1173791222]",2,DN1,Strada Bobâlna,trunk,RO:urban,False,True,69.005,"LINESTRING (22.3988686 47.0588455, 22.3991631 47.0587228, 22.3993635 47.058622, 22.399593 47.0584734)",,,
706621140,2,DN1,Strada 1 Decembrie,trunk,RO:urban,False,False,7.272,"LINESTRING (22.395042 47.0597413, 22.3949461 47.0597443)",,,
"[407714897, 553301470, 1173791223]",2,DN1,Strada Piața Unirii,trunk,RO:urban,False,True,142.654,"LINESTRING (22.395042 47.0597413, 22.3951209 47.0597379, 22.3952715 47.0597352, 22.3955549 47.0597302, 22.3958548 47.0597249, 22.3961512 47.0597126, 22.3964818 47.0596988, 22.3966293 47.0596843, 22.3968918 47.0596514, 22.3969173 47.0596483)",,,
32345918,2,,Strada Salcâmilor,residential,RO:urban,False,True,60.469,"LINESTRING (22.3918532 47.0598821, 22.3916621 47.0604101)",,,
706621140,2,DN1,Strada 1 Decembrie,trunk,RO:urban,False,True,67.71,"LINESTRING (22.3918532 47.0598821, 22.3921273 47.0598808, 22.3927463 47.05986)",,,
26279059,2,DN1H,Strada Avram Iancu,secondary,50,False,False,178.849,"LINESTRING (22.3997987 47.0586871, 22.3998141 47.0587727, 22.3998384 47.0589683, 22.3998846 47.0593006, 22.3997766 47.0601344, 22.3997574 47.0602889)",,,
705795917,1,DN1H,,secondary,RO:urban,True,False,29.130000000000003,"LINESTRING (22.3997987 47.0586871, 22.3997635 47.0586586, 22.3997064 47.0586298, 22.3996517 47.0585793, 22.3996163 47.0585282, 22.399593 47.0584734)",,,
32335254,2,,Strada Bucegi,residential,RO:urban,False,False,10.213,"LINESTRING (22.3996339 47.0612074, 22.3995014 47.0612244)",,,
26279059,2,DN1H,Strada Avram Iancu,secondary,50,False,True,96.318,"LINESTRING (22.3996339 47.0612074, 22.3996244 47.0611868, 22.3996235 47.0611616, 22.3997522 47.0603469)",,,
167075949,2,DN1,Strada Bobâlna,trunk,RO:urban,False,False,23.205,"LINESTRING (22.3997879 47.0583124, 22.399593 47.0584734)",,,
705795916,1,,,secondary_link,,True,False,32.344,"LINESTRING (22.3997879 47.0583124, 22.399774 47.058407, 22.3997677 47.0584563, 22.399771 47.0585159, 22.3997943 47.0586011)",,,
"[706632777, 32346586, 1173791221]",2,DN1,Strada Bobâlna,trunk,RO:urban,False,True,68.07600000000001,"LINESTRING (22.3997879 47.0583124, 22.3999874 47.0581407, 22.4003031 47.0578939, 22.4003634 47.0578424)",yes,,
26279059,2,DN1H,Strada Avram Iancu,secondary,50,False,False,6.461,"LINESTRING (22.3997574 47.0602889, 22.3997522 47.0603469)",,,
26279059,2,DN1H,Strada Avram Iancu,secondary,50,False,True,178.84900000000002,"LINESTRING (22.3997574 47.0602889, 22.3997766 47.0601344, 22.3998846 47.0593006, 22.3998384 47.0589683, 22.3998141 47.0587727, 22.3997987 47.0586871)",,,
32335254,2,,Strada Bucegi,residential,RO:urban,False,True,10.213,"LINESTRING (22.3995014 47.0612244, 22.3996339 47.0612074)",,,
32335242,1,,Strada Teiului,residential,RO:urban,True,False,216.37199999999999,"LINESTRING (22.3995014 47.0612244, 22.3980167 47.0609358, 22.3976649 47.0608304, 22.3975822 47.0607529, 22.3975532 47.0606259, 22.3975497 47.0603746, 22.3975451 47.060218)",,,
421349118,2,,Strada Dâmboviței,residential,RO:urban,False,False,58.79600000000001,"LINESTRING (22.3995014 47.0612244, 22.3994829 47.0612462, 22.3994695 47.0612937, 22.3994621 47.0614105, 22.3994639 47.0617488)",,,
421349115,2,,Strada Bucegi,residential,RO:urban,False,False,204.183,"LINESTRING (22.3994639 47.0617488, 22.3992448 47.0618432, 22.399102 47.061904, 22.3989756 47.0619683, 22.3986038 47.062181, 22.3984976 47.0622312, 22.398418 47.0622539, 22.3983281 47.0622727, 22.3982312 47.0622735, 22.3979138 47.062242, 22.3970257 47.062154)",,,
421349118,2,,Strada Dâmboviței,residential,RO:urban,False,True,58.796,"LINESTRING (22.3994639 47.0617488, 22.3994621 47.0614105, 22.3994695 47.0612937, 22.3994829 47.0612462, 22.3995014 47.0612244)",,,
32335261,2,,Strada Viilor,residential,RO:urban,False,True,32.852,"LINESTRING (22.3947222 47.0619652, 22.3948365 47.0616802)",,,
32345960,2,,Strada Viilor,residential,RO:urban,False,False,197.21699999999998,"LINESTRING (22.3947222 47.0619652, 22.3944842 47.0624508, 22.3944309 47.0625535, 22.3943689 47.0626197, 22.3943116 47.0626476, 22.3942665 47.0626635, 22.3941285 47.0626957, 22.3936102 47.0627262, 22.3931213 47.0627465, 22.3928215 47.0627444)",,,
421349115,2,,Strada Bucegi,residential,RO:urban,False,True,104.417,"LINESTRING (22.3947222 47.0619652, 22.3954239 47.0620152, 22.3960946 47.0620528)",,,
421349115,2,,Strada Bucegi,residential,RO:urban,False,True,71.42,"LINESTRING (22.3960946 47.0620528, 22.3970257 47.062154)",,,
647190132,2,,Strada Rândunicii,residential,RO:urban,False,True,151.598,"LINESTRING (22.3960946 47.0620528, 22.3964174 47.0607073)",,,
32335260,2,,Strada Bucegi,residential,RO:urban,False,True,108.806,"LINESTRING (22.3960946 47.0620528, 22.396 47.0619478, 22.3959215 47.0618761, 22.3957975 47.0618391, 22.3948365 47.0616802)",,,
421349115,2,,Strada Bucegi,residential,RO:urban,False,False,104.417,"LINESTRING (22.3960946 47.0620528, 22.3954239 47.0620152, 22.3947222 47.0619652)",,,
647190132,2,,Strada Rândunicii,residential,RO:urban,False,False,151.598,"LINESTRING (22.3964174 47.0607073, 22.3960946 47.0620528)",,,
