osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,junction,geometry,access
8134468,True,2,DN2;DN3,Bulevardul Carol I,primary,50,False,66.072,,"LINESTRING (26.1027323 44.4354425, 26.1034565 44.4357352)",
218268113,True,4,DN4;DN2;DN3,Piața Universității,primary,50,False,24.227999999999998,circular,"LINESTRING (26.1027323 44.4354425, 26.1027392 44.435494, 26.1027297 44.4355469, 26.1026989 44.4356026, 26.1026515 44.4356433)",
12503470,True,4,DN2;DN3,Bulevardul Carol I,primary,50,False,64.74,,"LINESTRING (26.1034565 44.4357352, 26.1031392 44.4356968, 26.1029686 44.4356747, 26.1028213 44.4356583, 26.1027387 44.4356506, 26.1026515 44.4356433)",
"[229236317, 229825430]",False,6,DN2;DN3,Bulevardul Carol I,primary,50,True,84.422,,"LINESTRING (26.1034565 44.4357352, 26.1035249 44.4357484, 26.1035698 44.435757, 26.1036839 44.4357778, 26.1037582 44.4357913, 26.103948 44.4358246, 26.1044865 44.4359236)",
"[1206972200, 1206972198, 4089366]",False,6,,Bulevardul Regina Elisabeta,primary,60,False,168.16000000000003,,"LINESTRING (26.1016102 44.4353416, 26.1008846 44.4352106, 26.1002925 44.435101, 26.1001761 44.4350781, 26.0997008 44.4349933, 26.0995562 44.4349737)",
12503324,True,3,,Bulevardul Regina Elisabeta,primary,50,False,59.489,,"LINESTRING (26.1016102 44.4353416, 26.1021541 44.4353537, 26.1023591 44.4353582)",
125413587,True,2,,Strada Demetru Ion Dobrescu,tertiary,RO:urban,False,102.808,,"LINESTRING (26.0969961 44.4392315, 26.0971926 44.4392331, 26.0972499 44.4392336, 26.0976969 44.4392391, 26.098106 44.4392408, 26.0981584 44.4392508, 26.0982065 44.4392652, 26.0982705 44.4392977)",
668989981,True,3,,Calea Victoriei,secondary,50,False,83.634,,"LINESTRING (26.0969961 44.4392315, 26.0970591 44.4390513, 26.0970961 44.4389178, 26.0971255 44.4387886, 26.0971488 44.4386283, 26.0971647 44.4384905)",
180685587,True,2,,Calea Victoriei,secondary,50,False,136.606,,"LINESTRING (26.0978797 44.4364951, 26.0978827 44.4364411, 26.0978857 44.4363696, 26.097871 44.43589, 26.0978774 44.4357918, 26.097887 44.4356794, 26.0979027 44.4355664, 26.0979355 44.4354229, 26.0979761 44.4352723)",
39725274,True,4,,Bulevardul Regina Elisabeta,primary,60,False,72.475,,"LINESTRING (26.0982171 44.434751, 26.0973046 44.4347344)",
"[230170457, 1206972199]",False,4,,Bulevardul Regina Elisabeta,primary,60,True,109.544,,"LINESTRING (26.0982171 44.434751, 26.0982713 44.4347505, 26.0983516 44.4347512, 26.098379 44.4347542, 26.0984075 44.4347602, 26.0994083 44.4349545, 26.099456 44.4349637, 26.0995044 44.4349692, 26.0995562 44.4349737)",
