osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel
717096687,False,2,DN1F,Strada Kossuth Lajos,primary,50,True,22.994,"LINESTRING (23.0589985 47.1860092, 23.0589314 47.1862109)",
717096687,False,2,DN1F,Strada Kossuth Lajos,primary,50,False,58.258,"LINESTRING (23.0589985 47.1860092, 23.0590198 47.1859318, 23.0590434 47.1858385, 23.0590605 47.1857436, 23.0590729 47.1856359, 23.059076 47.1855629, 23.0590721 47.1854891)",
717096687,False,2,DN1F,Strada Kossuth Lajos,primary,50,True,58.258,"LINESTRING (23.0590721 47.1854891, 23.059076 47.1855629, 23.0590729 47.1856359, 23.0590605 47.1857436, 23.0590434 47.1858385, 23.0590198 47.1859318, 23.0589985 47.1860092)",
717097737,False,2,DN1F,Strada Kossuth Lajos,primary,50,False,353.654,"LINESTRING (23.0590721 47.1854891, 23.0590609 47.1854164, 23.0590291 47.1852848, 23.0589816 47.1851468, 23.0589541 47.1850356, 23.0589359 47.1849117, 23.0589362 47.1844408, 23.0589175 47.1842524, 23.0588906 47.1841499, 23.0587881 47.1839364, 23.0580735 47.182669, 23.0579983 47.1825367, 23.0579488 47.1824346)",
967575755,False,,,Strada Crângului,residential,RO:urban,True,103.469,"LINESTRING (23.0590721 47.1854891, 23.0597397 47.1854588, 23.0604395 47.1854721)",
"[717097734, 79702823]",False,,,Strada Andrei Șaguna,tertiary,RO:urban,False,236.79500000000002,"LINESTRING (23.0583044 47.1806786, 23.0582467 47.1806501, 23.0581961 47.1806136, 23.0581526 47.1805646, 23.0581174 47.1805029, 23.058075 47.1804224, 23.0580324 47.1803521, 23.0579098 47.1801461, 23.0577792 47.179935, 23.0577187 47.1798345, 23.0576658 47.1797349, 23.0576371 47.1796555, 23.0576132 47.1795593, 23.0575677 47.179394, 23.0575092 47.179208, 23.0574555 47.1790491, 23.057402 47.1789149, 23.0573392 47.1787671, 23.0573072 47.1786832)",
717097735,False,2,DN1F,Strada Kossuth Lajos,primary,50,False,70.38,"LINESTRING (23.0583044 47.1806786, 23.0583959 47.1806077, 23.0585068 47.1805508, 23.0586223 47.1805161, 23.0588217 47.1804875, 23.0591382 47.1804422)",
717097736,False,2,DN1F,Strada Kossuth Lajos,primary,50,True,119.429,"LINESTRING (23.0583044 47.1806786, 23.0582597 47.1807495, 23.0582303 47.1808343, 23.0582366 47.1809022, 23.0582922 47.1811673, 23.0582888 47.1812355, 23.0582714 47.1812989, 23.0581309 47.1816734, 23.0581118 47.1817266)",
173077049,False,,,Strada Simion Bărnuțiu,tertiary,RO:urban,False,51.544,"LINESTRING (23.0568209 47.1859914, 23.0567772 47.1860161, 23.0567512 47.1860428, 23.0567311 47.1860679, 23.0566949 47.1861247, 23.056573 47.18633, 23.0565312 47.1864059)",
925582038,True,2,DN1F,Bulevardul Mihai Viteazul,secondary,50,False,54.190999999999995,"LINESTRING (23.0568209 47.1859914, 23.0567961 47.1859458, 23.0567861 47.1859209, 23.0567626 47.1858598, 23.0567352 47.1857607, 23.0567141 47.185677, 23.0567017 47.1856215, 23.056711 47.1855138)",
925582039,False,,,Strada Simion Bărnuțiu,tertiary,RO:urban,False,10.831,"LINESTRING (23.0568209 47.1859914, 23.0568765 47.185973, 23.056911 47.1859626, 23.0569524 47.185953)",
"[925582051, 33116790]",True,2,DN1F,Bulevardul Mihai Viteazul,secondary,50,False,31.264,"LINESTRING (23.055616 47.1782088, 23.0556469 47.1782846, 23.0556544 47.1783477, 23.0556523 47.1784869)",
