osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,junction,access
33509958,2,Strada Plopului,residential,RO:urban,False,False,80.581,"LINESTRING (26.3578523 47.2071159, 26.3578209 47.2069609, 26.3577067 47.206398)",,,,
137381048,2,Strada Ștefan cel Mare,tertiary,50,False,False,119.821,"LINESTRING (26.3578523 47.2071159, 26.3576193 47.2071892, 26.3574013 47.2072687, 26.3564611 47.2076325)",,,,
137381048,2,Strada Ștefan cel Mare,tertiary,50,False,True,143.111,"LINESTRING (26.3578523 47.2071159, 26.35804 47.2070724, 26.3585865 47.2069856, 26.3588331 47.2069461, 26.3594797 47.2068444, 26.3596916 47.20681)",,,,
50073724,,Strada Plăieșu,residential,50,False,True,93.48599999999999,"LINESTRING (26.3564611 47.2076325, 26.3565944 47.2078469, 26.3566317 47.2079443, 26.3565909 47.2080443, 26.3565457 47.2081397, 26.3564919 47.2082154, 26.3564206 47.2082961, 26.3563142 47.2083983)",,,,
137381048,2,Strada Ștefan cel Mare,tertiary,50,False,False,138.43900000000002,"LINESTRING (26.3564611 47.2076325, 26.3560332 47.2078032, 26.3558505 47.2078635, 26.35563 47.2079244, 26.3554262 47.2079726, 26.3547763 47.2081074)",,,,
137381048,2,Strada Ștefan cel Mare,tertiary,50,False,True,119.821,"LINESTRING (26.3564611 47.2076325, 26.3574013 47.2072687, 26.3576193 47.2071892, 26.3578523 47.2071159)",,,,
50073481,,Strada Alexandru cel Bun,residential,RO:urban,False,True,89.667,"LINESTRING (26.3541665 47.2082169, 26.3541394 47.2081405, 26.3540058 47.2077634, 26.3538893 47.2074328)",,,,
137381048,2,Strada Ștefan cel Mare,tertiary,50,False,True,47.646,"LINESTRING (26.3541665 47.2082169, 26.3543214 47.2081884, 26.3547763 47.2081074)",,,,
50074909,,,residential,RO:urban,False,True,69.557,"LINESTRING (26.3603917 47.2073327, 26.3595361 47.2075639)",,,,
46717762,2,Strada Mărășești,primary,50,False,False,42.821,"LINESTRING (26.3603917 47.2073327, 26.3602741 47.2071021, 26.3602017 47.2069699)",DN15C,,,
46717762,2,Strada Mărășești,primary,50,False,True,77.864,"LINESTRING (26.3603917 47.2073327, 26.3604582 47.2074459, 26.3605129 47.2075248, 26.3605879 47.2076037, 26.3606966 47.2076874, 26.3608483 47.2077689, 26.3609471 47.2078057, 26.3610499 47.2078397)",DN15C,,,
524512122,,Strada Plopului,residential,RO:urban,True,False,59.327,"LINESTRING (26.3577067 47.206398, 26.3576682 47.2058651)",,,,
33509958,2,Strada Plopului,residential,RO:urban,False,True,80.581,"LINESTRING (26.3577067 47.206398, 26.3578209 47.2069609, 26.3578523 47.2071159)",,,,
667338239,,Strada Romană,residential,RO:urban,False,True,139.499,"LINESTRING (26.3577067 47.206398, 26.3567364 47.2064645, 26.356326 47.2064944, 26.3558675 47.2065029)",,,,
46717762,2,Strada Mărășești,primary,50,False,False,82.366,"LINESTRING (26.3621142 47.207992, 26.3619708 47.2079851, 26.3617315 47.2079597, 26.361385 47.2079059, 26.3610499 47.2078397)",DN15C,,,
46717762,2,Strada Mărășești,primary,50,False,True,137.904,"LINESTRING (26.3621142 47.207992, 26.3623248 47.2079889, 26.362814 47.2079612, 26.3639345 47.2079006)",DN15C,,,
"[26475513, 50059589]",,"['Aleea Zimbrului', 'Strada Codrului']",residential,RO:urban,True,False,252.46800000000002,"LINESTRING (26.3621142 47.207992, 26.3618464 47.2070882, 26.3618365 47.2070547, 26.3618539 47.2069976, 26.3619258 47.2069456, 26.3624952 47.2068139, 26.3625527 47.2068006, 26.3636005 47.2066181)",,,,
260409720,2,Strada Ștefan cel Mare,primary,RO:urban,False,True,74.078,"LINESTRING (26.3647904 47.2058579, 26.3657617 47.2057663)",DN15B,,,
50059500,,Strada Alexandru Lăpușneanu,residential,RO:urban,True,False,188.173,"LINESTRING (26.3647904 47.2058579, 26.3652163 47.2060112, 26.365398 47.2060895, 26.3656631 47.2062039, 26.3658577 47.2063145, 26.3660119 47.2064333, 26.366231 47.206698, 26.3662771 47.2068042, 26.3663132 47.2069377, 26.3663127 47.2070621)",,,,
