osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,tunnel,bridge,junction
411236574,2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,True,11.023,"LINESTRING (25.5739352 45.5040343, 25.5739448 45.5041332)",,,
29409519,2,,Bulevardul Mihail Săulescu,residential,RO:urban,,False,False,223.653,"LINESTRING (25.5739352 45.5040343, 25.5740499 45.5039881, 25.574205 45.5038839, 25.5743004 45.5037856, 25.5743742 45.503653, 25.5744068 45.5035407, 25.5744123 45.5034519, 25.574409 45.5033659, 25.5743981 45.5032635, 25.5743773 45.503134, 25.5743403 45.5029385, 25.5743176 45.502836, 25.5742883 45.5027347, 25.5742469 45.5025973, 25.5741929 45.5024482, 25.5741446 45.5023425, 25.5740472 45.5021816)",,,
411236575,2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,False,206.32300000000004,"LINESTRING (25.5739352 45.5040343, 25.5739231 45.503837, 25.5739231 45.5036783, 25.5739294 45.5035142, 25.5739914 45.5027945, 25.5740472 45.5021816)",,,
31746987,,,Strada Poiana Narciselor,residential,50,,False,True,86.71799999999999,"LINESTRING (25.574127 45.5007918, 25.5733613 45.5010322, 25.5732399 45.5010766, 25.5731244 45.5011279)",,,
"[397201965, 973273381]",2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,True,154.743,"LINESTRING (25.574127 45.5007918, 25.5741327 45.5009016, 25.5741339 45.5010565, 25.574118 45.5014086, 25.5740472 45.5021816)",,,
"[691375353, 973273382]",2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,False,196.858,"LINESTRING (25.574127 45.5007918, 25.5741093 45.5006441, 25.5740901 45.5005051, 25.5740671 45.5003874, 25.5740306 45.5002474, 25.5739903 45.5001182, 25.573946 45.4999959, 25.5739011 45.4998917, 25.5738469 45.4997833, 25.5736704 45.4994771, 25.5736367 45.4994187, 25.5734517 45.4990979)",,,
29409519,2,,Bulevardul Mihail Săulescu,residential,RO:urban,,False,True,223.653,"LINESTRING (25.5740472 45.5021816, 25.5741446 45.5023425, 25.5741929 45.5024482, 25.5742469 45.5025973, 25.5742883 45.5027347, 25.5743176 45.502836, 25.5743403 45.5029385, 25.5743773 45.503134, 25.5743981 45.5032635, 25.574409 45.5033659, 25.5744123 45.5034519, 25.5744068 45.5035407, 25.5743742 45.503653, 25.5743004 45.5037856, 25.574205 45.5038839, 25.5740499 45.5039881, 25.5739352 45.5040343)",,,
411236575,2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,True,206.323,"LINESTRING (25.5740472 45.5021816, 25.5739914 45.5027945, 25.5739294 45.5035142, 25.5739231 45.5036783, 25.5739231 45.503837, 25.5739352 45.5040343)",,,
"[973273381, 397201965]",2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,False,154.743,"LINESTRING (25.5740472 45.5021816, 25.574118 45.5014086, 25.5741339 45.5010565, 25.5741327 45.5009016, 25.574127 45.5007918)",,,
691375353,2,DN1,Bulevardul Mihail Săulescu,trunk,70,yes,False,True,9.882,"LINESTRING (25.5734049 45.4990153, 25.5734517 45.4990979)",,,
"[30813424, 183848264, 183848268]",2,DC15,Strada Teleferic,tertiary,"['40', '30']",,False,False,82.76,"LINESTRING (25.5734049 45.4990153, 25.5736191 45.4989503, 25.5741962 45.4987815, 25.574387 45.4987327)",yes,,
183848264,2,DC15,Strada Teleferic,tertiary,40,,False,True,73.37599999999999,"LINESTRING (25.5752088 45.4989564, 25.5750586 45.4988383, 25.5749312 45.4987791, 25.574746 45.4987244, 25.5745537 45.4987134, 25.574387 45.4987327)",,,
"[293391652, 864981749, 864981750]",,DC15,Strada Liviu Rebreanu,tertiary,RO:urban,,False,False,118.761,"LINESTRING (25.5752088 45.4989564, 25.5752007 45.4995614, 25.5751995 45.4996458, 25.5751954 45.4999542, 25.5751947 45.5000244)",,yes,
"[397201979, 31746798]",1,,Strada Teleferic,residential,40,,True,False,205.067,"LINESTRING (25.5752088 45.4989564, 25.5775756 45.499494, 25.5777118 45.4995249)",,,
31746796,2,DC15,Strada Tudor Vladimirescu,tertiary,50,,False,True,500.971,"LINESTRING (25.5751947 45.5000244, 25.5756244 45.5000768, 25.5758068 45.5001012, 25.5760294 45.5001294, 25.5762199 45.5001444, 25.5764854 45.5001651, 25.5766356 45.5001802, 25.5767778 45.5002008, 25.5769065 45.5002403, 25.5771077 45.500323, 25.5772928 45.5004001, 25.57751 45.5004715, 25.5777241 45.5005328, 25.5780214 45.5006327, 25.5783199 45.5007304, 25.5785528 45.5008092, 25.5787371 45.5008578, 25.5788993 45.5008919, 25.5790447 45.500913, 25.5792213 45.5009415, 25.5795244 45.5009923, 25.5796097 45.5010068, 25.5797228 45.5010261, 25.5801493 45.5011164, 25.58043 45.5011785, 25.5807465 45.5012547, 25.5809034 45.5013002, 25.5810555 45.5013564, 25.5812436 45.5014337)",,,
293391650,2,,Strada Liviu Rebreanu,residential,RO:urban,,False,False,72.68299999999999,"LINESTRING (25.5751947 45.5000244, 25.5751951 45.5000976, 25.5752045 45.5001637, 25.5752273 45.5002348, 25.5752863 45.5003477, 25.5753739 45.5004594, 25.5754769 45.5005655, 25.57554 45.5006133)",,,
"[293391652, 864981749, 864981750]",,DC15,Strada Liviu Rebreanu,tertiary,RO:urban,,False,True,118.761,"LINESTRING (25.5751947 45.5000244, 25.5751954 45.4999542, 25.5751995 45.4996458, 25.5752007 45.4995614, 25.5752088 45.4989564)",,yes,
