osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed,access
171925316,Санахъоты Геннадийы уынг,tertiary,False,True,183.891,,"LINESTRING (43.9250131 42.389368, 43.9265995 42.3905351)",,,,
"[169526075, 169526061, 169526071]",,tertiary,False,True,239.331,yes,"LINESTRING (43.9250131 42.389368, 43.9246161 42.3896295, 43.9239616 42.3901049, 43.922996 42.3907705, 43.9228905 42.3908423)",,,,
171925316,Санахъоты Геннадийы уынг,tertiary,False,False,131.595,,"LINESTRING (43.9250131 42.389368, 43.924482 42.3885003, 43.9243878 42.3882798)",,,,
323479716,Ленины уынг,trunk,False,False,44.852,,"LINESTRING (43.9228905 42.3908423, 43.9225853 42.3905078)",2,ს 10,90,yes
"[169526075, 169526061, 169526071]",,tertiary,False,False,239.33100000000002,yes,"LINESTRING (43.9228905 42.3908423, 43.922996 42.3907705, 43.9239616 42.3901049, 43.9246161 42.3896295, 43.9250131 42.389368)",,,,
543072083,Ленины уынг,trunk,False,True,170.93599999999998,,"LINESTRING (43.9228905 42.3908423, 43.9235502 42.3916693, 43.9238786 42.3921933)",2,ს 10,90,yes
323479716,Ленины уынг,trunk,False,True,113.023,,"LINESTRING (43.9216469 42.3894789, 43.9224158 42.3903219)",2,ს 10,90,yes
170196302,,residential,False,True,81.739,,"LINESTRING (43.9216469 42.3894789, 43.9215459 42.3895269, 43.9217195 42.3897883, 43.9217195 42.3899706, 43.92163 42.3901304)",,,,
323479716,Ленины уынг,trunk,False,False,225.46,,"LINESTRING (43.9216469 42.3894789, 43.9203466 42.3882281, 43.920248 42.3881098, 43.9200251 42.3878451)",2,ს 10,90,yes
169833940,,tertiary,False,False,80.03899999999999,,"LINESTRING (43.92163 42.3901304, 43.9220345 42.3902615, 43.9223901 42.3904303, 43.9224971 42.390411)",,,,
169833940,,tertiary,False,True,267.339,,"LINESTRING (43.92163 42.3901304, 43.9215345 42.3901143, 43.9213725 42.3900285, 43.9211327 42.3898568, 43.9209693 42.3897027, 43.9207108 42.38944, 43.9204973 42.3893382, 43.9201743 42.389226, 43.9199919 42.3890993, 43.9199394 42.3888944, 43.9197559 42.3887585, 43.9196282 42.3885695, 43.9194888 42.3884348)",,,,
170196302,,residential,False,False,81.739,,"LINESTRING (43.92163 42.3901304, 43.9217195 42.3899706, 43.9217195 42.3897883, 43.9215459 42.3895269, 43.9216469 42.3894789)",,,,
170196302,,residential,False,True,66.561,,"LINESTRING (43.92163 42.3901304, 43.9215178 42.3902622, 43.9210749 42.3905608)",,,,
323479716,Ленины уынг,trunk,False,False,11.947,,"LINESTRING (43.9224971 42.390411, 43.9224158 42.3903219)",2,ს 10,90,yes
323479716,Ленины уынг,trunk,False,True,12.974,,"LINESTRING (43.9224971 42.390411, 43.9225853 42.3905078)",2,ს 10,90,yes
169833940,,tertiary,False,True,80.039,,"LINESTRING (43.9224971 42.390411, 43.9223901 42.3904303, 43.9220345 42.3902615, 43.92163 42.3901304)",,,,
169833940,,tertiary,False,False,267.339,,"LINESTRING (43.9194888 42.3884348, 43.9196282 42.3885695, 43.9197559 42.3887585, 43.9199394 42.3888944, 43.9199919 42.3890993, 43.9201743 42.389226, 43.9204973 42.3893382, 43.9207108 42.38944, 43.9209693 42.3897027, 43.9211327 42.3898568, 43.9213725 42.3900285, 43.9215345 42.3901143, 43.92163 42.3901304)",,,,
170196302,,residential,False,True,61.37,,"LINESTRING (43.9205009 42.3909378, 43.9199251 42.3912896)",,,,
170196319,,residential,False,True,142.771,,"LINESTRING (43.9205009 42.3909378, 43.9193699 42.3899627)",,,,
170196302,,residential,False,False,63.098,,"LINESTRING (43.9205009 42.3909378, 43.9206574 42.3908422, 43.9210749 42.3905608)",,,,
170196293,,residential,False,False,187.63,,"LINESTRING (43.9180717 42.3905807, 43.9190159 42.3905649, 43.9196725 42.3910467, 43.9199251 42.3912896)",,,,
170196289,,residential,False,True,41.414,,"LINESTRING (43.92078 42.3874739, 43.9210436 42.3877914)",,,,
170196321,,residential,False,False,74.482,,"LINESTRING (43.92078 42.3874739, 43.9200251 42.3878451)",,,,
170196289,,residential,False,False,134.37099999999998,,"LINESTRING (43.92078 42.3874739, 43.9205878 42.3872225, 43.9204327 42.3870908, 43.9202304 42.387045, 43.9200587 42.3870212, 43.9198742 42.3870703, 43.919559 42.3872825)",,,,
323479716,Ленины уынг,trunk,False,False,12.974,,"LINESTRING (43.9225853 42.3905078, 43.9224971 42.390411)",2,ს 10,90,yes
323479716,Ленины уынг,trunk,False,True,44.852,,"LINESTRING (43.9225853 42.3905078, 43.9228905 42.3908423)",2,ს 10,90,yes
170196313,Чкаловы уынг,residential,False,True,307.436,,"LINESTRING (43.9225853 42.3905078, 43.9217517 42.391175, 43.921741 42.3912701, 43.921741 42.391698, 43.9217195 42.3918961, 43.921711 42.3920926, 43.9216015 42.3922844, 43.9213762 42.3924745, 43.921078 42.3925759, 43.9207754 42.3926488)",,,,
170196323,,residential,False,True,60.178,,"LINESTRING (43.9223204 42.3938053, 43.9230177 42.3936389)",,,,
170196323,,residential,False,False,76.662,,"LINESTRING (43.9223204 42.3938053, 43.9221079 42.3937803, 43.9214611 42.3940111)",,,,
