osmid,oneway,highway,reversed,length,geometry,lanes,ref,maxspeed,access,name
19862219,False,residential,False,61.488,"LINESTRING (40.2689997 43.2899096, 40.2689453 43.2898853, 40.2689211 43.2898619, 40.268925 43.2898255, 40.2689921 43.2897181, 40.269007 43.2896784, 40.2689909 43.2896432, 40.2689587 43.2896256, 40.2689158 43.2896217, 40.2688675 43.2896413, 40.2688165 43.2896803, 40.2687656 43.2897155, 40.26872 43.289735)",,,,,
72519486,False,trunk,False,661.653,"LINESTRING (40.2689997 43.2899096, 40.2691982 43.2896647, 40.2693751 43.2894723, 40.2695213 43.2893323, 40.2696502 43.2892112, 40.2708243 43.2881747, 40.2711038 43.2878563, 40.2712572 43.2876645, 40.2713876 43.2874777, 40.271991 43.2863111, 40.2721187 43.2861063, 40.2723301 43.285845, 40.2732292 43.2848655)",2,ს 1,90,yes,
"[48458721, 202382550]",False,residential,"[False, True]",762.572,"LINESTRING (40.2732292 43.2848655, 40.2731844 43.2848059, 40.2731699 43.2847491, 40.2731712 43.2844271, 40.2731836 43.2843334, 40.273201 43.2842545, 40.2734746 43.2838798, 40.2737428 43.2835819, 40.2737954 43.283502, 40.2737895 43.2834235, 40.2737307 43.2833282, 40.2736283 43.2832478, 40.2728475 43.2828745, 40.2727759 43.282826, 40.2727065 43.2827447, 40.2726587 43.2827555, 40.2725835 43.282779, 40.2725084 43.282818, 40.2724441 43.2828727, 40.2719291 43.2835366, 40.2717113 43.2837555, 40.2715929 43.2838258, 40.2714787 43.2838812, 40.2713488 43.2839296, 40.2711185 43.2839883, 40.2709943 43.2840233, 40.2708991 43.2840755, 40.2708227 43.2841499, 40.2707698 43.2842126, 40.2706806 43.2843593, 40.2705783 43.2845737, 40.2704679 43.2847882, 40.2703979 43.2848992, 40.2703356 43.2849929, 40.2701603 43.2853003, 40.2701302 43.285371, 40.2701125 43.2854543, 40.2701057 43.2855565, 40.2700746 43.2856334, 40.2699872 43.2857234, 40.2698048 43.2858327, 40.2696009 43.285903, 40.2695716 43.2859075, 40.2693971 43.2859343)",,,,,
72519486,False,trunk,True,661.653,"LINESTRING (40.2732292 43.2848655, 40.2723301 43.285845, 40.2721187 43.2861063, 40.271991 43.2863111, 40.2713876 43.2874777, 40.2712572 43.2876645, 40.2711038 43.2878563, 40.2708243 43.2881747, 40.2696502 43.2892112, 40.2695213 43.2893323, 40.2693751 43.2894723, 40.2691982 43.2896647, 40.2689997 43.2899096)",2,ს 1,90,yes,
122350066,False,residential,True,50.466,"LINESTRING (40.2666264 43.2862124, 40.2660931 43.2859773)",,,,,улица Апсха Леона
121646408,False,residential,True,312.53000000000003,"LINESTRING (40.2666264 43.2862124, 40.2665077 43.286599, 40.2664141 43.2868683, 40.2663414 43.2870467, 40.2662177 43.2872676, 40.2660536 43.2875144, 40.265734 43.2880631, 40.2655334 43.2883584, 40.2654758 43.2884459, 40.2654132 43.2886073, 40.2653771 43.2887451, 40.2653482 43.2888505)",,,60,,Альпийская улица
122350066,False,residential,False,351.98799999999994,"LINESTRING (40.2666264 43.2862124, 40.2674551 43.286549, 40.2679609 43.2867499, 40.2681469 43.2868505, 40.2682952 43.286898, 40.2684144 43.2869201, 40.2686451 43.2869337, 40.2688919 43.2869279, 40.2690501 43.2869123, 40.2692593 43.2868693, 40.2696721 43.286721, 40.2697716 43.2866584, 40.269887 43.2865413, 40.2702222 43.2862126, 40.2702813 43.2861547)",,,,,улица Апсха Леона
19860902,False,residential,False,30.008,"LINESTRING (40.2633845 43.2902261, 40.2632342 43.2904728)",2,,,,Кабардинская улица
187203854,False,residential,False,44.067,"LINESTRING (40.2633845 43.2902261, 40.2638717 43.290403)",,,,,
19860902,False,residential,True,180.115,"LINESTRING (40.2633845 43.2902261, 40.2636142 43.2897268, 40.263748 43.2894005, 40.2639719 43.2888544, 40.264014 43.2887792, 40.2640643 43.2886844)",2,,,,Кабардинская улица
