osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge
203560776,улица Лакоба,residential,False,True,90.277,2,"LINESTRING (40.6197933 43.1027646, 40.619764 43.101953)",
203600959,Очамчирская улица,residential,False,False,78.656,2,"LINESTRING (40.6197933 43.1027646, 40.620762 43.1027534)",
203600948,Очамчирская улица,residential,False,True,112.252,2,"LINESTRING (40.622394 43.1027408, 40.6210114 43.1027486)",
203600964,Вайнахская улица,residential,False,False,92.838,2,"LINESTRING (40.622394 43.1027408, 40.6223468 43.1019066)",
203600964,Вайнахская улица,residential,False,True,87.758,2,"LINESTRING (40.622394 43.1027408, 40.6224434 43.1035292)",
81106662,улица Агрба,residential,False,False,152.373,,"LINESTRING (40.6199352 43.1059945, 40.6218119 43.1059738)",
203560776,улица Лакоба,residential,False,False,82.306,2,"LINESTRING (40.6199352 43.1059945, 40.6199791 43.106734)",
203560776,улица Лакоба,residential,False,True,92.376,2,"LINESTRING (40.6199352 43.1059945, 40.6199017 43.1051641)",
203559142,улица 23 Июля,residential,False,True,25.332,2,"LINESTRING (40.6197287 43.1011525, 40.6200407 43.1011506)",
203560776,улица Лакоба,residential,False,False,89.058,2,"LINESTRING (40.6197287 43.1011525, 40.619764 43.101953)",
203560776,улица Лакоба,residential,False,True,89.717,2,"LINESTRING (40.6197287 43.1011525, 40.6197018 43.1003459)",
203560776,улица Лакоба,residential,False,False,90.277,2,"LINESTRING (40.619764 43.101953, 40.6197933 43.1027646)",
203560776,улица Лакоба,residential,False,True,89.058,2,"LINESTRING (40.619764 43.101953, 40.6197287 43.1011525)",
203594193,улица 4 Марта,tertiary,False,False,209.756,2,"LINESTRING (40.619764 43.101953, 40.6223468 43.1019066)",
203594193,улица 4 Марта,tertiary,False,True,209.756,2,"LINESTRING (40.6223468 43.1019066, 40.619764 43.101953)",
203600964,Вайнахская улица,residential,False,False,89.811,2,"LINESTRING (40.6223468 43.1019066, 40.6223174 43.1010992)",
203600964,Вайнахская улица,residential,False,True,92.838,2,"LINESTRING (40.6223468 43.1019066, 40.622394 43.1027408)",
203594193,улица 4 Марта,tertiary,False,False,107.62700000000001,2,"LINESTRING (40.6223468 43.1019066, 40.6228684 43.1018978, 40.6233646 43.1018894, 40.6236721 43.1018842)",
203559141,улица 23 Июля,residential,False,True,162.351,2,"LINESTRING (40.6223174 43.1010992, 40.6203186 43.1011423)",
203600964,Вайнахская улица,residential,False,False,89.781,2,"LINESTRING (40.6223174 43.1010992, 40.6223252 43.1002918)",
203600964,Вайнахская улица,residential,False,True,89.811,2,"LINESTRING (40.6223174 43.1010992, 40.6223468 43.1019066)",
203559145,улица 23 Июля,residential,False,False,109.089,2,"LINESTRING (40.6223174 43.1010992, 40.6232021 43.1010825, 40.6236606 43.1010739)",
61929141,улица Харазия,residential,False,True,33.192,,"LINESTRING (40.6258132 43.1066598, 40.6260138 43.1063997)",
61929152,улица Лакрба,residential,False,True,42.071,2,"LINESTRING (40.6268917 43.0983854, 40.6274098 43.0983795)",
81145198,проспект Героев,tertiary,False,False,65.42,,"LINESTRING (40.6268917 43.0983854, 40.6276101 43.0986518)",
203580129,проспект Героев,tertiary,False,False,58.072,2,"LINESTRING (40.6268917 43.0983854, 40.6261769 43.0984037)",
81145198,проспект Героев,tertiary,False,True,109.598,,"LINESTRING (40.6306802 43.0998331, 40.6294839 43.0993765)",
61929141,улица Харазия,residential,False,False,98.59500000000001,,"LINESTRING (40.6306802 43.0998331, 40.6306358 43.0998953, 40.6301192 43.1006195)",
"[203723664, 81114489, 61929212]",улица Дзидзария,tertiary,False,True,151.89100000000002,2,"LINESTRING (40.6285098 43.1068685, 40.6286442 43.1066994, 40.6290827 43.1061236, 40.629423 43.1056763)",yes
61929153,Вайнахская улица,residential,False,False,103.548,2,"LINESTRING (40.6218304 43.105948, 40.6224246 43.105124)",
61929153,Вайнахская улица,residential,False,True,3.238,2,"LINESTRING (40.6218304 43.105948, 40.6218119 43.1059738)",
203526990,улица Агрба,residential,False,True,111.686,,"LINESTRING (40.6218304 43.105948, 40.6230466 43.1064175)",
203526990,улица Агрба,residential,False,False,111.686,,"LINESTRING (40.6230466 43.1064175, 40.6218304 43.105948)",
203526995,улица Гулиа,residential,False,False,80.216,2,"LINESTRING (40.6214554 43.1035364, 40.6224434 43.1035292)",
203526989,улица Гулиа,residential,False,True,108.597,2,"LINESTRING (40.6211677 43.1035602, 40.6198302 43.1035739)",
203529088,улица Шакрыл,residential,False,False,26.302,2,"LINESTRING (40.6227133 43.1043454, 40.6229482 43.1043327, 40.6230365 43.1043361)",
203529088,улица Шакрыл,residential,False,True,47.649,2,"LINESTRING (40.6282353 43.1062352, 40.6280315 43.1061941, 40.6279249 43.1061626, 40.6276949 43.1060733)",
61929148,улица Шакрыл,residential,False,True,8.631,2,"LINESTRING (40.6225148 43.1043492, 40.6224085 43.1043481)",
203658151,улица Эшба,residential,False,True,95.055,2,"LINESTRING (40.6237272 43.1055595, 40.6239847 43.1056515, 40.6242663 43.1057749, 40.6247568 43.1059657)",
203530393,улица Эшба,residential,False,False,95.654,2,"LINESTRING (40.623459 43.1055262, 40.6233893 43.1054773, 40.6232624 43.1054118, 40.6229606 43.1052998, 40.6224246 43.105124)",
61929122,Адыгская улица,residential,False,True,101.828,2,"LINESTRING (40.6294368 43.103588, 40.6288391 43.1043931)",
203594194,улица 4 Марта,tertiary,False,False,109.767,2,"LINESTRING (40.6294368 43.103588, 40.6306501 43.1040236)",
203594194,улица 4 Марта,tertiary,False,True,108.198,2,"LINESTRING (40.6294368 43.103588, 40.6282466 43.1031502)",
61929122,Адыгская улица,residential,False,False,103.55699999999999,2,"LINESTRING (40.6294368 43.103588, 40.6295913 43.1033884, 40.6296485 43.103347, 40.6299215 43.1029468, 40.629923 43.1028897, 40.6300187 43.1027695)",
203594194,улица 4 Марта,tertiary,False,True,109.767,2,"LINESTRING (40.6306501 43.1040236, 40.6294368 43.103588)",
203723664,улица Дзидзария,tertiary,False,False,102.15,2,"LINESTRING (40.6306501 43.1040236, 40.6300583 43.1048343)",
61929152,улица Лакрба,residential,False,False,42.071,2,"LINESTRING (40.6274098 43.0983795, 40.6268917 43.0983854)",
203533149,,residential,False,False,34.855999999999995,,"LINESTRING (40.6274098 43.0983795, 40.6274421 43.0984741, 40.6274904 43.0985289, 40.6276101 43.0986518)",
81145198,проспект Героев,tertiary,False,False,65.242,,"LINESTRING (40.6276101 43.0986518, 40.6283208 43.0989256)",
81145198,проспект Героев,tertiary,False,True,65.42,,"LINESTRING (40.6276101 43.0986518, 40.6268917 43.0983854)",
203533149,,residential,False,True,34.856,,"LINESTRING (40.6276101 43.0986518, 40.6274904 43.0985289, 40.6274421 43.0984741, 40.6274098 43.0983795)",
203559141,улица 23 Июля,residential,False,False,162.351,2,"LINESTRING (40.6203186 43.1011423, 40.6223174 43.1010992)",
203559142,улица 23 Июля,residential,False,False,25.332,2,"LINESTRING (40.6200407 43.1011506, 40.6197287 43.1011525)",
203559137,улица Нартаа,residential,False,False,55.917,2,"LINESTRING (40.6203904 43.1003364, 40.6197018 43.1003459)",
203559138,улица Нартаа,residential,False,True,135.175,2,"LINESTRING (40.6206609 43.1003249, 40.6223252 43.1002918)",
203559984,улица Киараз,residential,False,True,136.633,2,"LINESTRING (40.6206049 43.0993989, 40.6222872 43.0993675)",
203559982,улица Киараз,residential,False,False,56.847,2,"LINESTRING (40.6203581 43.0993936, 40.6196581 43.0994044)",
203600959,Очамчирская улица,residential,False,True,78.656,2,"LINESTRING (40.620762 43.1027534, 40.6197933 43.1027646)",
61929120,улица Гулиа,residential,False,False,83.451,,"LINESTRING (40.6224404 43.1035994, 40.6234683 43.1035994)",
203600964,Вайнахская улица,residential,False,False,7.81,2,"LINESTRING (40.6224404 43.1035994, 40.6224434 43.1035292)",
"[61929153, 203600964, 203600965]",Вайнахская улица,residential,False,True,83.323,2,"LINESTRING (40.6224404 43.1035994, 40.6224113 43.1041521, 40.6224036 43.1042929, 40.6224085 43.1043481)",yes
203529088,улица Шакрыл,residential,False,False,105.94200000000001,2,"LINESTRING (40.6230365 43.1043361, 40.6230752 43.1043376, 40.6232003 43.1043695, 40.6233907 43.1044259, 40.6242413 43.1046972)",
203529088,улица Шакрыл,residential,False,True,26.302,2,"LINESTRING (40.6230365 43.1043361, 40.6229482 43.1043327, 40.6227133 43.1043454)",
203600958,,residential,False,False,89.733,,"LINESTRING (40.6230365 43.1043361, 40.623066 43.1042339, 40.623117 43.1041008, 40.6231658 43.1040079, 40.6233654 43.1037187, 40.6234683 43.1035994)",
203600948,Очамчирская улица,residential,False,False,112.252,2,"LINESTRING (40.6210114 43.1027486, 40.622394 43.1027408)",
61929120,улица Гулиа,residential,False,True,83.451,,"LINESTRING (40.6234683 43.1035994, 40.6224404 43.1035994)",
61929120,улица Гулиа,residential,False,False,115.501,,"LINESTRING (40.6234683 43.1035994, 40.6235963 43.1035918, 40.6236937 43.1035916, 40.6242194 43.10376, 40.6243291 43.1037582, 40.6248013 43.1039047)",
203600958,,residential,False,True,89.733,,"LINESTRING (40.6234683 43.1035994, 40.6233654 43.1037187, 40.6231658 43.1040079, 40.623117 43.1041008, 40.623066 43.1042339, 40.6230365 43.1043361)",
