osmid,oneway,name,highway,reversed,length,lanes,maxspeed,access,geometry,ref
25356870,False,улица Академика Сахарова,residential,True,149.804,,,,"LINESTRING (41.0185972 43.0005536, 41.0181158 43.001854)",
1258400904,False,проспект Аиааира,residential,False,125.444,2,50,yes,"LINESTRING (41.0185972 43.0005536, 41.0200846 43.0008526)",
1258400904,False,проспект Аиааира,residential,True,108.29,2,50,yes,"LINESTRING (41.0185972 43.0005536, 41.0173132 43.0002955)",
25356870,False,улица Академика Сахарова,residential,False,148.654,,,,"LINESTRING (41.0185972 43.0005536, 41.0187908 43.0000307, 41.019075 42.9992632)",
250096380,False,проспект Аиааира,residential,False,138.752,2,50,yes,"LINESTRING (41.0234174 43.0014858, 41.0236059 43.0015177, 41.0250689 43.0017991)",
250096380,False,проспект Аиааира,residential,True,138.006,2,50,yes,"LINESTRING (41.0234174 43.0014858, 41.0232502 43.0014541, 41.0217746 43.0011745)",
692393497,False,проспект Леона,trunk,False,114.727,4,50,yes,"LINESTRING (41.0234174 43.0014858, 41.0234365 43.0014329, 41.0237399 43.0005818, 41.0237777 43.0004883)",ს 1
692393497,False,проспект Леона,trunk,True,150.663,4,50,yes,"LINESTRING (41.0234174 43.0014858, 41.0233745 43.0015973, 41.0229752 43.002712, 41.0229481 43.0027965)",ს 1
66214429,False,проспект Леона,residential,False,155.874,2,50,yes,"LINESTRING (41.0237777 43.0004883, 41.0238266 43.0004051, 41.0245524 42.9992061)",
692393497,False,проспект Леона,trunk,True,114.727,4,50,yes,"LINESTRING (41.0237777 43.0004883, 41.0237399 43.0005818, 41.0234365 43.0014329, 41.0234174 43.0014858)",ს 1
81247672,True,улица Лакоба,secondary,False,133.405,3,,,"LINESTRING (41.019075 42.9992632, 41.0206612 42.9995691)",შ 188
25356870,False,улица Академика Сахарова,residential,True,148.654,,,,"LINESTRING (41.019075 42.9992632, 41.0187908 43.0000307, 41.0185972 43.0005536)",
46015703,False,улица Фазиля Искандера,residential,True,129.479,,,,"LINESTRING (41.0148381 43.0063376, 41.0132982 43.0060413)",
46015783,False,Абазинская улица,residential,False,224.79,,,,"LINESTRING (41.0148381 43.0063376, 41.0155249 43.0043794)",
46015783,False,Абазинская улица,residential,True,78.082,,,,"LINESTRING (41.0148381 43.0063376, 41.0146066 43.0070191)",
81201504,False,улица Фазиля Искандера,residential,True,199.337,,,,"LINESTRING (41.0148381 43.0063376, 41.0160641 43.0061372, 41.0172305 43.0059466)",
46015783,False,Абазинская улица,residential,False,35.804,,,,"LINESTRING (41.0144941 43.0073304, 41.0145196 43.0072599, 41.0146066 43.0070191)",
108105468,False,улица Дзидзария,trunk,True,59.095,4,50,,"LINESTRING (41.0144941 43.0073304, 41.0147196 43.0073406, 41.0152183 43.0073743)",ს 1
46015793,False,улица Аидгылара,residential,False,150.055,,,,"LINESTRING (41.0203142 43.0052562, 41.0207534 43.0039455)",
81201129,False,,residential,False,34.937,,,,"LINESTRING (41.0203142 43.0052562, 41.0202161 43.0055621)",
82045242,False,улица Басария,residential,False,137.897,,,,"LINESTRING (41.0203142 43.0052562, 41.0204346 43.0052778, 41.0217434 43.0055487, 41.0219482 43.0055877)",
82045242,False,улица Басария,residential,True,136.994,,,,"LINESTRING (41.0203142 43.0052562, 41.0202346 43.0052408, 41.019429 43.0050844, 41.0190573 43.0050143, 41.0186842 43.0049448)",
82045242,False,улица Басария,residential,True,133.327,,,,"LINESTRING (41.0171206 43.004655, 41.0155249 43.0043794)",
81201634,False,улица Академика Сахарова,residential,True,145.44,,,,"LINESTRING (41.0171206 43.004655, 41.0170345 43.0050538, 41.0171577 43.0056151, 41.0172305 43.0059466)",
82045242,False,улица Басария,residential,False,131.169,,,,"LINESTRING (41.0171206 43.004655, 41.0179867 43.0048192, 41.0183387 43.0048827, 41.0186842 43.0049448)",
1095378496,False,улица Академика Сахарова,residential,False,149.986,,,,"LINESTRING (41.0171206 43.004655, 41.0174501 43.0037276, 41.0175845 43.0033495)",
41415967,True,проспект Леона,trunk,False,13.124,2,50,yes,"LINESTRING (41.0204672 43.0070472, 41.0203419 43.0071216)",ს 1
46015831,False,Гумская улица,tertiary,True,11.566,,,,"LINESTRING (41.0204672 43.0070472, 41.0205073 43.007147)",
46015831,False,Гумская улица,tertiary,False,14.608,,,,"LINESTRING (41.0204672 43.0070472, 41.0204388 43.0069715, 41.0204569 43.0069203)",
41415967,True,проспект Леона,trunk,False,54.988,2,50,yes,"LINESTRING (41.0209616 43.0067295, 41.0206452 43.0068574, 41.0204672 43.0070472)",ს 1
108105467,False,проспект Леона,trunk,False,82.369,4,50,yes,"LINESTRING (41.0209616 43.0067295, 41.0210755 43.0066882, 41.0213829 43.0066105, 41.0215209 43.0065528, 41.0216101 43.0064706, 41.021647 43.0063706, 41.0216781 43.0062885)",ს 1
73533436,False,улица Пушкина,residential,False,172.731,,,,"LINESTRING (41.0240581 43.0046011, 41.0240825 43.0045336, 41.0246016 43.0030994)",
81247675,False,улица Гулиа,residential,True,140.577,2,,,"LINESTRING (41.0240581 43.0046011, 41.0238481 43.00456, 41.0238261 43.0045557, 41.0225146 43.0042992, 41.0223883 43.0042738)",
108105467,False,проспект Леона,trunk,False,150.418,4,50,yes,"LINESTRING (41.0219482 43.0055877, 41.0223883 43.0042738)",ს 1
108105467,False,проспект Леона,trunk,True,80.962,4,50,yes,"LINESTRING (41.0219482 43.0055877, 41.0216781 43.0062885)",ს 1
82045242,False,улица Басария,residential,True,137.897,,,,"LINESTRING (41.0219482 43.0055877, 41.0217434 43.0055487, 41.0204346 43.0052778, 41.0203142 43.0052562)",
79142963,True,улица Владислава Ардзинба,secondary,False,140.735,2,50,yes,"LINESTRING (41.0229481 43.0027965, 41.0227407 43.002756, 41.021469 43.002508, 41.0212759 43.0024704)",შ 188
108105467,False,проспект Леона,trunk,True,170.461,4,50,yes,"LINESTRING (41.0229481 43.0027965, 41.0229129 43.0028956, 41.0224052 43.004231, 41.0223883 43.0042738)",ს 1
692393497,False,проспект Леона,trunk,False,150.663,4,50,yes,"LINESTRING (41.0229481 43.0027965, 41.0229752 43.002712, 41.0233745 43.0015973, 41.0234174 43.0014858)",ს 1
81244413,False,улица Аидгылара,residential,True,140.19199999999998,2,,,"LINESTRING (41.0222417 42.9999609, 41.0222061 43.0000532, 41.0220216 43.0005327, 41.0220074 43.0005696, 41.0218136 43.0010731, 41.0217746 43.0011745)",
81247672,True,улица Лакоба,secondary,False,145.09399999999997,3,,,"LINESTRING (41.0222417 42.9999609, 41.0223281 43.0001215, 41.0224647 43.0002072, 41.0226694 43.0002539, 41.0236291 43.000453, 41.0237777 43.0004883)",შ 188
66214429,False,проспект Леона,residential,True,155.874,2,50,yes,"LINESTRING (41.0245524 42.9992061, 41.0238266 43.0004051, 41.0237777 43.0004883)",
46015783,False,Абазинская улица,residential,True,224.79,,,,"LINESTRING (41.0155249 43.0043794, 41.0148381 43.0063376)",
82045242,False,улица Басария,residential,False,133.327,,,,"LINESTRING (41.0155249 43.0043794, 41.0171206 43.004655)",
82045242,False,улица Басария,residential,True,127.288,,,,"LINESTRING (41.0155249 43.0043794, 41.0140119 43.0040859)",
46015783,False,Абазинская улица,residential,False,152.37900000000002,,,,"LINESTRING (41.0155249 43.0043794, 41.0157384 43.0038856, 41.0157937 43.0037327, 41.0160362 43.0030614)",
57793626,True,,trunk,False,138.62,2,50,yes,"LINESTRING (41.0246016 43.0030994, 41.0244438 43.0030718, 41.0231342 43.0028277, 41.0229481 43.0027965)",ს 1
73533436,False,улица Пушкина,residential,False,149.49699999999999,,,,"LINESTRING (41.0246016 43.0030994, 41.0248985 43.0022716, 41.0250298 43.0019077, 41.0250689 43.0017991)",
73533436,False,улица Пушкина,residential,True,172.731,,,,"LINESTRING (41.0246016 43.0030994, 41.0240825 43.0045336, 41.0240581 43.0046011)",
81243958,False,Абазинская улица,residential,True,78.68,,,,"LINESTRING (41.0175432 42.9989523, 41.0173002 42.9996372)",
81247672,True,улица Лакоба,secondary,False,129.28,3,,,"LINESTRING (41.0175432 42.9989523, 41.019075 42.9992632)",შ 188
46015780,False,улица Воронова,residential,False,174.064,,,,"LINESTRING (41.0144942 43.0027678, 41.0150423 43.0012546)",
46015780,False,улица Воронова,residential,True,151.723,,,,"LINESTRING (41.0144942 43.0027678, 41.0140119 43.0040859)",
81247674,False,улица Гулиа,residential,False,129.574,,50,,"LINESTRING (41.0144942 43.0027678, 41.0160362 43.0030614)",
46015780,False,улица Воронова,residential,False,151.723,,,,"LINESTRING (41.0140119 43.0040859, 41.0144942 43.0027678)",
