osmid,oneway,lanes,name,highway,access,reversed,length,geometry,maxspeed
550681912,False,2,улица Адлейба,secondary,yes,False,116.344,"LINESTRING (41.4676595 42.7084072, 41.4688647 42.7089644)",
81399162,False,,улица Леона,residential,,True,75.699,"LINESTRING (41.4676595 42.7084072, 41.4677062 42.7083419, 41.4680903 42.7078045)",
199650315,False,2,улица Леона,secondary,yes,True,50.18299999999999,"LINESTRING (41.4676595 42.7084072, 41.4674117 42.7087373, 41.4673629 42.7088024)",
550681912,False,2,улица Адлейба,secondary,yes,True,99.833,"LINESTRING (41.4778326 42.7135357, 41.4768562 42.7129959)",
194028769,False,,улица Куйбышева,residential,,False,106.928,"LINESTRING (41.4759192 42.7124886, 41.4764968 42.7116257)",
194028769,False,,улица Куйбышева,residential,,True,110.437,"LINESTRING (41.4759192 42.7124886, 41.4752915 42.7133682)",
550681912,False,2,улица Адлейба,secondary,yes,False,95.093,"LINESTRING (41.4759192 42.7124886, 41.4760214 42.7125439, 41.4768562 42.7129959)",
550681912,False,2,улица Адлейба,secondary,yes,True,118.632,"LINESTRING (41.4759192 42.7124886, 41.4758377 42.7124448, 41.474747 42.711859)",
194028769,False,,улица Куйбышева,residential,,False,159.501,"LINESTRING (41.4773437 42.710467, 41.4782405 42.7091929)",
194028769,False,,улица Куйбышева,residential,,True,146.247,"LINESTRING (41.4773437 42.710467, 41.4764968 42.7116257)",
199701964,False,,Кабардинская улица,residential,,False,116.533,"LINESTRING (41.4773437 42.710467, 41.4760795 42.7099818)",
81403875,False,,улица Айайба,residential,,True,117.196,"LINESTRING (41.4669189 42.7093957, 41.4681871 42.7098881)",
81405191,False,,улица Леона,residential,,False,75.469,"LINESTRING (41.4669189 42.7093957, 41.4664934 42.7099981)",
199650315,False,2,улица Леона,secondary,yes,False,75.289,"LINESTRING (41.4669189 42.7093957, 41.4673629 42.7088024)",
81402415,False,,улица Цхакая,residential,,False,86.384,"LINESTRING (41.4723994 42.710627, 41.4719181 42.7113187)",
81402415,False,,улица Цхакая,residential,,True,66.768,"LINESTRING (41.4723994 42.710627, 41.4727723 42.7100927)",
550681912,False,2,улица Адлейба,secondary,yes,False,116.858,"LINESTRING (41.4723994 42.710627, 41.4735657 42.7112353)",
550681912,False,2,улица Адлейба,secondary,yes,True,115.273,"LINESTRING (41.4723994 42.710627, 41.4721988 42.7105297, 41.4713163 42.7100956, 41.4712262 42.7100512)",
199695685,False,,улица Гулиа,residential,,False,99.757,"LINESTRING (41.4699257 42.7076329, 41.4693322 42.7084169)",
199701964,False,,Кабардинская улица,residential,,True,124.063,"LINESTRING (41.4699257 42.7076329, 41.4712963 42.708113)",
83891666,False,,улица Гулиа,residential,,False,41.883,"LINESTRING (41.4688647 42.7089644, 41.4686166 42.709294)",
