osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,junction,bridge
175067632,True,მერაბ კოსტავას ქუჩა,secondary,False,74.339,"LINESTRING (42.00122 41.9262701, 42.0010235 41.9263337, 42.0008498 41.9264049, 42.0004075 41.9265547)",,,,,
175067642,False,დოლიძის ქუჩა,tertiary,False,78.903,"LINESTRING (42.00122 41.9262701, 42.0014357 41.9265805, 42.0016249 41.9268472, 42.0016617 41.926899)",,,,,
175067647,True,დოლიძის ქუჩა,secondary,False,27.451,"LINESTRING (42.00122 41.9262701, 42.0010742 41.9262689, 42.0009796 41.9262593, 42.0008894 41.9262536)",,,,,
101157346,False,თაყაიშვილის ქუჩა,residential,False,117.37,"LINESTRING (42.0038261 41.918662, 42.0024333 41.9188622)",,,,,
101157917,False,ჩიტიძის ქუჩა,residential,False,239.466,"LINESTRING (42.0038261 41.918662, 42.0039704 41.9189993, 42.0041816 41.919296, 42.0029381 41.9198981, 42.0024879 41.9200297)",,,,,
101157272,True,ჭანტურიას ქუჩა,tertiary,False,18.302,"LINESTRING (42.0058169 41.9221621, 42.0055957 41.922164)",,,,,
101157502,True,ჭავჭავაძის ქუჩა,secondary,False,43.941,"LINESTRING (42.0058169 41.9221621, 42.0058012 41.9222574, 42.0057691 41.9225556)",,,,,
101157996,True,ჭავჭავაძის ქუჩა,secondary,False,44.363,"LINESTRING (42.0055957 41.922164, 42.0056242 41.9217656)",,,,,
101157272,True,ჭანტურიას ქუჩა,tertiary,False,83.825,"LINESTRING (42.0055957 41.922164, 42.0053948 41.9221658, 42.0045826 41.9221732)",,,,,
101157047,False,დავით გურამიშვილის ქუჩა,residential,True,85.162,"LINESTRING (42.0116456 41.9232659, 42.0119686 41.9225387)",,,,,
101157047,False,დავით გურამიშვილის ქუჩა,residential,False,154.248,"LINESTRING (42.0116456 41.9232659, 42.0113111 41.9239694, 42.0110183 41.9245722)",,,,,
124163692,True,თოიძის ქუჩა,primary,False,44.422,"LINESTRING (42.0065929 41.921502, 42.0061054 41.9216694)",შ 2,,,,
"[642197579, 1166995391]",False,დავით აღმაშენებლის ქუჩა,primary,True,205.935,"LINESTRING (42.0065929 41.921502, 42.0071448 41.9212228, 42.0080743 41.9209262, 42.0088595 41.9207773)",შ 2,2,50,,
101156974,False,ჭავჭავაძის ქუჩა,residential,True,318.99,"LINESTRING (42.0058447 41.9211615, 42.0061796 41.9201359, 42.0063933 41.9198541, 42.0066743 41.9197455, 42.0081263 41.9194536, 42.0083026 41.9194218)",,,,,
101157368,False,აღმაშენებლის ქუჩა,residential,True,280.481,"LINESTRING (42.0058447 41.9211615, 42.0059695 41.9211432, 42.0066192 41.9208903, 42.0068368 41.9208014, 42.0070297 41.9207119, 42.0075148 41.9204814, 42.0077728 41.920308, 42.007887 41.9202615, 42.0079497 41.9202586, 42.0080097 41.9202692, 42.0081218 41.9202947, 42.0081652 41.9203669, 42.0082281 41.9204494, 42.0083657 41.9204732, 42.0085203 41.9205096, 42.0086167 41.9205323, 42.0086387 41.9205406, 42.0087345 41.9205372)",,,,,
101157457,True,ჭავჭავაძის ქუჩა,primary,False,32.964,"LINESTRING (42.0058447 41.9211615, 42.0059022 41.9212292, 42.0059418 41.9212829, 42.0059597 41.9213286, 42.0059953 41.9214328)",შ 2,,50,,
101157711,True,,secondary,False,192.95399999999998,"LINESTRING (42.0052123 41.9274701, 42.0049916 41.9273634, 42.0049316 41.927343, 42.0032407 41.926728, 42.0031308 41.9266902)",,,,,
101157849,True,,secondary,False,26.025,"LINESTRING (42.0052123 41.9274701, 42.0051822 41.9274382, 42.0051663 41.927401, 42.005166 41.927362, 42.0051812 41.9273247, 42.0052107 41.9272924, 42.0052517 41.9272681)",,,,roundabout,
