nodeId,X,Y
0,100,84
1,102,85
2,105,85
3,127,85
4,174,85
5,93,86
6,94,86
7,111,86
8,111,86
9,139,87
10,154,87
11,117,88
12,148,88
13,157,88
14,174,88
15,86,89
16,109,89
17,112,89
18,167,89
19,168,89
20,172,89
21,172,89
22,172,89
23,173,89
24,174,89
25,87,90
26,94,90
27,95,90
28,101,90
29,104,90
30,105,90
31,113,90
32,119,90
33,153,90
34,154,90
35,159,90
36,172,90
37,173,90
38,173,90
39,175,90
40,88,91
41,105,91
42,105,91
43,106,91
44,168,91
45,88,92
46,88,92
47,89,92
48,90,92
49,105,92
50,119,92
51,121,92
52,122,92
53,122,92
54,91,93
55,94,93
56,100,93
57,101,93
58,119,93
59,99,94
60,104,94
61,118,94
62,119,94
63,120,94
64,121,94
65,126,94
66,97,95
67,98,95
68,98,95
69,99,95
70,104,95
71,118,95
72,129,95
73,131,95
74,138,95
75,143,95
76,144,95
77,159,95
78,104,96
79,174,96
80,152,97
81,158,97
82,172,97
83,94,98
84,104,98
85,118,98
86,118,98
87,152,98
88,99,99
89,99,99
90,104,99
91,104,99
92,118,99
93,128,99
94,130,99
95,152,99
96,154,99
97,158,99
98,160,99
99,93,100
100,104,100
101,118,100
102,135,100
103,137,100
104,138,100
105,139,100
106,142,100
107,143,100
108,143,100
109,144,100
110,146,100
111,147,100
112,147,100
113,149,100
114,151,100
115,152,100
116,154,100
117,101,101
118,105,101
119,129,101
120,156,101
121,157,101
122,158,101
123,159,101
124,159,101
125,161,101
126,161,101
127,162,101
128,163,101
129,164,101
130,165,101
131,93,102
132,103,102
133,104,102
134,104,102
135,105,102
136,105,102
137,129,102
138,159,102
139,165,102
140,97,103
141,105,103
142,105,103
143,105,103
144,106,103
145,129,103
146,130,103
147,136,103
148,166,103
149,106,104
150,106,104
151,106,104
152,107,104
153,108,104
154,108,104
155,108,104
156,130,104
157,130,104
158,151,104
159,151,104
160,154,104
161,159,104
162,93,105
163,97,105
164,106,105
165,107,105
166,107,105
167,107,105
168,107,105
169,107,105
170,146,126
171,142,127
172,99,128
173,142,130
174,100,131
175,100,131
176,94,132
177,95,132
178,112,133
179,142,133
180,100,134
181,106,134
182,100,135
183,112,136
184,142,136
185,149,136
186,142,137
187,101,138
188,142,138
189,101,139
190,114,140
191,142,140
192,142,140
193,90,141
194,91,141
195,91,141
196,101,141
197,107,141
198,142,141
199,169,141
200,90,142
201,90,142
202,101,142
203,142,142
204,142,142
205,142,142
206,142,142
207,143,142
208,143,142
209,143,142
210,143,142
211,144,142
212,144,142
213,144,142
214,144,142
215,144,142
216,144,142
217,144,142
218,142,143
219,142,143
220,142,143
221,142,143
222,142,143
223,142,143
224,142,143
225,143,143
226,143,143
227,143,143
228,143,143
229,143,143
230,143,143
231,143,143
232,143,143
233,143,144
234,143,144
235,143,144
236,143,144
237,143,144
238,143,144
239,143,145
240,143,145
241,143,147
242,143,152
243,143,153
244,143,154
245,143,157
246,143,157
247,143,158
248,143,158
249,143,97
250,144,148
251,144,148
252,144,149
253,144,150
254,144,150
255,144,151
256,144,152
257,144,153
258,144,154
259,144,155
260,144,156
261,144,157
262,144,158
263,144,90
264,145,90
265,145,90
266,145,92
267,145,93
268,145,159
269,145,160
270,145,165
271,145,90
272,146,162
273,146,169
274,146,171
275,146,90
276,147,165
277,147,90
278,148,177
279,148,177
280,148,90
281,149,169
282,149,169
283,149,170
284,149,177
285,149,180
286,149,180
287,149,180
288,149,181
289,149,89
290,150,89
291,150,90
292,150,180
293,150,180
294,150,181
295,150,181
296,150,181
297,150,181
298,150,181
299,150,182
300,150,182
301,150,182
302,150,89
303,151,90
304,151,182
305,151,182
306,151,183
307,151,184
308,151,89
309,152,90
310,153,90
311,153,90
312,154,90
313,154,90
314,154,90
315,154,91
316,154,187
317,154,91
318,155,91
319,155,91
320,155,91
321,155,92
322,155,92
323,155,93
324,155,94
325,155,94
326,155,94
327,155,94
328,155,94
329,155,99
330,156,102
331,156,107
332,156,109
333,156,110
334,171,166
335,94,167
336,88,168
337,158,168
338,113,169
339,130,173
340,131,173
341,134,173
342,158,173
343,125,174
