osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,bridge
13679194,True,All Saints Road,primary,False,228.28000000000003,"LINESTRING (-61.8431401 17.1162993, -61.8429651 17.115923, -61.8428813 17.1157427, -61.8426472 17.1152765, -61.842459 17.1149747, -61.8424165 17.1149295, -61.842202 17.1147828, -61.8419823 17.1146251)",,,
14012491,False,Sir Vivian Richards Street,primary,False,112.92,"LINESTRING (-61.8431401 17.1162993, -61.843326 17.1162663, -61.8435656 17.116229, -61.8436128 17.1162217, -61.8438065 17.1161918, -61.8440109 17.1161602, -61.8441902 17.116171)",,,
14012491,False,Sir Vivian Richards Street,primary,True,76.39999999999999,"LINESTRING (-61.8431401 17.1162993, -61.8428797 17.1163948, -61.8427692 17.1164165, -61.8427056 17.1164186, -61.8426137 17.1164155, -61.8424426 17.1164029)",,,
13251265,False,Perry Bay Road,secondary,True,81.794,"LINESTRING (-61.8441902 17.116171, -61.8447522 17.1162132, -61.8449574 17.1162299)",,,
14012491,False,Sir Vivian Richards Street,primary,True,112.92000000000002,"LINESTRING (-61.8441902 17.116171, -61.8440109 17.1161602, -61.8438065 17.1161918, -61.8436128 17.1162217, -61.8435656 17.116229, -61.843326 17.1162663, -61.8431401 17.1162993)",,,
18834989,False,Valley Road,primary,True,153.716,"LINESTRING (-61.8441902 17.116171, -61.8442748 17.1153498, -61.8443375 17.1147958)",2,,
359168661,True,Kentish Road,primary,False,179.09100000000004,"LINESTRING (-61.8441902 17.116171, -61.8441673 17.1163527, -61.8441371 17.1166959, -61.844126 17.1167849, -61.8440804 17.1173998, -61.8440545 17.1175125, -61.8440049 17.1177699)",2,,
14153862,True,Temple Street,residential,False,37.519,"LINESTRING (-61.8424426 17.1164029, -61.8424126 17.1167391)",,,
14012491,False,Sir Vivian Richards Street,primary,False,76.4,"LINESTRING (-61.8424426 17.1164029, -61.8426137 17.1164155, -61.8427056 17.1164186, -61.8427692 17.1164165, -61.8428797 17.1163948, -61.8431401 17.1162993)",,,
14012491,False,Sir Vivian Richards Street,primary,True,37.403999999999996,"LINESTRING (-61.8424426 17.1164029, -61.8424101 17.1163998, -61.8420927 17.1163665)",,,
14012491,False,Sir Vivian Richards Street,primary,False,53.586,"LINESTRING (-61.84044 17.1162601, -61.8409436 17.1162844)",,,
359168666,False,Camacho Avenue,primary,True,36.198,"LINESTRING (-61.84044 17.1162601, -61.8404452 17.1165856)",,,
359168666,False,Camacho Avenue,primary,False,84.062,"LINESTRING (-61.84044 17.1162601, -61.8404362 17.1161374, -61.8404255 17.1159554, -61.8404116 17.115841, -61.8403772 17.115735, -61.8402672 17.1155363)",,,
19074687,True,High Street,tertiary,False,55.958,"LINESTRING (-61.8432253 17.1215655, -61.8437486 17.1216216)",1,,
14146691,True,Corn Alley,primary,False,66.20400000000001,"LINESTRING (-61.8432253 17.1215655, -61.8432553 17.1212897, -61.843274 17.1209721)",1,,
18854570,True,New Street,primary,False,34.22,"LINESTRING (-61.8435249 17.1182792, -61.8436097 17.1182775, -61.8437279 17.1182711, -61.8438451 17.1182525)",,,
13678985,True,Market Street,primary,False,41.333,"LINESTRING (-61.8437486 17.1216216, -61.8437281 17.1219928)",1,,
377482760,True,High Street,residential,False,130.53,"LINESTRING (-61.8437486 17.1216216, -61.8441618 17.1216624, -61.8445051 17.1216854, -61.8449727 17.1217172)",,,
13678985,True,Market Street,primary,False,40.996,"LINESTRING (-61.8437281 17.1219928, -61.8437063 17.1223609)",1,,
