osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction,bridge,lanes
4058916,477,Nygata,primary,50,False,False,90.41,"LINESTRING (7.4486736 58.0232944, 7.4488123 58.023385, 7.4495962 58.0239442)",,,,
228488758,,Fridtjof Nansens vei,tertiary,30,False,True,68.56,"LINESTRING (7.4486736 58.0232944, 7.4489139 58.0231951, 7.4493464 58.0230388, 7.4496124 58.0229302)",,,,
"[4085401, 483302470]",477,Fridtjof Nansens vei,primary,"['40', '50']",False,True,125.197,"LINESTRING (7.4486736 58.0232944, 7.4474049 58.0237561, 7.4472129 58.023827, 7.4469236 58.0239338)",,,,
5067627,,Verftsgata,residential,30,False,False,96.5,"LINESTRING (7.4514388 58.0233087, 7.4513904 58.0232335, 7.4505127 58.0225967)",,,,
483301903,,Kastellgata,unclassified,30,False,True,93.37299999999999,"LINESTRING (7.4514388 58.0233087, 7.4513894 58.0234189, 7.4513104 58.0235327, 7.4508546 58.0240877)",,,,
483301984,,Skippergata,unclassified,30,False,True,65.536,"LINESTRING (7.4514388 58.0233087, 7.4512087 58.0233365, 7.4510041 58.0234022, 7.4504927 58.0236039)",,,,
"[547323082, 547323083]",,,residential,,False,"[False, True]",57.039,"LINESTRING (7.4514388 58.0233087, 7.4515968 58.02318, 7.4517307 58.0230629, 7.4518417 58.0229723, 7.4520327 58.0230261)",,,,
4247038,,Johnstons gate,residential,30,True,False,22.181,"LINESTRING (7.4523253 58.0269304, 7.4522035 58.0269917, 7.4520793 58.0270805)",,,,
114951404,,Store Elvegate,unclassified,30,True,False,71.755,"LINESTRING (7.4523253 58.0269304, 7.4521215 58.0268309, 7.4520082 58.0267755, 7.4518649 58.0267035, 7.4517647 58.0266562, 7.451711 58.0266272, 7.451446 58.0264839)",,,,
4247042,,Johnstons gate,residential,,False,True,32.607,"LINESTRING (7.4520793 58.0270805, 7.452069 58.0270324, 7.4517728 58.0269091, 7.4517035 58.0268825)",,,,
114951471,,Johnstons gate,residential,30,False,False,18.159,"LINESTRING (7.4520793 58.0270805, 7.4519545 58.0271481, 7.4518626 58.0271967)",,,,
483301901,,Johnstons gate,residential,30,False,True,48.178,"LINESTRING (7.4520793 58.0270805, 7.4523314 58.0271909, 7.452575 58.0272705, 7.4527518 58.0273253)",,,,
4247042,,Johnstons gate,residential,,False,False,32.607,"LINESTRING (7.4517035 58.0268825, 7.4517728 58.0269091, 7.452069 58.0270324, 7.4520793 58.0270805)",,,,
4247039,,Johnstons gate,residential,,False,False,26.248,"LINESTRING (7.4517257 58.0272741, 7.4521296 58.027374)",,,,
114951471,,Johnstons gate,residential,30,False,False,8.323,"LINESTRING (7.4517257 58.0272741, 7.4515981 58.0273063)",,,,
114951471,,Johnstons gate,residential,30,False,True,11.792,"LINESTRING (7.4517257 58.0272741, 7.4518626 58.0271967)",,,,
114951471,,Johnstons gate,residential,30,False,True,8.323,"LINESTRING (7.4515981 58.0273063, 7.4517257 58.0272741)",,,,
37973970,,Johnstons gate,residential,,False,True,24.837,"LINESTRING (7.4515981 58.0273063, 7.451628 58.027379, 7.4518581 58.0274647)",,,,
114951471,,Johnstons gate,residential,30,False,False,20.418,"LINESTRING (7.4515981 58.0273063, 7.4515298 58.0273076, 7.451257 58.0272781)",,,,
4215127,,Mellomgata,residential,30,False,False,41.68,"LINESTRING (7.451257 58.0272781, 7.4508271 58.0275759)",,,,
114951471,,Johnstons gate,residential,30,False,False,40.173,"LINESTRING (7.451257 58.0272781, 7.4511427 58.0272494, 7.4506981 58.0270728)",,,,
