osmid,bridge,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes
"[4747073, 4721137]",yes,5240,Foldnesvegen,secondary,50,False,False,85.68199999999999,"LINESTRING (5.1212144 60.3608708, 5.1212797 60.3607646, 5.1213351 60.3606395, 5.121367 60.3605495, 5.1213927 60.3604717, 5.1214481 60.3603159, 5.1215149 60.3601786, 5.1215681 60.3601226)",,
60962472,,5240,Foldnesvegen,secondary,50,True,False,48.226,"LINESTRING (5.1212144 60.3608708, 5.121186 60.3609774, 5.121167 60.3610609, 5.1211625 60.3611247, 5.1211693 60.3611865, 5.1211851 60.3612392, 5.1212224 60.3612996)",,
"[650290521, 5662058]",,5240,Arefjordvegen,secondary,50,False,False,52.038,"LINESTRING (5.124741 60.357016, 5.1253249 60.3569801, 5.1256803 60.3569596)",,
1021996362,,5240,Arefjordvegen,secondary,50,True,False,18.721,"LINESTRING (5.124741 60.357016, 5.1247 60.357044, 5.124525 60.357075, 5.124446 60.35709)",,
"[372263865, 372263861]",,,Bildøyvegen,tertiary,,False,True,192.85799999999998,"LINESTRING (5.117227 60.3558882, 5.1172806 60.355863, 5.1173356 60.3558437, 5.1174054 60.3558258, 5.1174798 60.3558175, 5.1175797 60.3558129, 5.1176716 60.3558166, 5.1177815 60.3558298, 5.1178788 60.3558514, 5.117978 60.3558852, 5.1180712 60.3559167, 5.1181833 60.3559581, 5.1184347 60.356049, 5.1187471 60.3561479, 5.1190187 60.3562258, 5.119183 60.356262, 5.1193654 60.3562961, 5.1196758 60.3563389, 5.1198396 60.3563705, 5.1201507 60.3564395, 5.1203398 60.3564898)",,
4729178,,,Bildøyvegen,tertiary,,False,False,95.199,"LINESTRING (5.124019 60.357052, 5.1235731 60.3570941, 5.1233722 60.3571076, 5.123225 60.3571179, 5.1231903 60.3571203, 5.1231608 60.3571223, 5.1223084 60.3571817)",,
1021996359,,5240,Foldnesvegen,secondary,50,True,False,31.147000000000002,"LINESTRING (5.124019 60.357052, 5.124025 60.357022, 5.124035 60.357007, 5.124067 60.35698, 5.124113 60.356959, 5.124169 60.356944, 5.124231 60.356939, 5.124294 60.356942, 5.124324 60.356947, 5.124379 60.356962, 5.124422 60.356985)",roundabout,
"[4747076, 372263805]",,,Grønamyrvegen,tertiary,,False,False,193.78500000000003,"LINESTRING (5.1242044 60.3604937, 5.1244049 60.3604678, 5.1246008 60.3604386, 5.1248179 60.3603987, 5.1249627 60.3603495, 5.1251462 60.3602623, 5.1252936 60.3601433, 5.125527 60.3598744, 5.1257816 60.359633, 5.1260571 60.3593741, 5.1260917 60.3593436, 5.1262697 60.3591868)",,
372263772,,555,,trunk,50,True,False,3.306,"LINESTRING (5.1242044 60.3604937, 5.1242012 60.3605085, 5.1241939 60.3605229)",roundabout,2
372263801,,,Grønamyrvegen,unclassified,,False,True,99.88400000000001,"LINESTRING (5.1262697 60.3591868, 5.126344 60.3591903, 5.1264283 60.3592083, 5.1265365 60.3592517, 5.1265827 60.3592779, 5.126617 60.3592972, 5.126644 60.3593125, 5.126678 60.3593392, 5.1267028 60.3593587, 5.1267199 60.3593875, 5.126721 60.3594258, 5.1266948 60.3595125, 5.1266595 60.3595897, 5.1265992 60.3596928, 5.1265752 60.359739, 5.1265664 60.3597518, 5.1265487 60.3597775, 5.1265452 60.3598012, 5.1265627 60.3598325, 5.1266003 60.3598576, 5.1266714 60.3598892, 5.1267408 60.35992)",,
