osmid,oneway,name,highway,reversed,length,ref,maxspeed,width,geometry,bridge,junction
69889373,True,Sentrum,unclassified,False,13.336,,,,"LINESTRING (21.0230711 69.7677714, 21.0232656 69.7676721)",,
57972775,False,Sentrum,trunk,False,39.384,E 6,50,7,"LINESTRING (21.0230711 69.7677714, 21.0232334 69.7677974, 21.023397 69.7678303, 21.0235673 69.7678711, 21.0237376 69.7679166, 21.0239133 69.7679699)",,
57972775,False,Sentrum,trunk,True,63.263,E 6,50,7,"LINESTRING (21.0230711 69.7677714, 21.0228646 69.7677445, 21.0225561 69.7677111, 21.0223375 69.7676967, 21.0220934 69.7676875, 21.0214618 69.7676721)",,
57972775,False,Sentrum,trunk,True,26.028,E 6,50,7,"LINESTRING (21.0243425 69.7681503, 21.0242258 69.7680923, 21.024093 69.7680353, 21.0239133 69.7679699)",,
252829829,True,Høgeggvegen,secondary,False,32.033,8650,50,,"LINESTRING (21.0243425 69.7681503, 21.0245255 69.7681292, 21.0246355 69.7681117, 21.0247399 69.7680874, 21.02483 69.7680583, 21.0249306 69.7680309, 21.0250559 69.7680079)",,
1075143497,False,Sentrum,trunk,False,13.389,E 6,50,7,"LINESTRING (21.0243425 69.7681503, 21.0244283 69.768206, 21.0244926 69.7682588)",,
252829831,True,Høgeggvegen,secondary,False,36.886,8650,50,,"LINESTRING (21.0250559 69.7680079, 21.0250275 69.7680607, 21.0249068 69.7681329, 21.0248445 69.7681637, 21.0247755 69.7681951, 21.0246798 69.7682248, 21.0245863 69.7682418, 21.0244926 69.7682588)",,
282677742,False,Høgeggvegen,secondary,True,51.148,8650,50,,"LINESTRING (21.0250559 69.7680079, 21.025127 69.7679629, 21.0254596 69.7676703, 21.0255696 69.767584)",,
329962953,False,Sentrum,trunk,False,97.21199999999999,E 6,50,7,"LINESTRING (21.0244926 69.7682588, 21.0245544 69.7683168, 21.0246254 69.7683994, 21.0246751 69.7684699, 21.0247247 69.7685566, 21.0247529 69.7686067, 21.0247958 69.7687105, 21.0248628 69.7688956, 21.0249145 69.7690428, 21.024942 69.7691168)",,
1075143497,False,Sentrum,trunk,True,13.389,E 6,50,7,"LINESTRING (21.0244926 69.7682588, 21.0244283 69.768206, 21.0243425 69.7681503)",,
"[252829825, 57972775, 252829832, 57972791, 69889369]",False,"['Storslett bru', 'Sentrum', 'Hovedvegen']",trunk,False,257.159,E 6,50,7,"LINESTRING (21.0147909 69.7675803, 21.0150164 69.7675683, 21.015337 69.7675571, 21.0156186 69.7675502, 21.0160276 69.7675506, 21.0164434 69.7675571, 21.0173918 69.7675796, 21.0193865 69.7676243, 21.0205262 69.7676516, 21.0212365 69.767668, 21.0214618 69.7676721)",yes,
