osmid,ref,name,highway,maxspeed,oneway,reversed,length,tunnel,width,geometry,lanes,junction,bridge
"[331126656, 562904323, 25186134]",E 10,"['Svolværveien', 'Nonshaugtunnelen']",trunk,50,False,False,186.07800000000003,yes,7,"LINESTRING (14.556069 68.236314, 14.5564146 68.2363138, 14.5566435 68.2363096, 14.5569722 68.2362996, 14.5573372 68.2362837, 14.5577741 68.2362586, 14.5580783 68.236237, 14.5585383 68.2361977, 14.5590131 68.2361469, 14.5594624 68.2360868, 14.5597403 68.2360469, 14.5599276 68.2360168, 14.5602062 68.23597, 14.5604172 68.2359296)",,,
"[1181930209, 331126655]",E 10,Svolværveien,trunk,50,True,False,121.282,,,"LINESTRING (14.556069 68.236314, 14.5556536 68.2363304, 14.5543012 68.2363247, 14.5536457 68.2363187, 14.5531302 68.2363126)",2,,
37305703,,Kirkegata,residential,,False,False,65.383,,,"LINESTRING (14.5638565 68.2335966, 14.5635335 68.2332953, 14.5635317 68.2332655, 14.5635734 68.2332306, 14.5638039 68.2331819, 14.5639301 68.2331485, 14.5640177 68.2331253)",,,
25186340,,Storøyveien,residential,,False,True,55.35300000000001,,,"LINESTRING (14.5570308 68.2358062, 14.5569694 68.2356943, 14.5569159 68.2355628, 14.556907 68.2354875, 14.5569365 68.2353126)",,,
"[562904330, 25186341]",,Valgata,residential,,False,"[False, True]",121.07199999999999,,,"LINESTRING (14.5602583 68.2345161, 14.5600293 68.2345497, 14.5599647 68.2345594, 14.5596008 68.2346117, 14.5592598 68.2346596, 14.559121 68.2346797, 14.5590054 68.2346964, 14.5580435 68.2348382, 14.5578609 68.2348605, 14.5576536 68.2348305, 14.5575201 68.234812)",,,
38284678,,,residential,,True,False,5.668,,,"LINESTRING (14.5602583 68.2345161, 14.5602558 68.2344992, 14.5602766 68.234484, 14.560315 68.2344747)",,roundabout,
37305701,,Johan E. Paulsens gate,residential,,False,True,59.077,,,"LINESTRING (14.5671351 68.2331059, 14.5658453 68.2333372)",,,
26173678,,Parkgata,residential,,False,True,85.191,,,"LINESTRING (14.5699437 68.2346231, 14.5690436 68.2348092, 14.5681077 68.2349736)",,,
37391622,,Hvalfangergata,residential,,False,True,80.875,,,"LINESTRING (14.5581403 68.2312987, 14.5583251 68.2315889, 14.5585532 68.2316685, 14.5587269 68.2316798, 14.5588982 68.231691, 14.5593752 68.2316438)",,,
"[562904313, 25116433]",,Fiskergata,unclassified,,False,"[False, True]",294.726,,,"LINESTRING (14.5641298 68.2290206, 14.5648905 68.228928, 14.5652351 68.2289542, 14.5653264 68.2289612, 14.5660162 68.2291539, 14.5663154 68.2292375, 14.5669286 68.2294923, 14.5669654 68.229515, 14.5669776 68.2295583, 14.566958 68.2295846, 14.5668738 68.2296425, 14.5663274 68.2299423, 14.5658748 68.2302264, 14.5657547 68.2302802, 14.5656743 68.2303119, 14.5654962 68.2303688, 14.5651316 68.230457, 14.5647171 68.2305315)",,,
25186342,,Lofotgata,residential,,True,False,31.076,,,"LINESTRING (14.5611634 68.2353845, 14.5612609 68.2354233, 14.5613405 68.2354558, 14.5615224 68.2355168, 14.5617012 68.23558)",,,
562904315,,Lofotgata,residential,,False,False,60.423,,,"LINESTRING (14.5611634 68.2353845, 14.5610213 68.2352271, 14.5607073 68.2348681)",,,
5029866,E 10,Svolværveien,trunk,50,True,False,48.93599999999999,,,"LINESTRING (14.562362 68.2361318, 14.5622043 68.2360725, 14.5620818 68.2360065, 14.5619141 68.2359335, 14.5617338 68.2358567, 14.561605 68.2357938)",2,,
80346422,E 10,Svolværveien,trunk,50,False,False,67.672,,6.5,"LINESTRING (14.562362 68.2361318, 14.5626879 68.2363375, 14.5628189 68.2364025, 14.5630224 68.2364922, 14.5632126 68.2365559, 14.5633787 68.2366015)",,,
