osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,tunnel
35069637,Lagesensgate,residential,False,True,144.799,"LINESTRING (10.2584507 60.1702685, 10.2582456 60.1703013, 10.2581965 60.1703038, 10.2573394 60.1703469, 10.2566471 60.1703818, 10.256433 60.1704561, 10.2562306 60.1707023)",,,,,
"[1125279065, 738175818, 188693678]","['Hønefoss bru', 'Strandgata']",primary,True,False,238.898,"LINESTRING (10.2584507 60.1702685, 10.2582869 60.1701455, 10.2579965 60.1698339, 10.2578875 60.1697151, 10.2566133 60.168326)",290,40,yes,2,
175763500,,residential,False,False,78.358,"LINESTRING (10.2639134 60.1629739, 10.2635515 60.1636552)",,,,,
175763507,Owrens gate,residential,False,True,72.095,"LINESTRING (10.2639134 60.1629739, 10.2631879 60.1629072, 10.2626391 60.1628396)",,,,,
309056007,Anna Colbjørnsdatters gate,residential,False,False,75.23,"LINESTRING (10.2626391 60.1628396, 10.2622625 60.1634897)",,,,,
309056007,Anna Colbjørnsdatters gate,residential,False,True,91.467,"LINESTRING (10.2626391 60.1628396, 10.2630741 60.162046)",,,,,
175763507,Owrens gate,residential,False,False,72.095,"LINESTRING (10.2626391 60.1628396, 10.2631879 60.1629072, 10.2639134 60.1629739)",,,,,
175763507,Owrens gate,residential,False,True,71.27199999999999,"LINESTRING (10.2626391 60.1628396, 10.2618713 60.1627376, 10.2617934 60.1627261, 10.2613972 60.1626693)",,,,,
26552904,Bloms gate,residential,False,False,71.719,"LINESTRING (10.261899 60.1642087, 10.2606481 60.1640393)",,,,,
26552904,Bloms gate,residential,False,True,60.793,"LINESTRING (10.261899 60.1642087, 10.2629661 60.1643393)",,,,,
309056007,Anna Colbjørnsdatters gate,residential,False,True,82.44,"LINESTRING (10.261899 60.1642087, 10.2622625 60.1634897)",,,,,
"[120222238, 309056007]","['Stangs gate', 'Anna Colbjørnsdatters gate']","['residential', 'living_street']",False,"[False, True]",132.685,"LINESTRING (10.261899 60.1642087, 10.2616154 60.1646945, 10.2614652 60.1646771, 10.261319 60.1646611, 10.2612586 60.1646658, 10.2610494 60.1646952, 10.2610092 60.1647011, 10.2604784 60.1647635, 10.260273 60.1647376)",,,,,
