osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction,width
102703410,St Olavs gate,residential,30,False,False,191.126,"LINESTRING (16.535528 68.8010304, 16.5356724 68.8010557, 16.5357822 68.8010913, 16.5363859 68.8013399, 16.5364623 68.8013699, 16.5365763 68.801417, 16.5368968 68.8015377, 16.5371801 68.8016427, 16.5376199 68.8017925, 16.5382496 68.801999, 16.5389514 68.8022152)",,,,
1072918768,Fogd Hinds vei,residential,,False,True,119.552,"LINESTRING (16.535528 68.8010304, 16.53527 68.8010173, 16.5351145 68.8010179, 16.5350107 68.8010255, 16.5347316 68.801054, 16.5343172 68.801105, 16.5337901 68.8012334, 16.5335223 68.8013007, 16.5331812 68.8013629, 16.5328278 68.8014133)",,,,
1072918769,St Olavs gate,tertiary,40,False,True,368.219,"LINESTRING (16.535528 68.8010304, 16.5356201 68.8009708, 16.5356576 68.8009325, 16.5356697 68.800886, 16.5356576 68.8008399, 16.5356014 68.8007578, 16.5351225 68.8002608, 16.5348785 68.800014, 16.5347819 68.7999218, 16.534688 68.7998428, 16.5346076 68.7997773, 16.5344409 68.7996598, 16.5343382 68.79959, 16.5342659 68.7995412, 16.5332007 68.7988311, 16.5321605 68.7981423, 16.5319799 68.7980403)",,,,
1073736119,Åsveien,tertiary,40,False,False,212.99800000000002,"LINESTRING (16.535528 68.8010304, 16.5353482 68.8011304, 16.5345783 68.8015816, 16.5342057 68.8018158, 16.5340003 68.80195, 16.5338184 68.8020802, 16.5336369 68.8022148, 16.5334353 68.8024127, 16.5332624 68.8026132, 16.5331756 68.8027352)",,,,
103219375,,residential,,False,True,55.516,"LINESTRING (16.5386058 68.7970319, 16.538475 68.7970762, 16.5377392 68.7973089, 16.5375656 68.79736)",,,,
144432829,Sigurds gate,residential,,False,False,63.790000000000006,"LINESTRING (16.5386058 68.7970319, 16.5387566 68.7969809, 16.5397854 68.7966484)",,,,
425997900,Storgata,trunk,40,False,False,82.685,"LINESTRING (16.5386058 68.7970319, 16.5387933 68.7971107, 16.539105 68.7972464, 16.5396972 68.7974992, 16.5399353 68.7975991)",83,,,
425997900,Storgata,trunk,40,False,True,84.00200000000001,"LINESTRING (16.5386058 68.7970319, 16.5384723 68.7969584, 16.5379412 68.7964678, 16.5378048 68.7963361)",83,,,
26410744,Eriks gate,residential,50,False,True,57.587,"LINESTRING (16.5399353 68.7975991, 16.5397939 68.7976253, 16.5389499 68.797876, 16.5388397 68.7979279)",,,,
143901146,Fjordgata,residential,,False,False,142.691,"LINESTRING (16.5399353 68.7975991, 16.5400934 68.797575, 16.5408177 68.7973479, 16.5409478 68.7972954, 16.5409962 68.7972374, 16.5409811 68.7971794, 16.5409031 68.7971356, 16.5397854 68.7966484)",,,,
425997900,Storgata,trunk,40,False,False,105.965,"LINESTRING (16.5399353 68.7975991, 16.5401042 68.7976711, 16.5414695 68.7982502, 16.5416405 68.7983256)",83,,,
425997900,Storgata,trunk,40,False,True,82.685,"LINESTRING (16.5399353 68.7975991, 16.5396972 68.7974992, 16.539105 68.7972464, 16.5387933 68.7971107, 16.5386058 68.7970319)",83,,,
425997900,Storgata,trunk,40,False,False,102.41400000000002,"LINESTRING (16.5416405 68.7983256, 16.5418195 68.7984012, 16.5422396 68.7985807, 16.5431385 68.7989648, 16.5432822 68.7990297)",83,,,
425997900,Storgata,trunk,40,False,True,105.965,"LINESTRING (16.5416405 68.7983256, 16.5414695 68.7982502, 16.5401042 68.7976711, 16.5399353 68.7975991)",83,,,
"[8182043, 1060422998]","['Verftsgata', 'Fjordgata']",unclassified,,False,False,80.77,"LINESTRING (16.5416405 68.7983256, 16.5417813 68.7982843, 16.5425423 68.7980485, 16.5427344 68.7980109, 16.5428542 68.7980046, 16.5430097 68.7980181, 16.5431667 68.7980671, 16.543242 68.7981001)",,,,
8177245,Hvedings gate,residential,,False,False,64.393,"LINESTRING (16.5432822 68.7990297, 16.5434167 68.7989882, 16.5443713 68.7986925, 16.5445023 68.7986547)",,,,
102013945,Hvedings gate,residential,50,False,False,56.549,"LINESTRING (16.5432822 68.7990297, 16.5431414 68.7990747, 16.5423424 68.799322, 16.5422192 68.7993626)",,,,
"[8318316, 425997900]","['Storgata', 'Fjordgata']",trunk,40,False,False,118.956,"LINESTRING (16.5432822 68.7990297, 16.5434052 68.7990874, 16.5439951 68.799343, 16.5441117 68.7993846, 16.5442021 68.7994077, 16.5442766 68.7994254, 16.5443872 68.7994172, 16.5445373 68.7993858, 16.5449613 68.7992746, 16.5451765 68.7992229, 16.5453524 68.7991885, 16.545451 68.7991772, 16.5455509 68.7991726)",83,,,
425997900,Storgata,trunk,40,False,True,102.41400000000002,"LINESTRING (16.5432822 68.7990297, 16.5431385 68.7989648, 16.5422396 68.7985807, 16.5418195 68.7984012, 16.5416405 68.7983256)",83,,,
8177245,Hvedings gate,residential,,False,True,64.393,"LINESTRING (16.5445023 68.7986547, 16.5443713 68.7986925, 16.5434167 68.7989882, 16.5432822 68.7990297)",,,,
8182043,Fjordgata,unclassified,,False,True,79.825,"LINESTRING (16.5445023 68.7986547, 16.5443861 68.7986015, 16.543242 68.7981001)",,,,
59054379,Fjordgata,residential,,False,False,72.244,"LINESTRING (16.5445023 68.7986547, 16.5446266 68.7987112, 16.5452778 68.7989935, 16.54551 68.7990992, 16.5455509 68.7991726)",,,,
117598450,Hvedings gate,residential,,False,False,76.996,"LINESTRING (16.5445023 68.7986547, 16.5446855 68.7985998, 16.5459773 68.7982132)",,,,
102013945,Hvedings gate,residential,50,False,False,8.33,"LINESTRING (16.5410213 68.7997241, 16.5408639 68.7997728)",,,,
