osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,bridge
25358767,Helgelands gate,residential,False,False,44.193999999999996,"LINESTRING (12.6370269 66.0225034, 12.6369672 66.0225413, 12.6368541 66.0226027, 12.636581 66.0227823, 12.6364975 66.0228373)",,,,
61459359,Syv Søstres gate,tertiary,False,False,245.03300000000002,"LINESTRING (12.6370269 66.0225034, 12.6370291 66.0224645, 12.636902 66.0223889, 12.6367309 66.0222867, 12.6362755 66.022013, 12.6360424 66.0219098, 12.6358509 66.0218047, 12.6356455 66.0216919, 12.6349994 66.0214571, 12.6346689 66.0213501, 12.6340978 66.0211774, 12.6333302 66.0209356)",,,,
326331805,Sjøbergs gate,tertiary,False,True,105.568,"LINESTRING (12.6370269 66.0225034, 12.6372316 66.0225649, 12.6374609 66.0226264, 12.6380017 66.0227675, 12.6383762 66.0228726, 12.6385802 66.0229299, 12.6388176 66.0229865, 12.6389821 66.0230217)",,,,
326331806,Sjøbergs gate,residential,True,False,302.58599999999996,"LINESTRING (12.6370269 66.0225034, 12.6369312 66.0224802, 12.6367267 66.0223944, 12.6361372 66.0221767, 12.6354471 66.0219761, 12.635143 66.0218931, 12.6326043 66.0213202, 12.6319021 66.0211554, 12.6316772 66.0210988, 12.6315876 66.0210702, 12.6315303 66.0209982)",,,,
25358767,Helgelands gate,residential,False,True,49.781,"LINESTRING (12.6358808 66.0232045, 12.6358821 66.0231856, 12.6362227 66.0229928, 12.6363877 66.0228994, 12.6364975 66.0228373)",,,,
61459368,Torolv Kveldulvsons gate,primary,False,True,44.798,"LINESTRING (12.6420268 66.0242787, 12.6419309 66.0242763, 12.6415493 66.0242179, 12.6415136 66.024213, 12.6412954 66.0241832, 12.6410871 66.0241548)",809,50,,
158351220,Jektskarveien,residential,False,True,291.672,"LINESTRING (12.6305942 66.0175642, 12.6306748 66.0176775, 12.6308131 66.0178009, 12.630991 66.0179282, 12.6312168 66.0180628, 12.6315938 66.0182559, 12.6324069 66.0186222, 12.6325053 66.0186751, 12.6329856 66.0190141, 12.6333808 66.0193648, 12.6334612 66.0194237, 12.6336158 66.019519, 12.6336635 66.0195622, 12.6336923 66.0196101, 12.6336919 66.0196575, 12.6336526 66.0197504, 12.6336085 66.0198048)",,,,
25155096,,primary,True,False,14.123000000000001,"LINESTRING (12.6320486 66.0178979, 12.6319656 66.0179178, 12.6319033 66.0179234, 12.6318166 66.0179209, 12.631756 66.0179109)",17,50,roundabout,
654420279,,primary,True,False,56.082,"LINESTRING (12.6320486 66.0178979, 12.6320579 66.0179384, 12.6320906 66.018061, 12.6321159 66.0180921, 12.6322794 66.0182605, 12.6323969 66.0183494, 12.6324179 66.0183736)",809,50,,
25155096,,primary,True,False,10.208,"LINESTRING (12.631756 66.0179109, 12.6316806 66.0178857, 12.6316465 66.0178639, 12.6316272 66.0178388)",17,50,roundabout,
