osmid,highway,oneway,reversed,length,geometry,name,maxspeed,ref,junction,lanes
8042319,unclassified,False,False,11.075,"LINESTRING (5.6556361 58.7363259, 5.6556354 58.7363236, 5.6556201 58.7362752, 5.655566 58.736236)",,,,,
8042319,unclassified,False,True,11.075,"LINESTRING (5.655566 58.736236, 5.6556201 58.7362752, 5.6556354 58.7363236, 5.6556361 58.7363259)",,,,,
"[799171521, 799171522, 299050299]",residential,False,"[False, True]",165.77999999999997,"LINESTRING (5.655566 58.736236, 5.655522 58.73625, 5.6554511 58.7362515, 5.6553481 58.7362484, 5.6551931 58.7362436, 5.6548249 58.736232, 5.6547578 58.7362295, 5.654552 58.736223, 5.654394 58.736223, 5.654203 58.736227, 5.654039 58.736237, 5.653851 58.736253, 5.6533605 58.7362977, 5.6532466 58.736315, 5.6533003 58.7364706, 5.6530833 58.736498)",Røyrvika,"['30', '50']",,,
299050299,residential,False,True,17.744,"LINESTRING (5.655566 58.736236, 5.655584 58.736226, 5.655603 58.736199, 5.655617 58.736168, 5.655631 58.736083)",Røyrvika,30,,,
4351535,residential,False,True,65.68,"LINESTRING (5.656255 58.736701, 5.6562936 58.7364471, 5.6563281 58.7362193, 5.656337 58.736161, 5.656338 58.736112)",Røyrvika,50,,,
8426280,residential,False,False,10.059,"LINESTRING (5.650441 58.7389, 5.6504421 58.7388705, 5.6504649 58.7388107)",Kuhagen,,,,
8426281,residential,False,False,93.19399999999999,"LINESTRING (5.650441 58.7389, 5.6505055 58.7389039, 5.650574 58.738922, 5.651765 58.739372)",Kuhagen,30,,,
8426281,residential,False,True,127.469,"LINESTRING (5.650441 58.7389, 5.6503731 58.7389354, 5.650264 58.739056, 5.650108 58.739242, 5.650088 58.739283, 5.650088 58.739316, 5.650101 58.739335, 5.650302 58.73941, 5.650689 58.739539, 5.651189 58.739685)",Kuhagen,30,,,
8426280,residential,False,True,10.059,"LINESTRING (5.6504649 58.7388107, 5.6504421 58.7388705, 5.650441 58.7389)",Kuhagen,,,,
279556966,residential,False,True,139.84199999999998,"LINESTRING (5.643563 58.7370939, 5.643709 58.738191, 5.643731 58.738276, 5.64374 58.738348)",Kvernhusbakken,30,,,
283262528,residential,False,False,248.44000000000005,"LINESTRING (5.6474534 58.7356382, 5.646559 58.735636, 5.6465026 58.7356369, 5.646124 58.735643, 5.6458281 58.7356532, 5.645716 58.735663, 5.645529 58.735692, 5.645398 58.735715, 5.645333 58.73573, 5.6451998 58.7357674, 5.645144 58.735783, 5.644956 58.735849, 5.644469 58.736038, 5.644284 58.736105, 5.644157 58.736142, 5.643894 58.736205, 5.6434804 58.7362968)",Lauritz Bellesens gate,30,,,
283262528,residential,False,True,14.911,"LINESTRING (5.6432424 58.736349, 5.6434804 58.7362968)",Lauritz Bellesens gate,30,,,
312006995,residential,False,False,55.34,"LINESTRING (5.6407253 58.7311596, 5.6397889 58.7312666)",Gudrun Lalands veg,,,,
312006995,residential,False,True,55.34,"LINESTRING (5.6397889 58.7312666, 5.6407253 58.7311596)",Gudrun Lalands veg,,,,
24740269,residential,False,True,40.068,"LINESTRING (5.6397889 58.7312666, 5.639819 58.73137, 5.639814 58.731483, 5.639786 58.731625)",Gudrun Lalands veg,30,,,
"[4368442, 799172939]","['residential', 'unclassified']",False,True,267.781,"LINESTRING (5.642201 58.7335231, 5.6420829 58.7334313, 5.641959 58.733335, 5.641902 58.73332, 5.641846 58.733311, 5.64176 58.733308, 5.64171 58.733312, 5.641401 58.733366, 5.641178 58.733403, 5.64112 58.733416, 5.641083 58.733434, 5.64105 58.733455, 5.641025 58.733481, 5.641013 58.733508, 5.641016 58.733547, 5.641049 58.733619, 5.64111 58.733705, 5.641205 58.733812, 5.641509 58.734077, 5.6424777 58.7348659, 5.642523 58.734907)",Skulegata,30,,,
4330161,unclassified,False,True,48.013999999999996,"LINESTRING (5.65168 58.7316834, 5.651639 58.731876, 5.6515823 58.7321122)",Hetlandsgata,30,,,
799171400,residential,False,True,52.702999999999996,"LINESTRING (5.65168 58.7316834, 5.6515472 58.731753, 5.6514855 58.7320356, 5.6515823 58.7321122)",,,,,
299050293,primary,True,False,10.536,"LINESTRING (5.651078 58.735673, 5.651113 58.735664, 5.651128 58.735662, 5.651173 58.735659, 5.651204 58.735663, 5.65124 58.735671, 5.65125 58.735674)",,40,506,roundabout,
635060330,unclassified,True,False,29.269000000000002,"LINESTRING (5.651078 58.735673, 5.651121 58.735616, 5.651132 58.735552, 5.65114 58.735503, 5.651188 58.735418)",Hetlandsgata,30,,,
299050293,primary,True,False,4.431,"LINESTRING (5.651026 58.735702, 5.651049 58.735686, 5.651078 58.735673)",,40,506,roundabout,
299050293,primary,True,False,2.211,"LINESTRING (5.65125 58.735674, 5.651279 58.735687)",,40,506,roundabout,
299050293,primary,True,False,11.826,"LINESTRING (5.651056 58.7358, 5.651031 58.735784, 5.651022 58.735776, 5.65101 58.735754, 5.651007 58.735737, 5.651013 58.735719, 5.651026 58.735702)",,40,506,roundabout,
"[32621417, 299050298, 799172334, 799172335]",primary,True,False,104.935,"LINESTRING (5.651056 58.7358, 5.650932 58.735794, 5.650495 58.735836, 5.650391 58.735842, 5.650298 58.735847, 5.650067 58.735858, 5.650031 58.735862, 5.649901 58.73587, 5.649757 58.735884, 5.649551 58.735899, 5.649319 58.735902, 5.6492547 58.7359067)",Arne Garborgs veg,40,506,,
299050293,primary,True,False,6.7379999999999995,"LINESTRING (5.651308 58.735768, 5.65129 58.735786, 5.651265 58.735801, 5.651233 58.735813)",,40,506,roundabout,
284231517,primary,True,False,0.917,"LINESTRING (5.6539422 58.7354556, 5.6539535 58.7354614)",,40,506,roundabout,
4346465,residential,True,False,26.735,"LINESTRING (5.6537145 58.7354451, 5.653772 58.735405, 5.65378 58.735385, 5.653823 58.735322, 5.653851 58.73528, 5.653926 58.735236)",Biskop Hognestads gate,30,,,
284231517,primary,True,False,14.545,"LINESTRING (5.6537145 58.7354451, 5.6537467 58.7354345, 5.6537826 58.7354281, 5.6538212 58.7354261, 5.6538596 58.7354289, 5.6538957 58.7354363, 5.6539422 58.7354556)",,40,506,roundabout,
284231517,primary,True,False,2.194,"LINESTRING (5.6536879 58.7354592, 5.6537145 58.7354451)",,40,506,roundabout,
284231748,primary,True,False,3.634,"LINESTRING (5.6492547 58.7359067, 5.6491954 58.7359177)",,40,506,roundabout,
284231748,primary,True,False,2.588,"LINESTRING (5.6492439 58.7358066, 5.6492777 58.7358219)",,40,506,roundabout,
284231748,primary,True,False,0.969,"LINESTRING (5.6490838 58.7358429, 5.6490889 58.7358346)",,40,506,roundabout,
"[284231749, 299050615, 799171415]",residential,False,True,52.643,"LINESTRING (5.6482263 58.7354637, 5.648382 58.735506, 5.648489 58.735535, 5.6485923 58.7355785, 5.648686 58.735607, 5.648826 58.735638, 5.648881 58.735645, 5.648939 58.735647, 5.64896 58.735645, 5.6490442 58.7356364)",,50,,,
4330161,unclassified,False,True,16.319,"LINESTRING (5.6515823 58.7321122, 5.65155 58.732258)",Hetlandsgata,30,,,
4330161,unclassified,False,False,48.013999999999996,"LINESTRING (5.6515823 58.7321122, 5.651639 58.731876, 5.65168 58.7316834)",Hetlandsgata,30,,,
799171400,residential,False,False,52.703,"LINESTRING (5.6515823 58.7321122, 5.6514855 58.7320356, 5.6515472 58.731753, 5.65168 58.7316834)",,,,,
284445636,primary,True,False,8.063,"LINESTRING (5.642486 58.737037, 5.642457 58.737067, 5.642429 58.737082, 5.6424 58.737092)",,40,506,roundabout,
284445636,primary,True,False,13.813999999999998,"LINESTRING (5.642152 58.736987, 5.642169 58.736967, 5.642213 58.736942, 5.642232 58.736935, 5.642291 58.736924, 5.642337 58.736924)",,40,506,roundabout,
279556979,residential,True,False,30.887,"LINESTRING (5.6424 58.737092, 5.642408 58.737112, 5.642412 58.737129, 5.642363 58.737284, 5.642313 58.737363)",Reevegen,30,,,
284445636,primary,True,False,8.25,"LINESTRING (5.6424 58.737092, 5.642372 58.737098, 5.642322 58.737103, 5.642261 58.737098)",,40,506,roundabout,
4330162,secondary,True,False,6.131,"LINESTRING (5.647568 58.731196, 5.647545 58.731197, 5.647483 58.731192, 5.647465 58.731187)",,40,4380,roundabout,
4351541,residential,True,False,10.09,"LINESTRING (5.647858 58.735992, 5.64798 58.736057)",Torggata,30,,,
