osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,access
741979377,Torgveien,unclassified,50,False,False,81.059,"LINESTRING (24.9600229 70.0525695, 24.9600392 70.0528034, 24.9600693 70.0531527, 24.9600818 70.0532982)",,,
261285119,Peder Sivertsens vei,residential,30,False,True,111.75,"LINESTRING (24.9540439 70.0526314, 24.9539288 70.0528091, 24.9539262 70.052936, 24.9539219 70.0536321)",,,
"[313066514, 37083548]",Kirkegårdsveien,residential,"['30', '50']",False,True,75.074,"LINESTRING (24.9546996 70.0505521, 24.9544852 70.0507021, 24.9543436 70.0508217, 24.9542067 70.0509836, 24.9541703 70.0510523, 24.954142 70.0511055, 24.954119 70.0511487, 24.9541021 70.0511913)",,,
178953493,Kirkeveien,residential,30,False,False,493.89500000000004,"LINESTRING (24.9546996 70.0505521, 24.9551134 70.0505451, 24.9567231 70.0505552, 24.9577323 70.0505694, 24.9585327 70.050572, 24.9602629 70.0505808, 24.960972 70.0505833, 24.9616289 70.0505893, 24.9623998 70.0505963, 24.9634691 70.0506004, 24.9640341 70.0505967, 24.9645681 70.0505802, 24.9651747 70.0505487, 24.9654558 70.0505256, 24.9657727 70.0504941, 24.9660244 70.0504646, 24.9661155 70.0504524, 24.9663634 70.0504191, 24.9666747 70.050374, 24.9667615 70.0503576, 24.9670177 70.0503105, 24.967484 70.0502089)",,,
178953502,Klemetstadveien,secondary,60,True,False,61.72599999999999,"LINESTRING (24.9477622 70.051023, 24.947912 70.0509942, 24.9480722 70.0509743, 24.9482492 70.0509607, 24.94835 70.050966, 24.9484289 70.0509821, 24.9484856 70.0509937, 24.9486114 70.0510456, 24.9487443 70.0511298, 24.9488084 70.0512139, 24.9488335 70.0512507)",8062,,
178953488,,residential,30,False,False,43.552,"LINESTRING (24.9707676 70.0485828, 24.9714713 70.048593, 24.9719148 70.0485925)",,,
178953493,Kirkeveien,residential,30,False,True,117.01800000000001,"LINESTRING (24.9707676 70.0485828, 24.9707441 70.048644, 24.9706865 70.0487117, 24.9706265 70.0487577, 24.9704187 70.0488829, 24.970204 70.0490086, 24.9695521 70.0493626, 24.9693073 70.0495018)",,,
178953488,,residential,30,False,True,43.552,"LINESTRING (24.9719148 70.0485925, 24.9714713 70.048593, 24.9707676 70.0485828)",,,
289181303,Banakveien,trunk,50,False,False,200.66799999999998,"LINESTRING (24.9488335 70.0512507, 24.9494502 70.0512046, 24.9500884 70.0511781, 24.9502972 70.0511744, 24.9505951 70.0511692, 24.9510714 70.051168, 24.9520909 70.051174, 24.9529541 70.0511793, 24.9541021 70.0511913)",E 6,7,
289181303,Banakveien,trunk,50,False,True,9.202,"LINESTRING (24.9488335 70.0512507, 24.9486895 70.0512653, 24.948601 70.0512743)",E 6,7,
178953493,Kirkeveien,residential,30,False,False,117.01799999999999,"LINESTRING (24.9693073 70.0495018, 24.9695521 70.0493626, 24.970204 70.0490086, 24.9704187 70.0488829, 24.9706265 70.0487577, 24.9706865 70.0487117, 24.9707441 70.048644, 24.9707676 70.0485828)",,,
178953493,Kirkeveien,residential,30,False,True,105.73200000000001,"LINESTRING (24.9693073 70.0495018, 24.968966 70.049697, 24.9688209 70.0497701, 24.9685921 70.0498687, 24.9684177 70.0499312, 24.9679046 70.0500953, 24.9676652 70.050166, 24.9676417 70.0501716, 24.967484 70.0502089)",,,
621098540,Nordlysveien,residential,,False,True,158.514,"LINESTRING (24.9693073 70.0495018, 24.9697822 70.0496102, 24.9712286 70.049974, 24.9719788 70.050163, 24.9726862 70.05034)",,,
60220858,Arne M. Holdens vei,residential,50,False,True,201.28199999999998,"LINESTRING (24.9642858 70.0530784, 24.9643332 70.0524842, 24.9643312 70.0523373, 24.9643632 70.0517692, 24.9643733 70.0515892, 24.9643797 70.0514926, 24.964397 70.0514179, 24.964391 70.0513183, 24.964386 70.0512689)",,,
128300753,Laatasveien,residential,50,False,False,161.347,"LINESTRING (24.9642858 70.0530784, 24.9635183 70.0531235, 24.9629803 70.0531504, 24.9626569 70.0531666, 24.9622282 70.0531895, 24.9608565 70.0532627, 24.9600818 70.0532982)",,,
