osmid,highway,width,oneway,reversed,length,geometry,junction
221432620,tertiary,9,False,True,44.231,"LINESTRING (37.8350453 14.9190356, 37.8354561 14.9190612)",
463274001,residential,,False,False,61.706,"LINESTRING (37.8350453 14.9190356, 37.8349999 14.9195888)",
628028318,tertiary,,True,False,27.131,"LINESTRING (37.8350453 14.9190356, 37.8347951 14.9190027)",
423495268,residential,,True,False,21.959,"LINESTRING (37.834461 14.9189543, 37.8346308 14.9188444)",
572908308,residential,,False,False,80.728,"LINESTRING (37.834461 14.9189543, 37.8337345 14.9191394)",
423495490,residential,,False,True,105.856,"LINESTRING (37.8321941 14.9190601, 37.831937 14.9181411)",
423495491,residential,,False,False,68.414,"LINESTRING (37.8321941 14.9190601, 37.832714 14.9187049)",
423495688,residential,,False,True,58.91,"LINESTRING (37.8321941 14.9190601, 37.8317019 14.9192935)",
572908308,residential,,False,False,67.546,"LINESTRING (37.8321941 14.9190601, 37.8315658 14.9190399)",
572908308,residential,,False,True,81.697,"LINESTRING (37.8321941 14.9190601, 37.8329528 14.9191084)",
423495275,residential,,False,False,39.099,"LINESTRING (37.8337345 14.9191394, 37.8337914 14.9194867)",
423495275,residential,,False,True,47.374,"LINESTRING (37.8337345 14.9191394, 37.8334846 14.9187884)",
572908308,residential,,False,False,74.461,"LINESTRING (37.8337345 14.9191394, 37.8330421 14.9191115)",
572908308,residential,,False,True,80.728,"LINESTRING (37.8337345 14.9191394, 37.834461 14.9189543)",
221432620,tertiary,9,False,False,133.499,"LINESTRING (37.8393322 14.9194032, 37.8380958 14.9192847)",
221432620,tertiary,9,False,True,38.603,"LINESTRING (37.8393322 14.9194032, 37.839527 14.9196949)",
423495281,residential,,False,True,21.352,"LINESTRING (37.8393322 14.9194032, 37.8392943 14.9192147)",
423495263,residential,,False,False,61.282,"LINESTRING (37.8344539 14.9187572, 37.8340252 14.9183937)",
423495270,residential,,True,False,28.521,"LINESTRING (37.8344539 14.9187572, 37.8345459 14.9187532, 37.834624 14.9187262, 37.8347021 14.9186822)",
423495263,residential,,False,False,57.127,"LINESTRING (37.8340252 14.9183937, 37.8337485 14.917955)",
423495263,residential,,False,True,61.282,"LINESTRING (37.8340252 14.9183937, 37.8344539 14.9187572)",
423495273,residential,,False,False,72.802,"LINESTRING (37.8340252 14.9183937, 37.8334846 14.9187884)",
423495273,residential,,False,True,40.22,"LINESTRING (37.8340252 14.9183937, 37.8343129 14.9181623)",
423495264,tertiary,,True,False,20.399,"LINESTRING (37.8347377 14.9189873, 37.8346855 14.9189527, 37.8346485 14.9189031, 37.8346308 14.9188444)",roundabout
423495268,residential,,True,False,30.041,"LINESTRING (37.8347377 14.9189873, 37.8346096 14.9189618, 37.834461 14.9189543)",
463274000,residential,,False,True,70.961,"LINESTRING (37.8347377 14.9189873, 37.834618 14.9190483, 37.8345388 14.9195499)",
423495264,tertiary,,True,False,22.796,"LINESTRING (37.8348207 14.918645, 37.8348792 14.9186559, 37.8349311 14.9186841, 37.8349711 14.9187268, 37.8349845 14.9187564)",roundabout
423495758,residential,,True,False,18.469,"LINESTRING (37.8348207 14.918645, 37.8348975 14.9186275, 37.8349734 14.9185756)",
423495270,residential,,True,False,21.338,"LINESTRING (37.8346308 14.9188444, 37.8344539 14.9187572)",
423495264,tertiary,,True,False,20.39,"LINESTRING (37.8346308 14.9188444, 37.8346345 14.9187834, 37.8346592 14.9187271, 37.8347021 14.9186822)",roundabout
463274003,residential,,False,False,71.35,"LINESTRING (37.8347021 14.9186822, 37.8343129 14.9181623)",
423495264,tertiary,,True,False,13.596,"LINESTRING (37.8347021 14.9186822, 37.8347581 14.9186537, 37.8348207 14.918645)",roundabout
423495264,tertiary,,True,False,31.997999999999998,"LINESTRING (37.8350005 14.9188367, 37.8349869 14.9188928, 37.8349557 14.9189418, 37.83491 14.9189787, 37.8348545 14.9189997, 37.8347951 14.9190027)",roundabout
423495267,tertiary,,True,False,22.83,"LINESTRING (37.8350005 14.9188367, 37.835006 14.9189225, 37.8350219 14.9189635, 37.8350453 14.9190356)",
423495264,tertiary,,True,False,6.401,"LINESTRING (37.8347951 14.9190027, 37.8347377 14.9189873)",roundabout
423495271,residential,,False,True,34.749,"LINESTRING (37.8349734 14.9185756, 37.8350577 14.9182739)",
423495758,residential,,True,False,20.163,"LINESTRING (37.8349734 14.9185756, 37.8349736 14.9186515, 37.8349845 14.9187564)",
