osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,access,bridge,width
30353710,Unterwinklernstraße,residential,30,False,False,141.427,"LINESTRING (14.0489262 46.6174733, 14.0489235 46.617522, 14.0489229 46.6175783, 14.0489447 46.6176331, 14.0489929 46.6177056, 14.0491491 46.6178865, 14.049203 46.6180172, 14.0492308 46.6181467, 14.0492174 46.6186999)",,,,,
253865250,Klagenfurter Straße,primary,50,False,True,90.92599999999999,"LINESTRING (14.0489262 46.6174733, 14.0481384 46.6172559, 14.0478215 46.6171685)",B83,,,,
310357136,Klagenfurter Straße,primary,50,False,True,210.93800000000002,"LINESTRING (14.0489262 46.6174733, 14.0492158 46.6175543, 14.0495935 46.6176599, 14.0497272 46.6176961, 14.049841 46.6177269, 14.0500308 46.6177803, 14.0504965 46.6179113, 14.0505322 46.6179199, 14.0505634 46.6179274, 14.0511648 46.618088, 14.0514953 46.6181689)",B83,,,,
124282660,Rosentaler Straße,secondary,30,False,False,185.63500000000002,"LINESTRING (14.0408861 46.6119866, 14.0409774 46.6122192, 14.0410889 46.6124426, 14.0412028 46.6126348, 14.0413164 46.6128162, 14.0413524 46.6128748, 14.0414623 46.6130124, 14.0417282 46.6133787, 14.0417795 46.613451, 14.0418287 46.6135203)",L52,2,,,
903857439,Rosentaler Straße,secondary,30,False,True,70.596,"LINESTRING (14.0408861 46.6119866, 14.0408675 46.611936, 14.0407956 46.6117495, 14.0407572 46.61165, 14.0407375 46.6115791, 14.040715 46.6115056, 14.040681 46.611413, 14.0406653 46.6113703)",L52,2,,,
"[976078699, 976078698, 123870395, 253865249]",Am Corso,primary,"['50', '30']",False,False,119.212,"LINESTRING (14.0419234 46.6139843, 14.0419998 46.6140085, 14.042072 46.6140356, 14.0421402 46.6140663, 14.0421439 46.614068, 14.0421776 46.6140847, 14.0422089 46.6141022, 14.0422494 46.614134, 14.042302 46.6141878, 14.0423518 46.6142434, 14.0423985 46.6143012, 14.0424397 46.614359, 14.0424849 46.6144234, 14.0425259 46.6144896, 14.042578 46.6145685, 14.042762 46.6148511)",B83,2,,,
833954817,Karawankenplatz,primary,50,False,True,16.292,"LINESTRING (14.0419234 46.6139843, 14.0418233 46.6139596, 14.0417204 46.6139396)",B83,2,,,
123870397,Klagenfurter Straße,primary,30,False,True,9.385,"LINESTRING (14.0461839 46.6165939, 14.0460727 46.616558)",B83,,,,
"[253865250, 123870397]",Klagenfurter Straße,primary,"['30', '50']",False,False,129.015,"LINESTRING (14.0461839 46.6165939, 14.0462792 46.6166359, 14.0466135 46.6167781, 14.0467499 46.6168329, 14.0467576 46.616836, 14.0468536 46.616872, 14.0470243 46.6169361, 14.0473463 46.6170425, 14.0476747 46.6171343)",B83,,,,
144381171,Wrannpark,residential,30,False,False,252.712,"LINESTRING (14.0461839 46.6165939, 14.0463633 46.6162647, 14.0464013 46.6162236, 14.0464471 46.6161825, 14.046499 46.6161558, 14.0465529 46.6161319, 14.0466733 46.6161156, 14.0469144 46.6161004, 14.0475003 46.6160973, 14.0475387 46.6161784, 14.047554 46.6162109, 14.0476131 46.6163143, 14.0477881 46.6166576, 14.0477942 46.616698, 14.0477889 46.6167385, 14.0477143 46.6169835, 14.0476747 46.6171343)",,,,,
123870396,Karawankenplatz,primary,50,False,False,27.099,"LINESTRING (14.0413156 46.6138722, 14.041661 46.6139279)",B83,2,,,
26514729,Karawankenplatz,secondary,50,True,False,33.958,"LINESTRING (14.0413156 46.6138722, 14.041377 46.6138497, 14.0414025 46.6138396, 14.0414321 46.6138257, 14.0415621 46.6137667, 14.0416879 46.6137058)",L52,,,,
509755119,Villacher Straße,primary,50,False,True,12.44,"LINESTRING (14.0413156 46.6138722, 14.0412444 46.613861, 14.0411572 46.6138462)",B83,2,,,
26972424,Schillerstraße,residential,30,False,True,78.74199999999999,"LINESTRING (14.0434902 46.6193628, 14.0433727 46.6193517, 14.0432632 46.6193186, 14.0430626 46.6192555, 14.0425583 46.6190699)",,2,,,
