osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref
815675762,False,Salzburger Straße,tertiary,50,False,5.194,"LINESTRING (12.9425905 47.9406641, 12.9425997 47.9406178)",,
815675762,False,Salzburger Straße,tertiary,50,True,79.73599999999999,"LINESTRING (12.9425905 47.9406641, 12.9425808 47.940792, 12.9426859 47.9413768)",,
815675763,True,Franz-Xaver-Grimm-Straße,residential,30,False,68.52,"LINESTRING (12.9425905 47.9406641, 12.9426917 47.9406884, 12.9427825 47.9407123, 12.9428548 47.9407395, 12.9433176 47.9410277)",,
227947509,False,Salzburger Straße,primary,50,False,16.482,"LINESTRING (12.9426321 47.9396754, 12.9426359 47.9395272)",2,B156a
230262291,False,Salzburger Straße,tertiary,50,True,18.988,"LINESTRING (12.9426321 47.9396754, 12.9426392 47.9398461)",2,
8088269,False,Brückenstraße,primary,,False,65.477,"LINESTRING (12.9426321 47.9396754, 12.9423187 47.939679, 12.9420122 47.9396825, 12.9417532 47.9396831)",2,B156a
8088269,False,Brückenstraße,primary,,False,70.879,"LINESTRING (12.9417532 47.9396831, 12.9416649 47.9396834, 12.9408668 47.9396864, 12.9408017 47.9396867)",2,B156a
8088269,False,Brückenstraße,primary,,True,65.477,"LINESTRING (12.9417532 47.9396831, 12.9420122 47.9396825, 12.9423187 47.939679, 12.9426321 47.9396754)",2,B156a
"[815675784, 42277743]",False,Untersbergstraße,residential,"['20', '30']",False,100.119,"LINESTRING (12.9417532 47.9396831, 12.9417566 47.9397455, 12.9417657 47.9402804, 12.9417644 47.9405067, 12.9417967 47.9405803)",,
42277743,False,Untersbergstraße,residential,30,True,139.774,"LINESTRING (12.9417532 47.9396831, 12.9417517 47.9395243, 12.9417604 47.9388187, 12.941796 47.9386761, 12.9419016 47.9384384)",,
42277000,False,Feuerwehrstraße,residential,30,False,25.558,"LINESTRING (12.9417371 47.9440353, 12.9419156 47.9442316)",,
23999397,False,Watzmannstraße,residential,30,False,151.226,"LINESTRING (12.9417371 47.9440353, 12.9415566 47.9438607, 12.9412563 47.9436233, 12.9409092 47.9434066, 12.9405727 47.9432392, 12.9402685 47.9431165)",,
38366638,False,Salzburger Straße,tertiary,50,False,65.262,"LINESTRING (12.9417371 47.9440353, 12.9418309 47.9440064, 12.9418656 47.9439918, 12.9419237 47.9439673, 12.9420134 47.9439186, 12.942088 47.9438601, 12.9423395 47.943624)",2,
722256591,False,Salzburger Straße,tertiary,50,False,46.432,"LINESTRING (12.9427306 47.9417933, 12.9426859 47.9413768)",,
722256591,False,Salzburger Straße,tertiary,50,True,91.093,"LINESTRING (12.9427306 47.9417933, 12.9427908 47.9423773, 12.9428141 47.9426106)",,
785120651,False,Salzburger Straße,primary,50,True,75.821,"LINESTRING (12.9450845 47.9363997, 12.9449699 47.9365517, 12.9448346 47.9367095, 12.9445453 47.9369761)",2,B156a
1077754991,False,Paracelsusstraße,residential,30,True,66.923,"LINESTRING (12.9450845 47.9363997, 12.9454969 47.9365603, 12.9458556 47.9367084)",,
810649801,False,Paracelsusstraße,residential,,False,130.118,"LINESTRING (12.9458556 47.9367084, 12.946078 47.936261, 12.9462209 47.9358699, 12.9458013 47.9357773)",,
1077754991,False,Paracelsusstraße,residential,30,False,66.923,"LINESTRING (12.9458556 47.9367084, 12.9454969 47.9365603, 12.9450845 47.9363997)",,
