osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,junction,bridge,access
87162612,Karl-Egon-Straße,residential,50,False,False,125.61,"LINESTRING (14.8977798 48.7036048, 14.8977256 48.7036146, 14.897698 48.7036196, 14.8974451 48.7036558, 14.8971333 48.7036809, 14.8966103 48.7036984, 14.8960807 48.7036803)",,,,,,
188903145,Gmünder Straße,primary,50,False,False,209.966,"LINESTRING (14.8977798 48.7036048, 14.8977272 48.703473, 14.8976764 48.7033255, 14.897642 48.7031947, 14.897639 48.7031805, 14.8976307 48.7031406, 14.8976066 48.7030249, 14.8975756 48.7028453, 14.8975289 48.7025657, 14.8975247 48.7025386, 14.8974685 48.7021811, 14.8974627 48.7021455, 14.8973996 48.7017787, 14.8973921 48.7017361)",2,B41,,,,
87162623,Schubertstraße,residential,50,False,True,39.410000000000004,"LINESTRING (14.8965892 48.7010299, 14.8965932 48.7011015, 14.8966148 48.7013252, 14.8966205 48.7013837)",,,,,,
"[330691050, 44778477, 330691054]",Obere Landstraße,residential,50,False,True,77.63600000000001,"LINESTRING (14.8965892 48.7010299, 14.896559 48.7010405, 14.8964956 48.7010546, 14.8963232 48.7010855, 14.8961088 48.7011053, 14.8959675 48.7011044, 14.8957651 48.701076, 14.895664 48.7010525, 14.8955605 48.7010367)",,,building_passage,,,
"[634280177, 366874379]",Sparkasseplatz,residential,50,False,False,34.104,"LINESTRING (14.8965892 48.7010299, 14.8966181 48.7010159, 14.8966657 48.7009667, 14.8967226 48.7008668, 14.8967863 48.7007566)",2,,,,,
270533896,Böhmstraße,secondary,50,False,True,18.645,"LINESTRING (14.8884398 48.7009704, 14.8884244 48.7010247, 14.8884247 48.7010716, 14.8884531 48.7011344)",,L71,,,,
634280174,Böhmstraße,secondary,50,False,False,96.762,"LINESTRING (14.8884398 48.7009704, 14.888525 48.7008852, 14.8887648 48.7007056, 14.8889759 48.7005349, 14.8890978 48.7004432, 14.8891572 48.7004117, 14.8892305 48.7003873, 14.8893477 48.7003603)",,L71,,,,
"[329501410, 270533894]",Untere Landstraße,residential,,False,False,212.80900000000003,"LINESTRING (14.8893477 48.7003603, 14.8894194 48.7004682, 14.8894146 48.7005462, 14.8891983 48.7007464, 14.8890094 48.7009213, 14.888977 48.7009752, 14.8889795 48.7010399, 14.8890266 48.7010767, 14.8891318 48.7010875, 14.8892447 48.7010956, 14.8894304 48.7010965, 14.8894965 48.7010812, 14.889997 48.7009234, 14.8900313 48.7009121, 14.8901662 48.7008675, 14.8905452 48.7007385)",,,,,,
300736341,Bergzeile,secondary,50,False,True,99.751,"LINESTRING (14.8893477 48.7003603, 14.8894906 48.7003279, 14.8896473 48.7002527, 14.889743 48.7001896, 14.8899006 48.7000857, 14.8900468 48.6999894, 14.8903884 48.6997963)",,L71,,,,
634280174,Böhmstraße,secondary,50,False,True,96.762,"LINESTRING (14.8893477 48.7003603, 14.8892305 48.7003873, 14.8891572 48.7004117, 14.8890978 48.7004432, 14.8889759 48.7005349, 14.8887648 48.7007056, 14.888525 48.7008852, 14.8884398 48.7009704)",,L71,,,,
39020287,Rathausplatz,residential,,True,False,72.021,"LINESTRING (14.8935992 48.7009009, 14.8932448 48.7008674, 14.8930112 48.7008215, 14.8926496 48.7007452)",,,,,,
121898459,Auhofgasse,residential,,False,True,67.688,"LINESTRING (14.8935992 48.7009009, 14.8935557 48.7010103, 14.8934785 48.7011562, 14.8932816 48.7014296, 14.8932619 48.7014657)",,,,,,
39020287,Rathausplatz,residential,,True,False,32.385000000000005,"LINESTRING (14.894504 48.700832, 14.8942229 48.7008795, 14.8940755 48.7009015)",,,,,,
44778477,Obere Landstraße,residential,50,False,False,74.343,"LINESTRING (14.894504 48.700832, 14.8951778 48.7009826, 14.8954728 48.7010241)",,,,,,
87162673,Rathausplatz,residential,,False,True,72.18,"LINESTRING (14.894504 48.700832, 14.8942288 48.70075, 14.8938548 48.7006365, 14.8936252 48.7005428)",,,,,,
316453904,Rathausplatz,residential,,False,False,30.367,"LINESTRING (14.894504 48.700832, 14.8945661 48.7007011, 14.8946337 48.7005727)",,,,,,
"[366874380, 225233109]",Gmünder Straße,primary,50,False,True,97.77,"LINESTRING (14.8972819 48.7008646, 14.8972736 48.7008859, 14.8972674 48.7009075, 14.8972529 48.7009971, 14.8972514 48.7010151, 14.8972576 48.7010736, 14.8972771 48.7011777, 14.8972986 48.701261, 14.8973552 48.701543, 14.8973921 48.7017361)",2,B41,,,,
816192393,,primary,50,True,False,16.372,"LINESTRING (14.8972819 48.7008646, 14.8972474 48.7008554, 14.8972165 48.7008418, 14.8971903 48.7008244, 14.8971699 48.7008039, 14.8971562 48.7007811, 14.8971497 48.7007569)",,B41,,roundabout,,
225233107,,primary,50,True,False,18.662,"LINESTRING (14.8971497 48.7007569, 14.8971505 48.7007329, 14.8971585 48.7007095, 14.8971732 48.7006876, 14.8971942 48.700668, 14.8972206 48.7006516, 14.8972513 48.7006388, 14.8972853 48.7006303)",,B41,,roundabout,,
