osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,ref,width
38665354,2,Bahnhofstraße,tertiary,False,True,40.255,"LINESTRING (14.4102523 46.9514595, 14.4097587 46.9513271)",,,,
30372211,,Badgasse,residential,False,True,389.15299999999996,"LINESTRING (14.4102523 46.9514595, 14.4100693 46.9515176, 14.4097932 46.951841, 14.4093693 46.9522838, 14.4092531 46.9524562, 14.4090522 46.9526479, 14.408818 46.9528346, 14.408569 46.9529799, 14.4081091 46.953258, 14.4076789 46.9535472, 14.4075246 46.9536165, 14.4075142 46.9536199, 14.4072088 46.9537192, 14.4070647 46.953751, 14.4070016 46.9537467, 14.4068557 46.9537066, 14.4067708 46.9536989, 14.4066924 46.9537113)",,,,
"[1134997733, 30372206]",2,Bahnhofstraße,tertiary,False,"[False, True]",33.608,"LINESTRING (14.4102523 46.9514595, 14.4103036 46.9514701, 14.4106731 46.9515535)",yes,,,
38665354,2,Bahnhofstraße,tertiary,False,False,40.255,"LINESTRING (14.4097587 46.9513271, 14.4102523 46.9514595)",,,,
38665354,2,Bahnhofstraße,tertiary,False,True,12.705,"LINESTRING (14.4097587 46.9513271, 14.4096046 46.9512825)",,,,
30371302,,Kärntnerlandstraße,residential,False,False,314.649,"LINESTRING (14.4097587 46.9513271, 14.4101041 46.9507635, 14.410227 46.9505503, 14.4105497 46.9501457, 14.4105926 46.9500921, 14.4106832 46.9499821, 14.4108439 46.9497825, 14.4111975 46.9494059, 14.4113408 46.9492669, 14.4117469 46.9488548)",,,,
30396531,,Schüttgasse,residential,False,True,188.04500000000002,"LINESTRING (14.4082071 46.9510092, 14.4079881 46.9512581, 14.4075257 46.9517152, 14.4073027 46.9517848, 14.4070689 46.9520032, 14.4069927 46.9521384, 14.4069535 46.952153, 14.4067139 46.9520921, 14.406676 46.9520407)",,,,
194799471,1,Bahnhofstraße,tertiary,True,False,71.306,"LINESTRING (14.4082071 46.9510092, 14.4079537 46.9509516, 14.4076792 46.9509105, 14.4072915 46.9508743)",,30,,
194799471,1,Bahnhofstraße,tertiary,True,False,54.216,"LINESTRING (14.4067624 46.9508205, 14.4060742 46.95069)",,30,,
563894843,,Fürstenhofplatz,residential,False,True,37.869,"LINESTRING (14.4067624 46.9508205, 14.4067258 46.9511123, 14.4067014 46.951157)",,,,
563894840,,Salzburger Platz,residential,False,True,38.379,"LINESTRING (14.4057947 46.951772, 14.4054094 46.9519955)",,,,
"[563894840, 563894839]",,"['Salzburger Platz', 'Fürstenhofgasse']",residential,False,False,31.45,"LINESTRING (14.4057947 46.951772, 14.4059176 46.9517989, 14.4061616 46.951698)",,,,
563894841,,Stiftgasse,residential,False,False,53.799,"LINESTRING (14.4057947 46.951772, 14.4057114 46.9517078, 14.405804 46.9514432, 14.4057919 46.9514057, 14.4057517 46.9513755, 14.4057055 46.9513409)",,,,
563894840,,Salzburger Platz,residential,False,False,38.379,"LINESTRING (14.4054094 46.9519955, 14.4057947 46.951772)",,,,
"[563894842, 1051591229]",,Fürstenhofplatz,residential,False,False,35.608,"LINESTRING (14.4054094 46.9519955, 14.4050766 46.9518418, 14.4050209 46.951816)",,,,
"[557950860, 1051591230]",2,Fürstenhofplatz,residential,False,True,53.68599999999999,"LINESTRING (14.4054094 46.9519955, 14.4052237 46.9521161, 14.4051528 46.952119, 14.4048445 46.9519674)",,30,,
291383949,,Wiener Straße,secondary,False,True,21.51,"LINESTRING (14.4048445 46.9519674, 14.4050209 46.951816)",,50,L62,
"[61328878, 291383949, 38665357]",,"['Wiener Straße', 'Neumarkter Straße', 'Neumarkter Brücke']",secondary,False,"[False, True]",114.128,"LINESTRING (14.4048445 46.9519674, 14.4041535 46.9524241, 14.4039813 46.9525583, 14.4038703 46.9526723, 14.4038243 46.9527169)",yes,50,L62,
"[557950860, 1051591230]",2,Fürstenhofplatz,residential,False,False,53.686,"LINESTRING (14.4048445 46.9519674, 14.4051528 46.952119, 14.4052237 46.9521161, 14.4054094 46.9519955)",,30,,
"[30396349, 223757190]",,Stadtgrabengasse,residential,False,False,222.42499999999998,"LINESTRING (14.4038243 46.9527169, 14.404244 46.9528223, 14.4047499 46.9530673, 14.4048272 46.953107, 14.4054852 46.9533413, 14.4057515 46.9535136, 14.4061609 46.9537733, 14.4061737 46.9538398)",,,,
"[291383949, 38665357, 61328878]",,"['Wiener Straße', 'Neumarkter Straße', 'Neumarkter Brücke']",secondary,False,"[False, True]",114.128,"LINESTRING (14.4038243 46.9527169, 14.4038703 46.9526723, 14.4039813 46.9525583, 14.4041535 46.9524241, 14.4048445 46.9519674)",yes,50,L62,
182089355,,Neumarkter Straße,secondary,False,True,302.90999999999997,"LINESTRING (14.4038243 46.9527169, 14.4030982 46.9534354, 14.4026174 46.9538551, 14.40216 46.954242, 14.4019536 46.9544165, 14.4017756 46.954567, 14.4015999 46.9547134, 14.4013917 46.9548739)",,50,L62,
182089355,,Neumarkter Straße,secondary,False,False,116.679,"LINESTRING (14.4012227 46.9558505, 14.4011107 46.955725, 14.4010713 46.9556592, 14.4010543 46.955612, 14.4010552 46.9555179, 14.4010781 46.9554261, 14.4011834 46.9551894, 14.4013005 46.9549709, 14.4013378 46.9549258, 14.4013917 46.9548739)",,50,L62,
"[182089360, 182089355, 887998887]",,Neumarkter Straße,secondary,False,True,71.666,"LINESTRING (14.4012227 46.9558505, 14.4012973 46.9559183, 14.4015024 46.9561138, 14.4015456 46.9561691, 14.4015537 46.9561794, 14.4016042 46.9562982, 14.4016203 46.9564189)",yes,50,L62,
30371233,,Lastenstraße,residential,False,False,60.113,"LINESTRING (14.4016203 46.9564189, 14.4017712 46.9563942, 14.4018258 46.9563755, 14.4018994 46.9563225, 14.4020125 46.9562415, 14.4022227 46.9560908)",,,,
"[182089360, 182089355, 887998887]",,Neumarkter Straße,secondary,False,False,71.666,"LINESTRING (14.4016203 46.9564189, 14.4016042 46.9562982, 14.4015537 46.9561794, 14.4015456 46.9561691, 14.4015024 46.9561138, 14.4012973 46.9559183, 14.4012227 46.9558505)",yes,50,L62,
30832937,2,Wiener Straße,secondary,False,False,17.594,"LINESTRING (14.4059616 46.9505517, 14.4060742 46.95069)",,50,L62,
1051597879,2,Herrengasse,secondary,False,True,44.506,"LINESTRING (14.4059616 46.9505517, 14.4059544 46.9504965, 14.4059823 46.9503559, 14.4060738 46.9501628)",,50,L62,
"[169960760, 294067483, 169960759]",,Stadtgrabengasse,residential,False,True,30.708,"LINESTRING (14.4056463 46.9550506, 14.4055855 46.954983, 14.4054874 46.9548521, 14.4054743 46.9548031)",yes,,,2.25
"[223757632, 887998883, 887998884, 30372205]",2,"['Bahnhofstraße', 'Lastenstraße']",residential,False,False,541.417,"LINESTRING (14.4056463 46.9550506, 14.4058805 46.9550227, 14.4067211 46.9549838, 14.4070914 46.9549242, 14.4071835 46.9548886, 14.4073255 46.9548336, 14.4073949 46.9548068, 14.4078148 46.9545588, 14.4080902 46.9543905, 14.4089802 46.9538467, 14.4091588 46.9537376, 14.4095187 46.9534885, 14.409852 46.9532304, 14.4100165 46.953087, 14.4102042 46.9529052, 14.4102969 46.9527956, 14.410358 46.9527105, 14.4105562 46.9523902, 14.4107378 46.9520563)",,50,,
"[30371233, 223758034]",,Lastenstraße,residential,False,True,291.654,"LINESTRING (14.4056463 46.9550506, 14.4056087 46.9550624, 14.4055611 46.9550806, 14.4052889 46.9551845, 14.4051788 46.9552265, 14.4049521 46.9552988, 14.4047392 46.9553411, 14.4037884 46.9554318, 14.4036556 46.9554547, 14.4034526 46.9554897, 14.4031734 46.9555636, 14.4028967 46.9556702, 14.4022227 46.9560908)",,,,
30396269,1,Salzburger Gasse,residential,False,True,141.349,"LINESTRING (14.4081688 46.9501505, 14.4077787 46.9497615, 14.4075552 46.9496623, 14.4067863 46.9493365)",,,,
