osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes,ref,tunnel,access,width,junction
19803820,Josef Gasser-Straße,residential,False,False,140.368,"LINESTRING (12.7697106 46.8313698, 12.7696825 46.8314259, 12.7696482 46.8316117, 12.7696411 46.8317711, 12.7696337 46.832021, 12.7696633 46.8321598, 12.7696809 46.8322282, 12.7697865 46.8326182)",,,,,,,,
"[19803823, 980725107, 19803822, 156332719]",Kärntner Straße,tertiary,False,"[False, True]",76.41700000000002,"LINESTRING (12.7697106 46.8313698, 12.7696878 46.83133, 12.7696387 46.8312421, 12.7696307 46.8312256, 12.7696161 46.8311985, 12.7694161 46.8308132, 12.7693813 46.8307506, 12.7693665 46.8307242)",50,yes,,,,,,
617959890,Kärntner Straße,tertiary,False,True,121.92699999999999,"LINESTRING (12.7697106 46.8313698, 12.7698087 46.8313806, 12.7700455 46.8313909, 12.7704407 46.8314103, 12.7705241 46.8314144, 12.7710821 46.8314376, 12.771209 46.83146, 12.7712959 46.8314882)",,,,,,,,
19803820,Josef Gasser-Straße,residential,False,True,140.368,"LINESTRING (12.7697865 46.8326182, 12.7696809 46.8322282, 12.7696633 46.8321598, 12.7696337 46.832021, 12.7696411 46.8317711, 12.7696482 46.8316117, 12.7696825 46.8314259, 12.7697106 46.8313698)",,,,,,,,
158663086,Beda Weber-Gasse,tertiary,False,True,120.13300000000001,"LINESTRING (12.7697865 46.8326182, 12.7701791 46.8325381, 12.7704725 46.8324681, 12.7707806 46.8324341, 12.7711043 46.8323847, 12.7713103 46.8323425)",,,,,,,,
"[399331186, 1206424974]",Beda Weber-Gasse,tertiary,False,False,225.47799999999998,"LINESTRING (12.7697865 46.8326182, 12.769245 46.8327114, 12.7687434 46.8328186, 12.7680039 46.8329953, 12.767699 46.833082, 12.7673059 46.8331778, 12.7670012 46.8332947)",,,,,,,,
121473236,Antoniusgasse,residential,True,False,85.714,"LINESTRING (12.7701687 46.8297229, 12.769744 46.8298319, 12.7695016 46.8299313, 12.7691438 46.8300383)",,,,,,,,
"[393240600, 158802665]",Kärntner Straße,tertiary,False,False,117.23899999999999,"LINESTRING (12.7701687 46.8297229, 12.7701688 46.8298042, 12.7701523 46.8298851, 12.7701205 46.829946, 12.7700541 46.8300189, 12.7699921 46.8300695, 12.7698163 46.8302019, 12.769696 46.830286, 12.7694746 46.8303924, 12.7694087 46.830424, 12.7692426 46.8305024)",,,,,,,,
"[158802664, 158802665, 451101555]","['Kärntner Straße', 'Bozener Platz']",tertiary,False,"[False, True]",124.685,"LINESTRING (12.7701687 46.8297229, 12.7701144 46.8295812, 12.7700133 46.8293819, 12.7699963 46.8293519, 12.7700081 46.8293156, 12.7700405 46.8293043, 12.7701186 46.8292772, 12.770195 46.8292472, 12.770251 46.8291951, 12.7703352 46.8289646, 12.7703985 46.8288008, 12.7704289 46.8287259)",,,"['2', '3']",,,,,
19803823,Kärntner Straße,tertiary,False,True,26.403,"LINESTRING (12.7692426 46.8305024, 12.7692879 46.8305827, 12.7693665 46.8307242)",,,,,,,,
231852085,Am Markt,residential,False,False,49.852,"LINESTRING (12.7692426 46.8305024, 12.7690563 46.8301777, 12.7689716 46.8300968)",,,,,,,,
