osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,junction,width
47198179,B220,Schönkirchner Straße,primary,50,False,False,8.281,,"LINESTRING (16.7162785 48.3412547, 16.7161952 48.3413045)",,,
"[4870033, 47198179]",B220,Schönkirchner Straße,primary,50,False,True,124.297,2,"LINESTRING (16.7162785 48.3412547, 16.7164413 48.3411811, 16.7168951 48.3410606, 16.7174796 48.3408987, 16.7176284 48.3408578, 16.7178107 48.3408001)",,,
58739033,,Scheunengasse,residential,50,False,True,55.937,,"LINESTRING (16.7162785 48.3412547, 16.7162537 48.341213, 16.7159573 48.3407993)",,,
925166345,B220,Hauptstraße,primary,50,False,False,21.053,2,"LINESTRING (16.7154474 48.3368713, 16.7155597 48.3370453)",,,
"[29831343, 28453215]",B220,Hauptstraße,primary,50,False,True,59.53,2,"LINESTRING (16.7154474 48.3368713, 16.7153719 48.3367426, 16.7153322 48.336599, 16.7153609 48.3363485)",yes,,
925166346,,Friedhofgasse,residential,,False,False,136.31400000000002,,"LINESTRING (16.7154474 48.3368713, 16.7153802 48.3368736, 16.7153129 48.3368758, 16.714545 48.336871, 16.7136045 48.3368416)",,,
"[602715368, 334176206, 4870030]",L11,Hauptstraße,secondary,50,False,False,179.16000000000003,"['2', '3']","LINESTRING (16.7178107 48.3408001, 16.7178948 48.3409013, 16.7179191 48.3409346, 16.7179672 48.3410005, 16.7180219 48.3410753, 16.7180636 48.3411325, 16.718145 48.3412273, 16.7183313 48.3414242, 16.7184534 48.3415533, 16.7184786 48.3415791, 16.7186985 48.3418047, 16.7189274 48.3420307, 16.7190755 48.3421722)",,,
"[4870033, 47198179]",B220,Schönkirchner Straße,primary,50,False,False,124.297,2,"LINESTRING (16.7178107 48.3408001, 16.7176284 48.3408578, 16.7174796 48.3408987, 16.7168951 48.3410606, 16.7164413 48.3411811, 16.7162785 48.3412547)",,,
"[47198192, 47198191]",B220,Rathausplatz,primary,50,False,True,75.604,3,"LINESTRING (16.7178107 48.3408001, 16.7176408 48.3405168, 16.7174297 48.3401691)",,,
29832233,L11,,secondary,50,True,False,12.523,2,"LINESTRING (16.7194487 48.3423582, 16.7194169 48.3423908, 16.7193728 48.3424127, 16.7193175 48.3424183)",,roundabout,
