osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,bridge,junction
108403267,True,Dittrichstraße,residential,30,False,100.169,"LINESTRING (16.0797952 47.7257683, 16.0795758 47.7258544, 16.0785036 47.725967)",,,,
678518969,False,Wiener Neustädter Straße,primary,50,False,91.609,"LINESTRING (16.0797952 47.7257683, 16.0806911 47.7257266, 16.0807962 47.7257309, 16.080842 47.7257377, 16.0809991 47.7257888)",B17,,,
"[678518969, 480460046]",False,Wiener Neustädter Straße,primary,50,True,257.895,"LINESTRING (16.0797952 47.7257683, 16.0784444 47.7258409, 16.0770459 47.7259224, 16.076359 47.7259587)",B17,4,,
159685156,True,Peischingerstraße,residential,50,False,46.31,"LINESTRING (16.0809991 47.7257888, 16.0810952 47.7257606, 16.0812096 47.7257476, 16.0816075 47.7257591)",,,,
678518969,False,Wiener Neustädter Straße,primary,50,True,91.609,"LINESTRING (16.0809991 47.7257888, 16.080842 47.7257377, 16.0807962 47.7257309, 16.0806911 47.7257266, 16.0797952 47.7257683)",B17,,,
1082092088,True,Rohrbacherstraße,residential,30,False,46.797,"LINESTRING (16.0809991 47.7257888, 16.0808019 47.7258937, 16.0804962 47.7260389)",,,,
27931204,False,Schießstättgasse,residential,50,False,12.091,"LINESTRING (16.0797208 47.7185616, 16.0795827 47.7186181)",,,,
23095599,False,Seebensteinerstraße,residential,30,True,121.85499999999999,"LINESTRING (16.0797208 47.7185616, 16.0796286 47.7182785, 16.0796527 47.718115, 16.0797434 47.7179782, 16.0799909 47.7178091, 16.0802951 47.7176576)",,,,
"[134118051, 134118031, 23199121, 134118042, 134118043]",False,Triesterstraße,residential,50,False,119.195,"LINESTRING (16.0788808 47.7187828, 16.0789676 47.7188226, 16.079084 47.718908, 16.0791964 47.7189928, 16.0794932 47.7192123, 16.0795621 47.7192595, 16.0798945 47.7195193, 16.0799774 47.7195548)",,,yes,
27931204,False,Schießstättgasse,residential,50,True,55.772999999999996,"LINESTRING (16.0788808 47.7187828, 16.0790023 47.7187386, 16.0795827 47.7186181)",,,,
320164950,False,Triesterstraße,tertiary,50,False,133.69099999999997,"LINESTRING (16.0788808 47.7187828, 16.0787501 47.7187715, 16.0782113 47.718809, 16.0776113 47.718809, 16.0774765 47.7187974, 16.0772804 47.7188084, 16.0771024 47.7188304)",,,,
"[23010834, 42401228, 1189681047]",True,"['Urbanbrücke', 'Urbangasse']",residential,,False,92.508,"LINESTRING (16.0756992 47.7259919, 16.0757186 47.7258672, 16.0757138 47.7257622, 16.0756731 47.725313, 16.0756732 47.7252275, 16.0756938 47.725163)",,1,yes,
480460045,False,Wiener Neustädter Straße,primary,50,False,49.491,"LINESTRING (16.0756992 47.7259919, 16.0758587 47.7259852, 16.076359 47.7259587)",B17,3,,
824563227,True,Steggasse,primary_link,50,False,21.563000000000002,"LINESTRING (16.0756992 47.7259919, 16.075751 47.7261171, 16.0757396 47.7261806)",B26,1,,
28542300,True,Eltzgasse,residential,,False,209.80400000000003,"LINESTRING (16.0759601 47.7220834, 16.0761167 47.7221877, 16.0768536 47.7225851, 16.0774646 47.7228509, 16.0775261 47.7228521, 16.0775918 47.7228395, 16.0781507 47.7224711)",,,,
445496929,False,Talgasse,residential,,True,90.686,"LINESTRING (16.0759601 47.7220834, 16.0763982 47.7217738, 16.076623 47.7216139, 16.0768093 47.721502)",,,,
677155884,True,Fabriksgasse,residential,30,False,84.629,"LINESTRING (16.0829852 47.7216756, 16.0839498 47.7220733)",,,,
27931214,False,Schulgasse,residential,,True,81.745,"LINESTRING (16.0829852 47.7216756, 16.0830045 47.7216586, 16.0830908 47.7215869, 16.0832079 47.7215433, 16.0835341 47.7213518, 16.0837537 47.7211624)",,,,
27729248,False,Schoellerstraße,residential,50,False,101.351,"LINESTRING (16.0839498 47.7220733, 16.0846797 47.7213054)",,,,
102669183,False,Fabriksgasse,residential,50,False,19.509999999999998,"LINESTRING (16.0839498 47.7220733, 16.0840176 47.7221174, 16.0841738 47.7221562)",,,,
564036433,False,Birngasse,residential,,False,38.935,"LINESTRING (16.0808486 47.7218393, 16.0812391 47.7220708)",,,,
"[807456038, 27931217, 80635148, 807456036]",True,"['Kirchengasse', 'Hauptplatz', 'Wienerstraße']",residential,,False,110.991,"LINESTRING (16.0808486 47.7218393, 16.0808778 47.721781, 16.0808901 47.7217004, 16.0808807 47.7216391, 16.0808734 47.7216263, 16.0807039 47.7214343, 16.08069 47.721411, 16.0806825 47.7213848, 16.0806716 47.721305, 16.080669 47.7212368, 16.0806638 47.7212251, 16.0806553 47.7212114, 16.0805524 47.7211235, 16.0805275 47.7211124, 16.0804853 47.7211007, 16.0804456 47.7210931, 16.0803648 47.7210834, 16.0802466 47.7211108)",,,,
80635147,True,Holzplatz,residential,,False,26.404000000000003,"LINESTRING (16.0796104 47.7213476, 16.0794401 47.7212433, 16.0793354 47.7212003)",,,,
304418542,True,Holzplatz,residential,,False,29.653000000000002,"LINESTRING (16.0796104 47.7213476, 16.0794997 47.7214191, 16.079418 47.7215008, 16.0793911 47.7215632)",,,,
27926465,False,Schießstättgasse,residential,30,True,126.248,"LINESTRING (16.0822019 47.7189788, 16.0824591 47.7192136, 16.0830108 47.7197616, 16.0831144 47.7198475, 16.0831815 47.7199026)",,,,
827495650,False,Schießstättgasse,residential,30,False,135.22400000000002,"LINESTRING (16.0822019 47.7189788, 16.0820658 47.7189717, 16.0816232 47.718811, 16.0809962 47.7185655, 16.0806207 47.7185039, 16.0805661 47.7185128)",,,,
27926465,False,Schießstättgasse,residential,30,True,8.783,"LINESTRING (16.0831815 47.7199026, 16.0832559 47.7199637)",,,,
27769017,True,Schreckgasse,residential,30,False,141.137,"LINESTRING (16.0831815 47.7199026, 16.0832347 47.7198317, 16.0837382 47.7194062, 16.0842733 47.71892, 16.0843152 47.7188902)",,,,
27926465,False,Schießstättgasse,residential,30,False,126.248,"LINESTRING (16.0831815 47.7199026, 16.0831144 47.7198475, 16.0830108 47.7197616, 16.0824591 47.7192136, 16.0822019 47.7189788)",,,,
27931214,False,Schulgasse,residential,,False,81.745,"LINESTRING (16.0837537 47.7211624, 16.0835341 47.7213518, 16.0832079 47.7215433, 16.0830908 47.7215869, 16.0830045 47.7216586, 16.0829852 47.7216756)",,,,
37104723,True,Steggasse,primary_link,50,False,41.245,"LINESTRING (16.0754345 47.7263062, 16.0755433 47.7262444, 16.075597 47.7261897, 16.0756444 47.7261112, 16.0756992 47.7259919)",B26,3,,
678518963,False,,tertiary,50,True,16.945,"LINESTRING (16.0754345 47.7263062, 16.0754944 47.7263456, 16.0756107 47.7264013)",L4113,2,,
"[678518965, 678518966]",False,Rohrbacherstraße,primary,50,True,36.239999999999995,"LINESTRING (16.0754345 47.7263062, 16.0752032 47.7263445, 16.0749668 47.726391)",B26,3,,
27926449,False,Fabriksgasse,residential,50,False,134.317,"LINESTRING (16.0866213 47.723469, 16.0869925 47.7237211, 16.0871148 47.7238209, 16.0877993 47.7243793)",,,,
27926449,False,Fabriksgasse,residential,50,True,81.106,"LINESTRING (16.0866213 47.723469, 16.0859673 47.7231152, 16.0858901 47.7230912, 16.0857312 47.7230787)",,,,
27931208,False,Neufeldtgasse,residential,30,True,124.069,"LINESTRING (16.0851265 47.7176354, 16.0851844 47.7187505)",,,,
133501375,False,Urbangasse,residential,,True,59.137,"LINESTRING (16.079231 47.7225558, 16.078577 47.7228546)",,,,
127347700,False,Minoritenplatz,residential,,True,65.601,"LINESTRING (16.079231 47.7225558, 16.0791273 47.7224088, 16.079258 47.7219907)",,2,,
"[824563235, 80635149, 860401494]",False,Brevilliergasse,residential,,False,165.356,"LINESTRING (16.079231 47.7225558, 16.0792929 47.7226199, 16.0793738 47.7227178, 16.0795584 47.7229096, 16.0797482 47.7230453, 16.079975 47.7231825, 16.0800874 47.7232522, 16.0801092 47.7232592, 16.0801391 47.7232636, 16.0808227 47.72334, 16.080925 47.7233637)",,,,
42401235,True,Urbangasse,residential,,False,38.115,"LINESTRING (16.0756938 47.725163, 16.0757586 47.7250835, 16.0759543 47.7248685)",,,,
897615297,True,Wienerstraße,residential,,False,59.698,"LINESTRING (16.080925 47.7233637, 16.0814138 47.7229393)",,,,
"[824563235, 80635149, 860401494]",False,Brevilliergasse,residential,,True,165.35600000000002,"LINESTRING (16.080925 47.7233637, 16.0808227 47.72334, 16.0801391 47.7232636, 16.0801092 47.7232592, 16.0800874 47.7232522, 16.079975 47.7231825, 16.0797482 47.7230453, 16.0795584 47.7229096, 16.0793738 47.7227178, 16.0792929 47.7226199, 16.079231 47.7225558)",,,,
"[130846609, 133501363, 23399877]",False,Wienerstraße,residential,,"[False, True]",57.909,"LINESTRING (16.080925 47.7233637, 16.0808638 47.7234577, 16.0808358 47.7235094, 16.0807868 47.7236022, 16.0807153 47.7237024, 16.0806531 47.7237624, 16.0805793 47.7238256)",,,yes,
27931212,True,Fabriksgasse,residential,30,False,146.272,"LINESTRING (16.0814838 47.7208333, 16.0824094 47.7213699, 16.0829185 47.7216402, 16.0829852 47.7216756)",,,,
