osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,width,access
"[32955472, 290886493]",False,2,"['Hauptstraße', 'Salzburger Straße']",tertiary,30,False,85.98,"LINESTRING (13.1269436 47.8907452, 13.1269733 47.8905713, 13.1269131 47.890359, 13.1266415 47.8900231)",,,
"[32955472, 746609112, 32955471]",False,2,Hauptstraße,tertiary,30,True,50.692,"LINESTRING (13.1269436 47.8907452, 13.1268758 47.8908396, 13.1266967 47.8910173, 13.1266227 47.8911446)",yes,,
526549713,False,1,Henndorfer Straße,tertiary,30,False,380.065,"LINESTRING (13.1269436 47.8907452, 13.1270179 47.8907561, 13.1270613 47.8907649, 13.1272061 47.8907943, 13.1272387 47.8908035, 13.1274725 47.8908693, 13.1286501 47.8912832, 13.1288271 47.8913307, 13.1289704 47.8913574, 13.1291412 47.8913765, 13.1293041 47.8913828, 13.1298611 47.891392, 13.1301478 47.8913929, 13.1303191 47.8913986, 13.1304575 47.8914099, 13.1305785 47.8914248, 13.1307756 47.8914595, 13.131052 47.8915644, 13.1311931 47.8915976, 13.1313885 47.8916135, 13.1315929 47.8916203, 13.1317731 47.8916175)",,,
28060810,False,,Wallerseestraße,residential,,True,244.93200000000002,"LINESTRING (13.1210717 47.8952648, 13.121009 47.8952138, 13.1209202 47.8951416, 13.1207529 47.8949314, 13.1206769 47.8947512, 13.1206527 47.8945597, 13.1206096 47.8939324, 13.1203865 47.8934662, 13.1201828 47.8931904)",,,
"[25314865, 393478242, 290886484]",False,,Mühlbachstraße,residential,30,False,181.69400000000002,"LINESTRING (13.1210717 47.8952648, 13.1215777 47.8951788, 13.1218631 47.8950774, 13.1219996 47.8950171, 13.1221279 47.8949604, 13.1225446 47.8947762, 13.1228729 47.8945197, 13.123035 47.8943735)",,,
"[393478244, 393478245, 393478246, 32955479]",False,,Wallerseestraße,residential,,True,140.412,"LINESTRING (13.1210717 47.8952648, 13.1210894 47.8952741, 13.1217841 47.895638, 13.1218785 47.8956811, 13.1220406 47.8957555, 13.1222243 47.8958677, 13.122285 47.895912, 13.1225086 47.8960751)",yes,3,
25314867,False,,Anton-Windhager-Straße,residential,30,False,17.487,"LINESTRING (13.123035 47.8943735, 13.123263 47.8943366)",,,
146389609,False,,Anton-Windhager-Straße,residential,30,True,16.281,"LINESTRING (13.123035 47.8943735, 13.1230819 47.8942305)",,,
"[25314865, 393478242, 290886484]",False,,Mühlbachstraße,residential,30,True,181.69400000000002,"LINESTRING (13.123035 47.8943735, 13.1228729 47.8945197, 13.1225446 47.8947762, 13.1221279 47.8949604, 13.1219996 47.8950171, 13.1218631 47.8950774, 13.1215777 47.8951788, 13.1210717 47.8952648)",,,
25314867,False,,Anton-Windhager-Straße,residential,30,False,14.891,"LINESTRING (13.1245484 47.8942095, 13.1247481 47.8942071)",,,
