osmid,highway,maxspeed,oneway,reversed,length,bridge,geometry,name,lanes,width,access,ref
"[72477770, 72477828, 72477850]",residential,40,False,False,52.699,yes,"LINESTRING (11.3472906 47.156009, 11.3474863 47.1560898, 11.3477224 47.1561408, 11.3479377 47.1561725)",,,,,
305385392,residential,40,False,False,200.19699999999997,,"LINESTRING (11.3472906 47.156009, 11.347928 47.1553975, 11.3481528 47.15516, 11.348355 47.15491, 11.3486549 47.154574, 11.3487436 47.1545071)",Fachschulstraße,,,,
305385392,residential,40,False,True,31.238,,"LINESTRING (11.3472906 47.156009, 11.3472292 47.1560788, 11.3471578 47.1562724)",Fachschulstraße,,,,
24397404,residential,,False,False,148.02000000000004,,"LINESTRING (11.3487436 47.1545071, 11.3487609 47.1544645, 11.3487737 47.154433, 11.3487765 47.1543847, 11.3487485 47.1542944, 11.348691 47.1542029, 11.348681 47.1541576, 11.3486648 47.1540836, 11.3486445 47.1539291, 11.3486305 47.1538227, 11.3486062 47.1537194, 11.3485876 47.153687, 11.3485744 47.1536642, 11.3485478 47.1536076, 11.3485024 47.1535621, 11.3483741 47.1534708, 11.3482795 47.1534104, 11.3481875 47.1533518, 11.3481306 47.1533155)",Bahnstraße,,,,
"[26506231, 26506230, 178560863]",residential,40,False,False,48.040000000000006,yes,"LINESTRING (11.3487436 47.1545071, 11.3488695 47.1545543, 11.3491126 47.1546435, 11.3493115 47.1546996)",Bahnstraße,,,,
305385392,residential,40,False,True,200.197,,"LINESTRING (11.3487436 47.1545071, 11.3486549 47.154574, 11.348355 47.15491, 11.3481528 47.15516, 11.347928 47.1553975, 11.3472906 47.156009)",Fachschulstraße,,,,
305385391,residential,,False,False,9.631,,"LINESTRING (11.3481306 47.1533155, 11.3480171 47.1532762)",Bahnstraße,,,,
24397403,residential,,False,False,110.88499999999999,,"LINESTRING (11.3481306 47.1533155, 11.3482477 47.1532229, 11.3483471 47.1531728, 11.3484152 47.153159, 11.3484767 47.1531583, 11.3485336 47.1531702, 11.3487284 47.1532544, 11.3489723 47.1534163, 11.3490137 47.153435, 11.3490591 47.1534439, 11.3491118 47.1534466, 11.3491604 47.1534318, 11.3493269 47.1533611)",,,,,
24397404,residential,,False,True,148.01999999999998,,"LINESTRING (11.3481306 47.1533155, 11.3481875 47.1533518, 11.3482795 47.1534104, 11.3483741 47.1534708, 11.3485024 47.1535621, 11.3485478 47.1536076, 11.3485744 47.1536642, 11.3485876 47.153687, 11.3486062 47.1537194, 11.3486305 47.1538227, 11.3486445 47.1539291, 11.3486648 47.1540836, 11.348681 47.1541576, 11.348691 47.1542029, 11.3487485 47.1542944, 11.3487765 47.1543847, 11.3487737 47.154433, 11.3487609 47.1544645, 11.3487436 47.1545071)",Bahnstraße,,,,
24397403,residential,,False,True,110.885,,"LINESTRING (11.3493269 47.1533611, 11.3491604 47.1534318, 11.3491118 47.1534466, 11.3490591 47.1534439, 11.3490137 47.153435, 11.3489723 47.1534163, 11.3487284 47.1532544, 11.3485336 47.1531702, 11.3484767 47.1531583, 11.3484152 47.153159, 11.3483471 47.1531728, 11.3482477 47.1532229, 11.3481306 47.1533155)",,,,,
