osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,width,access
68810150,Dampfschiffgasse,residential,False,True,97.321,"LINESTRING (14.8562995 48.2274207, 14.8562546 48.2275171, 14.8561816 48.2277336, 14.8561255 48.2279529, 14.8560464 48.2282786)",,,,,,
109653753,,primary,False,False,12.772,"LINESTRING (14.8553409 48.2265705, 14.8552292 48.226483)",3,B3,50,,,
"[643965345, 573607204, 8024518, 109910260, 247678485, 247678487]",,primary,False,True,377.21,"LINESTRING (14.8553409 48.2265705, 14.8556109 48.2267696, 14.8557911 48.2268916, 14.855974 48.2270078, 14.8562245 48.2271527, 14.8564843 48.2272912, 14.8568906 48.2274759, 14.8573549 48.2276575, 14.8578316 48.2277964, 14.8582204 48.2278954, 14.8585926 48.2279685, 14.858915 48.22802, 14.8591582 48.2280502, 14.8593714 48.2280725, 14.8596768 48.2280999, 14.8597339 48.2281046)",2,B3,50,yes,,
643965341,Kreuznerstraße,residential,True,False,31.155,"LINESTRING (14.8553409 48.2265705, 14.8551317 48.2266762, 14.8550773 48.2266999, 14.8549955 48.2267294)",,,,,,
68810150,Dampfschiffgasse,residential,False,False,97.32099999999998,"LINESTRING (14.8560464 48.2282786, 14.8561255 48.2279529, 14.8561816 48.2277336, 14.8562546 48.2275171, 14.8562995 48.2274207)",,,,,,
732572190,Hauptstraße,residential,True,False,52.034,"LINESTRING (14.8560464 48.2282786, 14.8561634 48.2283258, 14.8563071 48.2283798, 14.8564479 48.2284327, 14.8565914 48.228492, 14.8566518 48.2285158)",1,,30,,,
68810142,Stadtplatz,residential,False,True,9.536,"LINESTRING (14.854879 48.2277365, 14.854848 48.2277102, 14.854791 48.2276742)",2,,30,,,
68810180,Hauptstraße,residential,True,False,57.444,"LINESTRING (14.854879 48.2277365, 14.8549526 48.2277876, 14.8550567 48.2278525, 14.8551779 48.2279147, 14.8553301 48.2279718, 14.8554387 48.2280148, 14.8554662 48.2280258, 14.8555018 48.2280387)",1,,30,,,
117795582,Böhmergasse,residential,False,True,213.751,"LINESTRING (14.854879 48.2277365, 14.854809 48.2277987, 14.8547193 48.2279069, 14.8546695 48.2279702, 14.8546235 48.2280677, 14.854589 48.2281596, 14.8545747 48.2282463, 14.854584 48.2283292, 14.8546024 48.2284258, 14.8546373 48.2285482, 14.8546958 48.2286775, 14.8547645 48.2287984, 14.8547781 48.2288359, 14.8547768 48.2288975, 14.854759 48.2290617, 14.8547504 48.2291972, 14.8547521 48.2293596, 14.8547835 48.229505, 14.8547942 48.2295909)",,,,,,
"[96845728, 68810124]",Schiffmeistergasse,residential,False,False,223.331,"LINESTRING (14.8547845 48.2268126, 14.8547005 48.2266128, 14.8546542 48.2265167, 14.8546093 48.2264336, 14.8544403 48.2262165, 14.8543283 48.2260834, 14.8542499 48.2260048, 14.8541654 48.2259418, 14.853812 48.2257475, 14.8536564 48.225668, 14.8533984 48.2255553, 14.8532246 48.2254886, 14.8531793 48.2254658, 14.8531605 48.2254368, 14.8531648 48.2253833, 14.8532546 48.2252593)",,,,,,
96845726,Kreuznerstraße,residential,False,True,93.603,"LINESTRING (14.8547845 48.2268126, 14.8546669 48.2268568, 14.8545444 48.2269141, 14.8543513 48.2270229, 14.8542699 48.2270837, 14.8541991 48.2271492, 14.8541506 48.2272194, 14.854132 48.227275, 14.854124 48.2273282, 14.8541176 48.2273813, 14.8541096 48.2274231, 14.8540906 48.2274593)",,,,,,
787202547,Kreuznerstraße,residential,False,False,18.168,"LINESTRING (14.8547845 48.2268126, 14.8548292 48.2267958, 14.8549037 48.2267678, 14.8549955 48.2267294)",,,,,,
314862157,Hauptstraße,residential,False,False,15.147000000000002,"LINESTRING (14.8592197 48.2291174, 14.8591951 48.2290793, 14.8591833 48.2290403, 14.8591895 48.2289855)",,,,,,
329741444,Hauptstraße,residential,False,True,19.326999999999998,"LINESTRING (14.8592197 48.2291174, 14.8591052 48.2291493, 14.8589771 48.2291813)",1,,30,,,
