osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,bridge,junction
29394601,True,Wiener Straße,residential,30,False,110.11999999999999,"LINESTRING (15.6610667 48.6644471, 15.6609203 48.6643048, 15.6607834 48.6642336, 15.6606492 48.6641824, 15.6604743 48.6641428, 15.6602539 48.6641172, 15.6597568 48.6640758)",,,,
166629034,False,Wiener Straße,residential,30,False,51.65,"LINESTRING (15.6610667 48.6644471, 15.6611001 48.6645469, 15.6611668 48.6649065)",,,,
"[367877587, 29394572, 367877588]",False,Riedenburgstraße,residential,,False,57.120999999999995,"LINESTRING (15.6545174 48.6620815, 15.6546663 48.6620413, 15.6547068 48.6620297, 15.6547192 48.6620263, 15.6549471 48.661964, 15.6550138 48.6619458, 15.6552052 48.6618934, 15.655236 48.661885)","['2', '3']",,,
"[303395623, 96850134, 96850109, 373638110, 373638111]",False,Prager Straße,primary,50,False,75.87,"LINESTRING (15.6545174 48.6620815, 15.6545624 48.6621553, 15.6545833 48.6621896, 15.6546278 48.6622728, 15.6546714 48.6623631, 15.6546975 48.6624431, 15.6547187 48.6625462, 15.6547263 48.6626179, 15.6547396 48.6627426)","['2', '3']",B34,yes,
481694876,False,Prager Straße,primary,50,True,48.209999999999994,"LINESTRING (15.6545174 48.6620815, 15.6544439 48.6619976, 15.6544025 48.6619614, 15.654326 48.6618945, 15.6542298 48.6618301, 15.6541606 48.6617947, 15.6540899 48.6617584)",2,B34,,
"[29394586, 304919682]",False,Stadtgraben,primary,50,"[False, True]",188.93,"LINESTRING (15.6547396 48.6627426, 15.6547589 48.6628703, 15.65478 48.6629454, 15.6548173 48.6630777, 15.6548979 48.6632711, 15.6549533 48.6634432, 15.6550184 48.6636839, 15.6550707 48.663937, 15.6550975 48.6641153, 15.6551112 48.6644193)",2,B34,,
96642088,False,Frauenhofner Straße,tertiary,50,True,113.90299999999999,"LINESTRING (15.6547396 48.6627426, 15.6545851 48.6628313, 15.6545126 48.6628568, 15.6541727 48.6629767, 15.6537723 48.6631572, 15.6536685 48.6632185, 15.6534787 48.6633307)",,L52,,
"[592047809, 29394497, 563973263, 237908336, 592058673, 592058674, 592058675, 237908027]",False,"['Prager Straße', 'Schützenplatz', 'Hauptplatz']",residential,30,"[False, True]",211.79899999999995,"LINESTRING (15.6547396 48.6627426, 15.6549219 48.6627327, 15.6550033 48.6627396, 15.6553214 48.6628043, 15.6556851 48.6629117, 15.6558832 48.6630033, 15.6560395 48.6631207, 15.6562243 48.6632687, 15.6563008 48.6633211, 15.6563487 48.6633525, 15.6564527 48.6634145, 15.6566575 48.6635169, 15.656697 48.663533, 15.6567956 48.6635727, 15.6568954 48.6636082, 15.6571383 48.6636842)",2,,,
"[303395623, 96850134, 96850109, 373638110, 373638111]",False,Prager Straße,primary,50,True,75.86999999999999,"LINESTRING (15.6547396 48.6627426, 15.6547263 48.6626179, 15.6547187 48.6625462, 15.6546975 48.6624431, 15.6546714 48.6623631, 15.6546278 48.6622728, 15.6545833 48.6621896, 15.6545624 48.6621553, 15.6545174 48.6620815)","['2', '3']",B34,yes,
367877588,False,Riedenburgstraße,residential,,False,28.232,"LINESTRING (15.6560049 48.6616747, 15.6563644 48.6615848)",2,,,
