osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,width,junction,ref,tunnel,bridge,access
122071328,Salzburger Straße,tertiary,False,True,112.979,"LINESTRING (13.6493284 48.0072453, 13.6491635 48.0071616, 13.648127 48.0066238)",,,,,,,,
"[822923456, 33580651, 142447670]",Salzburger Straße,tertiary,False,False,160.55599999999998,"LINESTRING (13.6493284 48.0072453, 13.6494505 48.0073025, 13.6498358 48.0074892, 13.6501564 48.007654, 13.6503214 48.0077304, 13.6504134 48.0077712, 13.6505596 48.0078255, 13.6506522 48.0078524, 13.6507695 48.0078735, 13.6508761 48.0078815, 13.6509767 48.0078793, 13.6510746 48.0078631, 13.6511873 48.0078362)",30,3,,,,,,
1230144973,Klosterstraße,residential,False,False,55.107,"LINESTRING (13.6493284 48.0072453, 13.6494229 48.0071722, 13.6498409 48.0068877)",30,,,,,,,
40465706,Anton Hesch-Gasse,residential,False,True,146.223,"LINESTRING (13.6513939 48.0081759, 13.6513 48.0082291, 13.651253 48.0082549, 13.6511692 48.0083068, 13.6510793 48.0083647, 13.6510411 48.0083939, 13.6509821 48.0084459, 13.6509647 48.0084662, 13.6509345 48.0085205, 13.6508929 48.0086753, 13.6508252 48.0089534, 13.6507923 48.0090689, 13.6507346 48.0092295, 13.6507239 48.0093542)",30,,6,,,,,
319989450,Anton Hesch-Gasse,residential,True,False,9.447,"LINESTRING (13.6513939 48.0081759, 13.6513782 48.0081575, 13.6513707 48.0081368, 13.6513723 48.0081156, 13.6513826 48.0080955)",30,,,roundabout,,,,
319989450,Anton Hesch-Gasse,residential,True,False,23.296999999999997,"LINESTRING (13.6515897 48.0081064, 13.651595 48.0081248, 13.6515934 48.0081435, 13.6515849 48.0081613, 13.6515701 48.0081771, 13.6515499 48.0081901, 13.6515109 48.0082026, 13.6514676 48.0082043, 13.6514266 48.008195, 13.6513939 48.0081759)",30,,,roundabout,,,,
4008668,Krankenhausstraße,residential,True,False,29.844,"LINESTRING (13.6502321 48.0052817, 13.6502318 48.0051593, 13.6502318 48.0050133)",30,,,,,,,
183588920,Krankenhausstraße,residential,False,False,23.709000000000003,"LINESTRING (13.6502321 48.0052817, 13.6501969 48.0052993, 13.6500889 48.0053559, 13.650042 48.0053747, 13.6499944 48.0053828, 13.6499608 48.0053805)",30,,,,,,,
452737365,Linzer Straße,primary,True,False,97.498,"LINESTRING (13.6516956 48.0037883, 13.6504263 48.0040064)",70,2,,,B1,,,
378083375,,primary_link,True,False,82.76299999999999,"LINESTRING (13.6516956 48.0037883, 13.6513502 48.0039221, 13.6512721 48.0039685, 13.6512137 48.0040201, 13.6511567 48.0040892, 13.6510888 48.0041941, 13.6510577 48.0042309, 13.6509541 48.0043126)",,,,,,,,
827885918,Salzburger Straße,tertiary,False,True,12.53,"LINESTRING (13.6403582 48.0038363, 13.6403338 48.0039478)",,,,,,,,
"[352689373, 352689367]",Linzer Straße,primary,True,False,111.768,"LINESTRING (13.6403582 48.0038363, 13.6406408 48.0038621, 13.6411937 48.0039231, 13.6418428 48.0039898)",70,"['2', '3']",,,B1,,,
