osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,bridge,tunnel
5364209,B23,primary,50,roundabout,True,False,28.992,"LINESTRING (15.6711472 47.6077068, 15.6711067 47.6076926, 15.6710723 47.607666, 15.671057 47.607637, 15.6710616 47.6075948, 15.671083 47.6075676, 15.6711202 47.6075457, 15.671163 47.607535, 15.6712026 47.6075342)",,,,
416465370,B23,primary,50,,False,True,26.792,"LINESTRING (15.6711472 47.6077068, 15.6710626 47.6078158, 15.6709984 47.6079255)",Mariazeller Straße,,,
281250731,B23,primary,50,roundabout,True,False,20.608000000000004,"LINESTRING (15.6712026 47.6075342, 15.6712463 47.6075432, 15.6712828 47.6075617, 15.6713075 47.6075872, 15.671318 47.6076172, 15.6713147 47.6076425, 15.6712912 47.607676)",,,,
641318133,B23,primary,50,,False,False,25.208,"LINESTRING (15.6712026 47.6075342, 15.6712671 47.6074477, 15.6712855 47.607423, 15.6713535 47.6073316)",Mariazeller Straße,,,
"[281308803, 1156807428, 416475220]",L118,secondary,50,,False,True,80.211,"LINESTRING (15.6759728 47.6075628, 15.6759522 47.6075853, 15.675925 47.607608, 15.6758856 47.6076284, 15.6758374 47.6076458, 15.6756834 47.6076837, 15.6756289 47.6076952, 15.675518 47.6077186, 15.6753943 47.6077403, 15.6749898 47.6078114)",Frachtenstraße,2,,
291290086,L118,secondary,50,,False,False,99.00399999999999,"LINESTRING (15.6759728 47.6075628, 15.6759869 47.6075371, 15.6759921 47.6075114, 15.6759877 47.6073341, 15.6759996 47.6072821, 15.6760243 47.6072366, 15.6760488 47.6071989, 15.6760804 47.6071671, 15.676168 47.6071092, 15.6762811 47.6070649, 15.6763924 47.6070391, 15.6766143 47.6070213, 15.6767296 47.6070121)",Frachtenstraße,2,,
"[379145320, 1190246043, 30362821]",,residential,30,,False,False,155.983,"LINESTRING (15.6759728 47.6075628, 15.6762555 47.6075469, 15.6764788 47.6075404, 15.6766269 47.6075366, 15.6766924 47.6075337, 15.6768316 47.6075295, 15.6770065 47.6075223, 15.6771785 47.6075161, 15.677255 47.6075134, 15.6774461 47.6075056, 15.6780465 47.6074568)",Kaplanplatz,,,
136893969,,residential,30,,False,True,21.399,"LINESTRING (15.6716205 47.6059258, 15.6719006 47.6058888)",Hauptplatz,,,
5097553,B23,primary,50,,False,True,85.147,"LINESTRING (15.6716205 47.6059258, 15.6716278 47.6059403, 15.6716799 47.6060324, 15.6716853 47.6060942, 15.6716984 47.6062632, 15.6717464 47.606401, 15.6717797 47.6064857, 15.6717862 47.6065976, 15.6717767 47.6066769)",Mariazeller Straße,,,
41210152,B23,primary,50,,False,False,26.756,"LINESTRING (15.6716205 47.6059258, 15.6715446 47.6058715, 15.671345 47.6057743)",Grazer Straße,,,
"[136893968, 234751558, 136893967]",L118,secondary,50,,False,False,125.36300000000001,"LINESTRING (15.6772613 47.6068808, 15.6772877 47.6068581, 15.6773334 47.6068007, 15.6773574 47.6067203, 15.6773558 47.6066677, 15.6773375 47.6066087, 15.6772909 47.606548, 15.6771966 47.606486, 15.6768042 47.6063144, 15.676721 47.6062391, 15.6766929 47.6061848, 15.6766878 47.6061182, 15.6767021 47.6060428, 15.6767424 47.6059762)",Frachtenstraße,,yes,
291290086,L118,secondary,50,,False,True,43.441,"LINESTRING (15.6772613 47.6068808, 15.6771326 47.6069487, 15.6769222 47.6069966, 15.6768064 47.6070059, 15.6767296 47.6070121)",Frachtenstraße,2,,
5097555,L118,secondary,50,,False,False,77.507,"LINESTRING (15.6767424 47.6059762, 15.6768431 47.6059527, 15.6768861 47.6059556, 15.6769564 47.6059604, 15.6777354 47.6061182)",Wiener Straße,,,
23093807,,living_street,,,True,False,15.472,"LINESTRING (15.6767424 47.6059762, 15.6766335 47.6059502, 15.6765453 47.6059355)",Wiener Straße,,,
