osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,junction,access
37100409,L215,Schalserstraße,secondary,50,False,True,62.967,"LINESTRING (11.7776615 47.3920653, 11.7774602 47.3920219, 11.7773679 47.3920117, 11.7772797 47.3920084, 11.7772023 47.3920108, 11.7768398 47.3920443)",,,,
"[407531892, 35064191]",,"['Südtiroler Platz', 'Kirchgasse']",tertiary,30,True,False,226.042,"LINESTRING (11.7713355 47.3915166, 11.771384 47.391545, 11.7714451 47.3915703, 11.7716302 47.3916211, 11.7720947 47.3917487, 11.772168 47.3917843, 11.7722175 47.3918178, 11.7722587 47.3918572, 11.7723146 47.3919271, 11.772378 47.3920291, 11.7724203 47.3921217, 11.7724242 47.3921652, 11.7724152 47.3922088, 11.7724027 47.3922437, 11.7723847 47.3922793, 11.7722439 47.3924774, 11.7722193 47.3925107, 11.7719246 47.3929221, 11.7719111 47.3929545, 11.7719082 47.39298, 11.7719133 47.3930037, 11.7719546 47.3930612)",,,,
37100402,L215,Tratzbergstraße,secondary,50,False,True,82.30300000000001,"LINESTRING (11.7713355 47.3915166, 11.7713684 47.3914801, 11.7714726 47.3913734, 11.771525 47.3913286, 11.771574 47.3913002, 11.7716374 47.3912692, 11.7719025 47.3911638, 11.7720715 47.3911056, 11.7721178 47.3910848, 11.7721622 47.391056)",,,,
37100403,L215,Tratzbergstraße,secondary,50,False,False,84.57300000000001,"LINESTRING (11.7713355 47.3915166, 11.7712742 47.3915599, 11.7711625 47.3916189, 11.7709135 47.3917581, 11.7708477 47.3917838, 11.7707819 47.3918011, 11.7707005 47.3918164, 11.7704149 47.391866, 11.7703722 47.3918743)",,,,
30290731,,Bräufeldweg,residential,30,False,False,81.731,"LINESTRING (11.7713835 47.3941107, 11.7711345 47.3940565, 11.7710404 47.3940298, 11.7708899 47.3939741, 11.7708518 47.39396, 11.7705554 47.3938471, 11.7705381 47.3938398, 11.7704137 47.3937871)",,,,
45519747,L7,Achenseestraße,secondary,50,False,False,129.95999999999998,"LINESTRING (11.7713835 47.3941107, 11.7714086 47.3940041, 11.7714763 47.3935711, 11.7715017 47.3934999, 11.7715299 47.3934334, 11.7715683 47.3933563, 11.7716075 47.3932987, 11.7716775 47.3932245, 11.7717268 47.393182, 11.7718009 47.3931382, 11.7718687 47.3931053, 11.7719269 47.393077, 11.7719546 47.3930612)",,,,
195832198,L7,Achenseestraße,secondary,50,False,True,146.24,"LINESTRING (11.7713835 47.3941107, 11.7713726 47.3941514, 11.7713151 47.3943597, 11.7712958 47.3944089, 11.7712678 47.3944631, 11.7711587 47.3946456, 11.7711157 47.3947433, 11.7710729 47.3948921, 11.7710477 47.3949935, 11.7710105 47.3951951, 11.7710036 47.3953922)",,,,
80200546,L215,Achenseestraße,secondary,50,False,True,24.533,"LINESTRING (11.7730857 47.39146, 11.7731036 47.3916803)",,,,
26340314,L215,Tratzbergstraße,secondary,50,True,False,84.612,"LINESTRING (11.7730857 47.39146, 11.7729087 47.391359, 11.772789 47.3912522, 11.7725027 47.3911619, 11.7722662 47.3911075, 11.7721622 47.391056)",,,,
"[45566792, 316414004]",,Achenseestraße,residential,30,True,False,158.04700000000003,"LINESTRING (11.7734098 47.3900693, 11.7734232 47.3901548, 11.7734142 47.390394, 11.7734223 47.3905624, 11.7734026 47.3906762, 11.7732938 47.3909918, 11.773223 47.3911544, 11.7731728 47.3912696, 11.7730857 47.39146)",,,,
