osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,lanes,width,junction
87071933,Brennereistraße,residential,False,True,46.52,,,"LINESTRING (15.1206842 48.8615015, 15.1200505 48.8615365)",,,,
122855235,Schremser Straße,primary,False,True,90.253,B30,50,"LINESTRING (15.1206842 48.8615015, 15.120652 48.8616056, 15.1206279 48.8617055, 15.1206051 48.8618196, 15.1205628 48.8620368, 15.1205058 48.8623044)",,,,
"[122855240, 122855235, 184562501]",Schremser Straße,primary,False,False,89.31,B30,50,"LINESTRING (15.1200273 48.8632719, 15.1200383 48.8632391, 15.1200514 48.8632089, 15.1200658 48.8631763, 15.1200823 48.863145, 15.1201248 48.8630749, 15.1201714 48.8630047, 15.1201916 48.8629751, 15.1202517 48.8628783, 15.1203355 48.8627448, 15.1203972 48.8626326, 15.1204462 48.8625188)",yes,,,
302352135,Schremser Straße,primary,False,True,68.753,B30,50,"LINESTRING (15.1200273 48.8632719, 15.1200199 48.8633215, 15.1200186 48.8633725, 15.1200253 48.8634426, 15.1200357 48.863514, 15.120042 48.8635862, 15.1200417 48.8636923, 15.1200233 48.863889)",,,,
27366674,Friedhofgasse,residential,False,False,19.226,,,"LINESTRING (15.1207882 48.8671707, 15.1206044 48.8672943)",,,,
27366827,,residential,False,False,58.693,,,"LINESTRING (15.1207882 48.8671707, 15.1208801 48.8671216, 15.1209878 48.8670622, 15.1212513 48.8669166, 15.1214054 48.8668334)",,,,
"[943963464, 943963465, 157913741, 943963463]",Schremser Straße,primary,False,True,252.71100000000004,B5,50,"LINESTRING (15.1207882 48.8671707, 15.1207217 48.8671016, 15.1206394 48.8670187, 15.1205106 48.8668822, 15.1203298 48.866674, 15.1202713 48.8665961, 15.1201143 48.8663414, 15.1200336 48.8661451, 15.119994 48.8660268, 15.1199286 48.8657907, 15.1199202 48.8657173, 15.1199138 48.8654405, 15.1199431 48.8652644, 15.1199688 48.8651989, 15.1200051 48.8651322, 15.1200335 48.8650857, 15.1200649 48.8650412)",,"['2', '3']",,
"[274547568, 943963468]",Schremser Straße,primary,False,False,233.123,B5,50,"LINESTRING (15.1207882 48.8671707, 15.1209948 48.867367, 15.1210842 48.8674567, 15.121149 48.8675282, 15.1212061 48.8676068, 15.1213157 48.8677772, 15.1214551 48.868086, 15.1216436 48.8685949, 15.1218336 48.8691297)",,3,,
130693461,Schremser Straße,primary,False,True,54.42,B5,50,"LINESTRING (15.1218336 48.8691297, 15.1219722 48.8695184, 15.1219951 48.8696073)",,2,,
"[274547568, 943963468]",Schremser Straße,primary,False,True,233.12300000000005,B5,50,"LINESTRING (15.1218336 48.8691297, 15.1216436 48.8685949, 15.1214551 48.868086, 15.1213157 48.8677772, 15.1212061 48.8676068, 15.121149 48.8675282, 15.1210842 48.8674567, 15.1209948 48.867367, 15.1207882 48.8671707)",,3,,
16757141,,primary,False,False,9.168,B5,50,"LINESTRING (15.1220279 48.8699103, 15.1220164 48.8699924)",,2,,
128348872,Kautzener Straße,primary_link,True,False,32.471,B30,50,"LINESTRING (15.1220279 48.8699103, 15.1224718 48.869915)",,,,
60251563,Schremser Straße,primary,False,False,33.815,B5,50,"LINESTRING (15.1220279 48.8699103, 15.1220283 48.8698292, 15.1220205 48.8697588, 15.1219951 48.8696073)",,2,,
592989236,Kautzener Straße,primary,False,True,8.716,B30,50,"LINESTRING (15.1244096 48.8699519, 15.1245106 48.8699935)",,2,,
128385431,Kautzener Straße,residential,True,False,27.914,,,"LINESTRING (15.1244096 48.8699519, 15.124469 48.8698771, 15.1246169 48.8697418)",,,,
483097594,Kautzener Straße,primary,False,False,34.559,B30,50,"LINESTRING (15.1244096 48.8699519, 15.1242826 48.8699061, 15.124129 48.8698607, 15.1239781 48.8698272)",,,,
594139814,Angergasse,residential,False,True,44.322,,,"LINESTRING (15.1237261 48.8623212, 15.1231403 48.8622194)",,,,
96719652,Gartengasse,residential,False,False,137.53199999999998,,,"LINESTRING (15.1237261 48.8623212, 15.123645 48.8623988, 15.1234663 48.8625297, 15.1232494 48.8626423, 15.1228 48.8628604, 15.1224857 48.8630268, 15.1223734 48.8631014, 15.1223351 48.8631413)",,,,
594139814,Angergasse,residential,False,False,15.702000000000002,,,"LINESTRING (15.1237261 48.8623212, 15.1238156 48.8623288, 15.1239379 48.8623138)",,,,
592833188,Waldgasse,residential,False,False,136.481,,,"LINESTRING (15.1239379 48.8623138, 15.123941 48.8624441, 15.1239065 48.8630229, 15.1238362 48.8631064, 15.1235999 48.8633612, 15.1235779 48.863431, 15.1236162 48.8634772)",,,,
592833188,Waldgasse,residential,False,True,65.662,,,"LINESTRING (15.1239379 48.8623138, 15.1239925 48.8622608, 15.1240463 48.8621987, 15.1240921 48.8621114, 15.124272 48.8617686)",,,,
594139814,Angergasse,residential,False,True,15.702000000000002,,,"LINESTRING (15.1239379 48.8623138, 15.1238156 48.8623288, 15.1237261 48.8623212)",,,,
592792585,Waidhofener Straße,primary,False,True,12.606,B5,50,"LINESTRING (15.1232397 48.864048, 15.1231436 48.8641421)",,2,,
