osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge,tunnel
33717818,2,B137,Innviertler Straße,primary,70,False,False,116.365,"LINESTRING (13.8197945 48.2327996, 13.8202172 48.2327933, 13.8205745 48.2327998, 13.8209579 48.2328144, 13.8213614 48.2328489)",,,
"[8104316, 366911670]",,,"['Unionweg', 'Turnerweg']",residential,50,False,False,308.69399999999996,"LINESTRING (13.824739 48.234305, 13.8241802 48.233224, 13.8241108 48.233241, 13.8237884 48.2333198, 13.8236758 48.2333719, 13.8234893 48.2334952, 13.8233371 48.2335482, 13.8229785 48.2336365, 13.8229545 48.2336841, 13.8230246 48.2338128, 13.8232972 48.2343132)",,,
40286048,2,,Manglburg,residential,50,False,False,94.457,"LINESTRING (13.824739 48.234305, 13.8245534 48.234347, 13.8244774 48.2343642, 13.8242866 48.2344124, 13.8242302 48.2344267, 13.8235594 48.2346262)",,,
40286048,2,,Manglburg,residential,50,False,True,89.439,"LINESTRING (13.824739 48.234305, 13.8254328 48.2342364, 13.8259312 48.2341776)",,,
366911655,,,Gartenstraße,residential,50,False,True,87.141,"LINESTRING (13.8232972 48.2343132, 13.8222218 48.2346311)",,,
366911670,,,Unionweg,residential,50,False,False,39.626000000000005,"LINESTRING (13.8232972 48.2343132, 13.823459 48.234608, 13.8234809 48.2346479)",,,
"[8104316, 366911670]",,,"['Unionweg', 'Turnerweg']",residential,50,False,True,308.694,"LINESTRING (13.8232972 48.2343132, 13.8230246 48.2338128, 13.8229545 48.2336841, 13.8229785 48.2336365, 13.8233371 48.2335482, 13.8234893 48.2334952, 13.8236758 48.2333719, 13.8237884 48.2333198, 13.8241108 48.233241, 13.8241802 48.233224, 13.824739 48.234305)",,,
33718998,,,Sportplatzstraße,residential,50,False,False,24.935,"LINESTRING (13.8234809 48.2346479, 13.8231726 48.234738)",,,
33718998,,,Sportplatzstraße,residential,50,False,True,6.295,"LINESTRING (13.8234809 48.2346479, 13.8235594 48.2346262)",,,
366911670,,,Unionweg,residential,50,False,True,39.626000000000005,"LINESTRING (13.8234809 48.2346479, 13.823459 48.234608, 13.8232972 48.2343132)",,,
8104319,,,,residential,,False,False,39.944,"LINESTRING (13.8222218 48.2346311, 13.822448 48.2349572)",destination,,
366911655,,,Gartenstraße,residential,50,False,False,87.141,"LINESTRING (13.8222218 48.2346311, 13.8232972 48.2343132)",,,
366911655,,,Gartenstraße,residential,50,False,True,115.786,"LINESTRING (13.8222218 48.2346311, 13.8207949 48.2350565)",,,
181675840,,,Lobmeyrstraße,tertiary,30,False,True,40.594,"LINESTRING (13.826765 48.235523, 13.8267382 48.235468, 13.8266894 48.2353504, 13.8266568 48.2352033, 13.8266542 48.2351668)",,,
"[33287122, 367620275]",,L528,Oberer Stadtplatz,secondary,"['30', '50']",False,True,166.097,"LINESTRING (13.826765 48.235523, 13.8266233 48.2355727, 13.8265315 48.2356053, 13.825322 48.2360163, 13.8249026 48.2361886, 13.8247915 48.2362308)",,,
8104326,,,Uferstraße,residential,30,True,False,100.92,"LINESTRING (13.8265847 48.2347707, 13.8266855 48.23474, 13.8271615 48.2346385, 13.8278826 48.2344965)",,,
"[44460865, 44460866, 7999954]",,,Lobmeyrstraße,tertiary,30,False,True,73.455,"LINESTRING (13.8265847 48.2347707, 13.8265729 48.2347384, 13.82651 48.2345927, 13.8264949 48.234554, 13.8264792 48.234485, 13.8264645 48.2344229, 13.8264468 48.2343485, 13.8264222 48.2341843, 13.8264121 48.2341219)",,yes,
181675840,,,Lobmeyrstraße,tertiary,30,False,False,44.456,"LINESTRING (13.8265847 48.2347707, 13.8266358 48.2349409, 13.8266542 48.2351668)",,,
"[8104312, 1176473551, 367504023]",,,"['Oberer Stadtplatz', 'Uferstraße']",residential,"['30', '50']",False,True,242.81300000000002,"LINESTRING (13.8265847 48.2347707, 13.8263746 48.2348168, 13.8255772 48.2349653, 13.8253967 48.235009, 13.8252878 48.235051, 13.8252188 48.2351006, 13.8251565 48.2351648, 13.8250897 48.2352539, 13.824861 48.2356269, 13.8248095 48.2357049, 13.8247509 48.2358211, 13.8247211 48.2359225, 13.8247176 48.2360076, 13.8247299 48.2360966, 13.8247545 48.236172, 13.8247915 48.2362308)",,,
40286048,2,,Manglburg,residential,50,False,False,89.439,"LINESTRING (13.8259312 48.2341776, 13.8254328 48.2342364, 13.824739 48.234305)",,,
"[1125601985, 44461930]",,,Manglburg,residential,50,False,False,176.77100000000002,"LINESTRING (13.8259312 48.2341776, 13.8258999 48.2340718, 13.8258674 48.2339526, 13.8258361 48.2338379, 13.8257455 48.2335052, 13.825749 48.2334592, 13.8257684 48.2334357, 13.8258062 48.2334223, 13.8267655 48.2333291, 13.8269956 48.2332872)",,,
1125601986,2,,Manglburg,residential,50,False,True,36.156,"LINESTRING (13.8259312 48.2341776, 13.8262913 48.234138, 13.8264121 48.2341219)",,,
33718998,,,Sportplatzstraße,residential,50,False,False,6.295,"LINESTRING (13.8235594 48.2346262, 13.8234809 48.2346479)",,,
"[8104324, 181675862]",,,Pfarrhofsiedlung,residential,50,False,True,107.9,"LINESTRING (13.8235594 48.2346262, 13.8238566 48.2350946, 13.8239557 48.2352508, 13.8237672 48.2353486, 13.8235988 48.2354203)",,,
40286048,2,,Manglburg,residential,50,False,True,94.457,"LINESTRING (13.8235594 48.2346262, 13.8242302 48.2344267, 13.8242866 48.2344124, 13.8244774 48.2343642, 13.8245534 48.234347, 13.824739 48.234305)",,,
8104323,,,Pfarrhofsiedlung,residential,50,False,False,82.173,"LINESTRING (13.8235988 48.2354203, 13.8231726 48.234738)",,,
"[8104324, 181675862]",,,Pfarrhofsiedlung,residential,50,False,False,107.9,"LINESTRING (13.8235988 48.2354203, 13.8237672 48.2353486, 13.8239557 48.2352508, 13.8238566 48.2350946, 13.8235594 48.2346262)",,,
181675862,,,Pfarrhofsiedlung,residential,50,False,True,48.806999999999995,"LINESTRING (13.8235988 48.2354203, 13.8232157 48.2355657, 13.823046 48.2356569)",,,
8104322,,,Pfarrhofsiedlung,residential,50,False,True,89.067,"LINESTRING (13.8225527 48.2349264, 13.823046 48.2356569)",,,
33718998,,,Sportplatzstraße,residential,50,False,False,8.477,"LINESTRING (13.8225527 48.2349264, 13.822448 48.2349572)",,,
33718998,,,Sportplatzstraße,residential,50,False,True,50.466,"LINESTRING (13.8225527 48.2349264, 13.8231726 48.234738)",,,
8104323,,,Pfarrhofsiedlung,residential,50,False,True,82.173,"LINESTRING (13.8231726 48.234738, 13.8235988 48.2354203)",,,
