osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,tunnel
30651407,2,L190,Bahnhofstraße,primary,50,False,False,110.997,"LINESTRING (9.8187309 47.1565548, 9.8186907 47.1564747, 9.8186025 47.1562807, 9.8185076 47.1560721, 9.8184982 47.1560513, 9.818443 47.1559698, 9.8183586 47.1558775, 9.818252 47.1557906, 9.8180858 47.155679)",,,
306522446,2,L91,Mutterstraße,tertiary,50,False,True,86.516,"LINESTRING (9.8187309 47.1565548, 9.8187608 47.1565989, 9.8187752 47.1566185, 9.8187948 47.1566465, 9.8189257 47.1568305, 9.819056 47.1570313, 9.8191667 47.1572081, 9.819195 47.1572655)",,,
30651716,2,L190,Hermann-Sanderstraße,primary,50,False,False,90.075,"LINESTRING (9.8161215 47.1543894, 9.816134 47.1543639, 9.8161659 47.1543391, 9.8162497 47.1542793, 9.8163736 47.1541917, 9.8164989 47.1541098, 9.8169934 47.1538452)",,,
"[375067634, 375067635]",2,L190,Bahnhofstraße,primary,50,False,True,74.367,"LINESTRING (9.8161215 47.1543894, 9.8161347 47.1544198, 9.8161577 47.1544426, 9.8161883 47.1544626, 9.8165928 47.1547223, 9.816624 47.1547423, 9.8166785 47.1547772, 9.8167206 47.1548042, 9.8168092 47.1548611)",,,
30246040,,,Hermann-Sanderstraße,residential,40,False,True,131.322,"LINESTRING (9.8195916 47.1524906, 9.8196076 47.1524689, 9.8196356 47.1524464, 9.8207705 47.1516248)",,,
30651712,1,L190,Ignaz-Wolf-Straße,primary,40,True,False,64.46000000000001,"LINESTRING (9.8195916 47.1524906, 9.8196203 47.1524955, 9.8196395 47.1525037, 9.8202496 47.1528558)",,,
120609313,,,Ignaz-Wolf-Straße,residential,40,False,True,53.834,"LINESTRING (9.8195916 47.1524906, 9.8195496 47.1524554, 9.8193149 47.1523041, 9.8193046 47.1522975, 9.8191085 47.1521711, 9.8190805 47.1521541)",,,
317643039,2,L190,Hermann-Sanderstraße,primary,40,False,True,97.024,"LINESTRING (9.8195916 47.1524906, 9.8195657 47.152498, 9.819532 47.1525147, 9.8194525 47.1525584, 9.8192229 47.1526768, 9.8186501 47.1529721, 9.8185668 47.1530146)",,,
27328041,2,L190,Werdenbergerstraße,primary,50,False,False,90.939,"LINESTRING (9.8223492 47.1540931, 9.822243 47.1544311, 9.8222091 47.1545305, 9.8221768 47.1546251, 9.8221427 47.1546996, 9.8221004 47.1547749, 9.8220309 47.1548791)",,,
42261963,2,L190,Sankt-Peter-Straße,primary,50,False,False,128.431,"LINESTRING (9.8223492 47.1540931, 9.8223945 47.1539341, 9.8224261 47.153823, 9.8225121 47.1534853, 9.8225449 47.1533743, 9.8225679 47.153323, 9.8226089 47.1532314, 9.8226909 47.1530897, 9.8227771 47.1529824)",,,
