osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,junction,bridge,access
53474186,L1424,Naarner Straße,tertiary,False,True,10.062,"LINESTRING (14.6308095 48.2476179, 14.6306984 48.2475658)",,,,,
29097530,,Brucknerstraße,residential,False,False,155.579,"LINESTRING (14.6308095 48.2476179, 14.6308551 48.2475659, 14.6308905 48.2474949, 14.6309734 48.247299, 14.6311667 48.2467565, 14.6312426 48.2463957, 14.6312564 48.2462573)",,,,,
53474186,L1424,Naarner Straße,tertiary,False,False,272.05500000000006,"LINESTRING (14.6308095 48.2476179, 14.6308978 48.2476565, 14.6312598 48.2478121, 14.6319808 48.2481161, 14.6329155 48.2485073, 14.6332701 48.2486516, 14.6334462 48.2487105, 14.633679 48.2487761, 14.6338375 48.2488087, 14.6339216 48.2488193, 14.6339849 48.2488218)",,,,,
"[280972601, 117339643]",,Dr.-Schober-Straße,residential,True,False,189.823,"LINESTRING (14.6342214 48.2504185, 14.6342722 48.2504516, 14.6343193 48.2504696, 14.63441 48.2504863, 14.6345511 48.2504951, 14.6348682 48.2505057, 14.6351234 48.2505023, 14.6353941 48.2505056, 14.6354607 48.2505063, 14.6355828 48.250505, 14.6357243 48.2504969, 14.6358926 48.2504728, 14.636708 48.2502991)",,,,,
236742974,,Hauptplatz,residential,False,False,45.61,"LINESTRING (14.6342214 48.2504185, 14.6341394 48.2504018, 14.6337793 48.2503668, 14.6336872 48.2503584, 14.6336139 48.2503561)",,,,,
53474186,L1424,Naarner Straße,tertiary,False,False,10.062,"LINESTRING (14.6306984 48.2475658, 14.6308095 48.2476179)",,,,,
29097529,,Brucknerstraße,residential,True,False,142.439,"LINESTRING (14.6306984 48.2475658, 14.6306604 48.24761, 14.6306148 48.2476874, 14.6304034 48.2483548, 14.6302866 48.2487061, 14.6302586 48.2487615, 14.6302223 48.2488013)",,,,,
53474186,L1424,Naarner Straße,tertiary,False,True,54.041,"LINESTRING (14.6306984 48.2475658, 14.6304201 48.2474266, 14.6302414 48.2473414, 14.6301597 48.2473041, 14.6301075 48.2472807)",,,,,
203386127,,Hauptplatz,tertiary,False,True,40.732,"LINESTRING (14.6342995 48.2499548, 14.6338311 48.2501469)",,,,,
29107632,,Herrenstraße,tertiary,False,False,155.58800000000002,"LINESTRING (14.6342995 48.2499548, 14.6344194 48.2498982, 14.6344811 48.2498787, 14.6347781 48.2498231, 14.6349666 48.2497816, 14.6352515 48.2496961, 14.6354507 48.2496383, 14.635668 48.2495776, 14.6362332 48.2494186)",30,,,,
109568356,,Hauptplatz,residential,True,False,53.657,"LINESTRING (14.6342995 48.2499548, 14.6343304 48.2499892, 14.6343483 48.2500466, 14.6342731 48.2503419, 14.6342507 48.2503843, 14.6342214 48.2504185)",,,,,
29097658,,Herrenstraße,tertiary,False,False,260.567,"LINESTRING (14.6367006 48.2493039, 14.6368407 48.2492735, 14.6369527 48.2492521, 14.637002 48.2492427, 14.6371271 48.2492235, 14.6373893 48.2491873, 14.6375556 48.249173, 14.6377326 48.2491677, 14.6380866 48.2491721, 14.6381966 48.2491659, 14.638671 48.249119, 14.6388202 48.2491043, 14.6390945 48.2490864, 14.6393184 48.2490788, 14.6400024 48.2490703, 14.6401865 48.2490697)",30,,,,
29107632,,Herrenstraße,tertiary,False,True,30.223000000000003,"LINESTRING (14.6367006 48.2493039, 14.6364074 48.2493716, 14.6363168 48.2493962)",30,,,,
29097499,,Lawogstraße,residential,False,False,167.59700000000004,"LINESTRING (14.6285622 48.2460411, 14.6286855 48.2460167, 14.6288046 48.2460118, 14.6302318 48.2460353, 14.6304786 48.2460385, 14.630545 48.2460525, 14.6306739 48.2461033, 14.6307183 48.2461136, 14.6307927 48.2461154)",,,,,
1071447978,L1424,Naarner Straße,tertiary,False,False,89.256,"LINESTRING (14.6285622 48.2460411, 14.6288766 48.2465354, 14.6289671 48.2466604, 14.629063 48.2467703)",,,,,
53474183,L1424,Naarner Straße,tertiary,False,True,111.55199999999999,"LINESTRING (14.6337746 48.2498727, 14.6337935 48.2497884, 14.6339063 48.2494188, 14.6339747 48.2492299, 14.6340633 48.2490129, 14.6340762 48.2489731, 14.6340923 48.2488929)",,,,,
357557364,,Bahnhofstraße,residential,True,False,41.232,"LINESTRING (14.6337746 48.2498727, 14.6341426 48.2498942, 14.6342106 48.2499066, 14.6342667 48.2499271, 14.6342995 48.2499548)",,,,,
1150793395,L1424,Naarner Straße,tertiary,False,False,31.134999999999998,"LINESTRING (14.6337746 48.2498727, 14.6337752 48.2499573, 14.6337893 48.2500765, 14.6338043 48.2501077, 14.6338311 48.2501469)",,,,,
1150793396,,Bahnhofstraße,residential,False,True,48.552,"LINESTRING (14.6337746 48.2498727, 14.6332194 48.2497998, 14.6331435 48.2497678)",,,,,
29097523,,Dr.-Ehrentraut-Straße,residential,False,False,174.341,"LINESTRING (14.6320832 48.2461362, 14.6325213 48.2458958, 14.6326341 48.2458658, 14.6328328 48.2458541, 14.6338596 48.2459252, 14.634292 48.2459455)",,,,,
1071447980,,Stifterstraße,residential,False,False,257.644,"LINESTRING (14.6320832 48.2461362, 14.6321836 48.2462675, 14.6324741 48.2466234, 14.633091 48.2473508, 14.633315 48.2476245, 14.6335886 48.2479683, 14.6337468 48.248171)",30,,,,
29097498,,Leharstraße,residential,False,False,252.40999999999997,"LINESTRING (14.6337468 48.248171, 14.6337911 48.2481514, 14.6338098 48.248134, 14.6338259 48.2480983, 14.6339272 48.2476339, 14.6341041 48.2467823, 14.6341538 48.2465323, 14.6341699 48.2464742, 14.6341921 48.2464117, 14.6342175 48.2463416, 14.6342377 48.2462617, 14.6342645 48.2461228, 14.634292 48.2459455)",,,,,
1071447980,,Stifterstraße,residential,False,True,257.644,"LINESTRING (14.6337468 48.248171, 14.6335886 48.2479683, 14.633315 48.2476245, 14.633091 48.2473508, 14.6324741 48.2466234, 14.6321836 48.2462675, 14.6320832 48.2461362)",30,,,,
1071463943,,Stifterstraße,residential,False,False,66.472,"LINESTRING (14.6337468 48.248171, 14.633842 48.2482996, 14.6338722 48.2483438, 14.633899 48.2483997, 14.6339433 48.2485229, 14.6339708 48.2485854, 14.634005 48.2486537, 14.63405 48.2487315)",30,,,,
29097461,,Schwemmplatzstraße,residential,False,False,31.633,"LINESTRING (14.6397583 48.2467618, 14.6401357 48.2466285)",,,,,
29097497,,Machlandstraße,residential,False,False,85.97099999999999,"LINESTRING (14.6397583 48.2467618, 14.6395939 48.2465584, 14.6393411 48.246248, 14.6392977 48.246191, 14.6392257 48.2460754)",30,,,,
29097497,,Machlandstraße,residential,False,True,85.95299999999999,"LINESTRING (14.6397583 48.2467618, 14.6398254 48.2468493, 14.639863 48.2468962, 14.640164 48.2472717, 14.6402096 48.2473217, 14.6402559 48.2473592, 14.6403482 48.2474234)",30,,,,
210185165,,Mozartstraße,residential,False,False,107.30199999999999,"LINESTRING (14.6388661 48.247476, 14.6389493 48.2474827, 14.6391092 48.2474928, 14.6396725 48.2475155, 14.6401244 48.2475254, 14.6402327 48.2475249, 14.6402696 48.2475218, 14.6403108 48.2475143)",,,,,
