osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,bridge,tunnel,width
"[991443096, 991443095]",True,Untermarktstraße,tertiary,40,False,27.469,"LINESTRING (11.0767813 47.30697, 11.0766534 47.3070601, 11.0765878 47.3071094, 11.076516 47.3071362)",,,,,,
991443099,True,Tiroler Straße,primary,50,False,15.232,"LINESTRING (11.0767813 47.30697, 11.0767302 47.3069716, 11.0766803 47.3069638, 11.0766364 47.3069478, 11.0766002 47.3069246)",1,B171,roundabout,,,
991443099,True,Tiroler Straße,primary,50,False,14.341000000000001,"LINESTRING (11.0766002 47.3069246, 11.0765744 47.3068959, 11.0765603 47.3068637, 11.0765588 47.3068328, 11.0765681 47.3068026)",1,B171,roundabout,,,
991443099,True,Tiroler Straße,primary,50,False,14.888,"LINESTRING (11.0765681 47.3068026, 11.0765888 47.3067737, 11.0766195 47.3067493, 11.0766617 47.3067294, 11.0767103 47.3067181)",1,B171,roundabout,,,
991443102,True,Anton-Auer-Straße,primary,50,False,22.99,"LINESTRING (11.0765681 47.3068026, 11.0764934 47.3067088, 11.0764237 47.3066205)",,B171,,,,
"[452641762, 452641767, 452641764, 6996127]",False,Anton-Auer-Straße,primary,50,False,252.70699999999997,"LINESTRING (11.0764237 47.3066205, 11.0764037 47.3066094, 11.0763585 47.3065853, 11.0761464 47.3064732, 11.0759417 47.3063624, 11.0756606 47.3061934, 11.0752021 47.3058982, 11.0749993 47.3057742, 11.0748767 47.3056995, 11.0746455 47.3055628, 11.0745833 47.3055307, 11.0744573 47.3054656, 11.0744074 47.3054398, 11.0741911 47.3053312, 11.0740841 47.305278, 11.0738396 47.3051805)","['2', '3']",B171,,,,
991443101,True,Anton-Auer-Straße,primary,50,False,24.181,"LINESTRING (11.0764237 47.3066205, 11.07656 47.3066667, 11.0766583 47.3067001, 11.0767103 47.3067181)",,B171,,,,
26674103,False,Michael-Seeber-Straße,residential,,False,103.149,"LINESTRING (11.0768185 47.3067251, 11.0768394 47.3066927, 11.0768697 47.3066456, 11.0769148 47.3065892, 11.0774774 47.3059126)",,,,,,
991443099,True,Tiroler Straße,primary,50,False,14.458,"LINESTRING (11.0768185 47.3067251, 11.0768672 47.3067447, 11.0769047 47.3067728, 11.0769204 47.3067924, 11.0769337 47.3068225)",1,B171,roundabout,,,
985589459,True,Untermarktstraße,primary,50,False,17.4,"LINESTRING (11.0769337 47.3068225, 11.0770525 47.3068902, 11.0770954 47.3069324)",1,B171,,,,
991443099,True,Tiroler Straße,primary,50,False,14.282,"LINESTRING (11.0769337 47.3068225, 11.0769359 47.3068529, 11.0769269 47.3068839, 11.0769059 47.3069136, 11.0768739 47.3069391)",1,B171,roundabout,,,
23371756,False,Josef-Schöpf-Straße,residential,40,False,156.571,"LINESTRING (11.0738396 47.3051805, 11.0739036 47.3050934, 11.0740985 47.3048303, 11.07434 47.3044295, 11.0744704 47.3040226, 11.0744843 47.3038559)",,,,,,
"[6996127, 452641762, 452641764, 452641767]",False,Anton-Auer-Straße,primary,50,True,252.70700000000002,"LINESTRING (11.0738396 47.3051805, 11.0740841 47.305278, 11.0741911 47.3053312, 11.0744074 47.3054398, 11.0744573 47.3054656, 11.0745833 47.3055307, 11.0746455 47.3055628, 11.0748767 47.3056995, 11.0749993 47.3057742, 11.0752021 47.3058982, 11.0756606 47.3061934, 11.0759417 47.3063624, 11.0761464 47.3064732, 11.0763585 47.3065853, 11.0764037 47.3066094, 11.0764237 47.3066205)","['2', '3']",B171,,,,
"[1200672857, 452641763, 1194993164, 452641765]",False,Anton-Auer-Straße,primary,50,False,113.388,"LINESTRING (11.0738396 47.3051805, 11.0735372 47.3050811, 11.0734175 47.3050418, 11.0732946 47.3050058, 11.0726763 47.3048404, 11.0726301 47.3048253, 11.0725838 47.3048102, 11.0724635 47.3047709)",3,B171,,,,
"[1041226133, 1041226134]",False,Josef-Schöpf-Straße,residential,30,False,179.67499999999998,"LINESTRING (11.0738396 47.3051805, 11.0737814 47.3052841, 11.0734519 47.3058707, 11.0730293 47.3065813, 11.0729767 47.3066865)",,,,,,
6996142,True,Tiroler Straße,primary,50,False,24.240000000000002,"LINESTRING (11.0710283 47.3041269, 11.0709948 47.3040308, 11.0709693 47.3039754, 11.0709469 47.3039161)",1,B171,,,,
362803216,True,Tiroler Straße,primary,50,False,12.32,"LINESTRING (11.0710283 47.3041269, 11.0710644 47.3040993, 11.0711116 47.3040808, 11.071165 47.3040735)",1,B171,roundabout,,,
362803216,True,Tiroler Straße,primary,50,False,20.805,"LINESTRING (11.071165 47.3040735, 11.0712098 47.3040765, 11.0712519 47.3040873, 11.0712883 47.3041053, 11.0713164 47.3041292, 11.0713349 47.3041591, 11.0713404 47.3041914)",1,B171,roundabout,,,
992034231,True,Anton-Auer-Straße,primary,50,False,21.395,"LINESTRING (11.0713404 47.3041914, 11.0714928 47.3043537)",1,B171,,,,
362803216,True,Tiroler Straße,primary,50,False,11.208,"LINESTRING (11.0713404 47.3041914, 11.0713323 47.3042233, 11.0713113 47.3042525, 11.071275 47.3042787)",1,B171,roundabout,,,
362803216,True,Tiroler Straße,primary,50,False,18.4,"LINESTRING (11.0710645 47.3042771, 11.0710249 47.3042456, 11.0710044 47.3042067, 11.0710056 47.3041653, 11.0710283 47.3041269)",1,B171,roundabout,,,
122258813,False,Tiroler Straße,primary,50,False,32.601,"LINESTRING (11.0705197 47.3033094, 11.0703505 47.3030396)",2,B171,,,,
23371537,True,Mieminger Straße,primary_link,50,False,112.21700000000001,"LINESTRING (11.0705197 47.3033094, 11.0703728 47.3031947, 11.0702534 47.3031164, 11.0700896 47.3030261, 11.0699599 47.3029693, 11.0698236 47.3029216, 11.0696738 47.3028812, 11.0693959 47.3028151, 11.0692846 47.3027788)",1,B189,,,,
"[992033536, 44279620, 44279612, 784903735]",False,Tiroler Straße,primary,50,True,74.879,"LINESTRING (11.0705197 47.3033094, 11.0705522 47.30336, 11.0706183 47.303473, 11.0707305 47.3036414, 11.0708517 47.3038121, 11.0709469 47.3039161)","['2', '3']",B171,,yes,,
"[204125133, 79435401, 6996085, 6996089]",True,,motorway_link,,False,677.485,"LINESTRING (11.0672247 47.302362, 11.0670141 47.3022229, 11.0668472 47.3021082, 11.0666343 47.3019876, 11.0663196 47.3018487, 11.0660566 47.3017607, 11.0657912 47.3016942, 11.0652655 47.3015954, 11.0650627 47.3015409, 11.0648809 47.3014666, 11.0648175 47.3014325, 11.0647533 47.3013835, 11.0647096 47.3013425, 11.0646835 47.3013039, 11.0646419 47.301223, 11.0646178 47.3011392, 11.0646167 47.3010538, 11.0646622 47.3009433, 11.0647453 47.3008415, 11.0648543 47.3007639, 11.0649907 47.3007046, 11.0651192 47.3006698, 11.0653291 47.3006508, 11.0656088 47.3006641, 11.0661452 47.3007369, 11.0671953 47.3010127, 11.0691157 47.3015451, 11.06944 47.3016018, 11.0695944 47.3016656)",1,,,yes,,
70944170,False,Saglstraße,tertiary,40,False,38.397,"LINESTRING (11.0761219 47.3084286, 11.0761004 47.3082269, 11.0760784 47.3080846)",2,,,,,
70944170,False,Saglstraße,tertiary,40,True,60.766999999999996,"LINESTRING (11.0761219 47.3084286, 11.0761638 47.3087773, 11.0761746 47.3088842, 11.0761738 47.3089009, 11.0761773 47.3089249, 11.076183 47.3089734)",2,,,,,
500791679,True,,residential,,False,21.582,"LINESTRING (11.0747946 47.3076633, 11.0748421 47.3074719)",,,,,,
30261158,False,Rosengasse,residential,,True,134.95499999999998,"LINESTRING (11.0747946 47.3076633, 11.0742554 47.308266, 11.0742197 47.3083066, 11.073922 47.3087216)",,,,,,
23376690,False,Obermarktstraße,residential,20,False,8.312,"LINESTRING (11.0703695 47.3061128, 11.0702597 47.3061061)",,,,,,
30261039,False,Weißenbachgasse,residential,30,True,41.44,"LINESTRING (11.0698091 47.3058394, 11.0694273 47.3056969, 11.0693276 47.3056597)",,,,,,
155784856,True,Max-Föger-Weg,residential,50,False,138.287,"LINESTRING (11.0698091 47.3058394, 11.0698515 47.3057973, 11.0700339 47.3056141, 11.070445 47.3052085, 11.0708239 47.3049712, 11.0709655 47.304884)",,,,,,
"[452677396, 204125134]",True,,motorway_link,,False,83.874,"LINESTRING (11.0673903 47.3021972, 11.0674111 47.302276, 11.067479 47.3023794, 11.067593 47.3024627, 11.0676981 47.3025125, 11.0678016 47.3025435, 11.0681309 47.3025981, 11.0681447 47.3025984, 11.0682096 47.3025919)",1,,,,,
23371534,False,Marktplatz,residential,40,True,151.229,"LINESTRING (11.0694693 47.3038822, 11.0692085 47.3036621, 11.0690932 47.3035648, 11.0687252 47.3033472, 11.0686729 47.3033133, 11.0686246 47.303282, 11.0685483 47.3032409, 11.0685082 47.3031781, 11.0685038 47.303127, 11.0685073 47.3031137, 11.0685163 47.3030796, 11.0685665 47.3029983, 11.0685877 47.3029595, 11.0685818 47.3029208, 11.0685562 47.3028867, 11.0685215 47.3028527, 11.0684833 47.3028153)",2,,,,,
"[155286066, 23371535]",True,Marktplatz,residential,40,False,60.576,"LINESTRING (11.0694693 47.3038822, 11.0698717 47.3042081, 11.0699922 47.3042956)",,,,yes,,
243430663,False,Untermarktstraße,residential,20,True,11.273,"LINESTRING (11.0715187 47.3064539, 11.0716442 47.306509)",,,,,,
23376689,True,Obermarktstraße,residential,20,False,95.488,"LINESTRING (11.0715187 47.3064539, 11.0713443 47.3063703, 11.0708927 47.3062079, 11.0706332 47.3061607, 11.0705121 47.3061387, 11.0703695 47.3061128)",,,,,,
"[23371754, 1222437674]",True,Bahnhofstraße,residential,"['20', '30']",False,200.26200000000003,"LINESTRING (11.0724635 47.3047709, 11.0723985 47.304881, 11.0717455 47.3060617, 11.0717301 47.3060895, 11.0716678 47.306202, 11.0716282 47.3062602, 11.0715187 47.3064539)",,,,,,
23371755,False,Bahnhofstraße,residential,40,True,286.305,"LINESTRING (11.0724635 47.3047709, 11.0725197 47.3046708, 11.072542 47.3046311, 11.072641 47.3044545, 11.0729035 47.3039956, 11.0731356 47.3035737, 11.0733498 47.3032006, 11.0734433 47.3030378, 11.0738565 47.302376)",,,,,,
202498398,False,Anton-Auer-Straße,primary,50,False,15.343,"LINESTRING (11.0724635 47.3047709, 11.0723413 47.304731, 11.0722988 47.3047171, 11.0722802 47.304711)",3,B171,,,,
"[1200672857, 452641763, 1194993164, 452641765]",False,Anton-Auer-Straße,primary,50,True,113.38799999999999,"LINESTRING (11.0724635 47.3047709, 11.0725838 47.3048102, 11.0726301 47.3048253, 11.0726763 47.3048404, 11.0732946 47.3050058, 11.0734175 47.3050418, 11.0735372 47.3050811, 11.0738396 47.3051805)",3,B171,,,,
23371755,False,Bahnhofstraße,residential,40,False,286.305,"LINESTRING (11.0738565 47.302376, 11.0734433 47.3030378, 11.0733498 47.3032006, 11.0731356 47.3035737, 11.0729035 47.3039956, 11.072641 47.3044545, 11.072542 47.3046311, 11.0725197 47.3046708, 11.0724635 47.3047709)",,,,,,
23371756,False,Josef-Schöpf-Straße,residential,40,True,77.249,"LINESTRING (11.0738565 47.302376, 11.0739625 47.3024085, 11.0742595 47.3027763, 11.074348 47.3029634)",,,,,,
"[35004809, 155286058, 54059724, 155286061, 155286046]",False,Dr.-Klaus-Ebner-Weg,"['residential', 'unclassified']",40,True,553.0020000000001,"LINESTRING (11.0738565 47.302376, 11.0722926 47.3022329, 11.0722789 47.3022321, 11.0715557 47.3021882, 11.0714249 47.3021764, 11.0708886 47.3021202, 11.0707669 47.3021188, 11.0706986 47.3021181, 11.0706836 47.3021179, 11.0706426 47.3021236, 11.0704916 47.3021444, 11.0701406 47.3022198, 11.0694612 47.3022359, 11.0687698 47.3021936, 11.0681622 47.3020056, 11.0679529 47.3019686, 11.0678145 47.3019833, 11.0677209 47.302024, 11.067652 47.3020975, 11.067644 47.3021816, 11.06768 47.3022709, 11.0677342 47.3023294, 11.0678359 47.3023713, 11.0679256 47.3023868, 11.0681561 47.3023929, 11.06824 47.3024067, 11.0682804 47.3024166)",2,,,yes,yes,
