osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,junction,bridge
5124256,Pfarrplatz,residential,30,False,False,79.299,"LINESTRING (16.2368221 48.0101509, 16.2368327 48.0100941, 16.2368457 48.0100241, 16.2369052 48.0097327, 16.2369541 48.0094931, 16.2369659 48.0094443)",,,,,
15003383,Kaiser Franz-Ring,residential,30,False,True,104.34499999999998,"LINESTRING (16.2368221 48.0101509, 16.2359451 48.0100689, 16.2358523 48.0100607, 16.2357888 48.0100551, 16.2354944 48.010029, 16.2354324 48.0100236)",,,,,
1138735238,Kaiser Franz-Ring,residential,30,False,False,78.595,"LINESTRING (16.2368221 48.0101509, 16.2369103 48.0101603, 16.2378656 48.0102616)",,,,,
5124258,Grabengasse,residential,30,True,False,302.341,"LINESTRING (16.2371398 48.0090292, 16.2370761 48.0090117, 16.2361115 48.0087343, 16.2360821 48.0087213, 16.2355229 48.0084738, 16.2353621 48.0084026, 16.2353819 48.0083725, 16.2354657 48.008247, 16.2356868 48.0079092, 16.2361697 48.0071444)",1,,,,
39477804,Annagasse,unclassified,30,False,True,47.989000000000004,"LINESTRING (16.2371398 48.0090292, 16.2369782 48.0093899, 16.2369659 48.0094443)",,,,,
30619014,Am Fischertor,residential,30,True,False,128.388,"LINESTRING (16.2361697 48.0071444, 16.2366243 48.0072585, 16.2370273 48.0073596, 16.2371177 48.0073768, 16.2377391 48.0074941, 16.2378067 48.0075068)",1,,,,
"[23963147, 39487002, 5124259]","['Breyerstraße', 'Josefsplatz', 'Grabengasse']",residential,30,False,False,277.8,"LINESTRING (16.2361697 48.0071444, 16.2356643 48.0068208, 16.2348855 48.0062644, 16.2347245 48.0062087, 16.2340406 48.0061622, 16.2339165 48.0061553, 16.2336786 48.0061643, 16.2335638 48.0061423, 16.2334761 48.0061015, 16.2333076 48.0059211, 16.2332461 48.0058525)",,,,,
5124261,Erzherzog Rainer-Ring,residential,30,False,False,104.35199999999999,"LINESTRING (16.232627 48.0065014, 16.2326302 48.00654, 16.2326166 48.0065933, 16.2325949 48.006639, 16.2324912 48.0067995, 16.2320715 48.0072876, 16.2320292 48.0073403)",2,,,,
5261957,Josefsplatz,residential,30,True,False,31.045,"LINESTRING (16.232627 48.0065014, 16.2325256 48.0063882, 16.2324128 48.0062618)",1,,,,
425391555,Europaplatz,residential,30,False,False,22.236,"LINESTRING (16.2316833 48.0096793, 16.2316651 48.0098789)",,,,,
5124255,Erzherzog Rainer-Ring,residential,30,False,True,65.446,"LINESTRING (16.2316833 48.0096793, 16.2316786 48.0091359, 16.2316821 48.0090908)",,,,,
616649356,Kaiser Franz-Ring,residential,30,False,False,151.21,"LINESTRING (16.2316833 48.0096793, 16.2317913 48.0096892, 16.2323189 48.0097306, 16.2334257 48.0098434, 16.2335828 48.0098582, 16.2336158 48.0098613, 16.2336959 48.0098689)",,,,,
5899588,Hildegardgasse,residential,30,False,False,84.899,"LINESTRING (16.2404197 48.004771, 16.2403763 48.0048333, 16.2399375 48.005463)",,,,,
"[241915633, 30496630]",Conrad von Hötzendorf-Platz,residential,50,True,False,47.577,"LINESTRING (16.2404197 48.004771, 16.2403401 48.0047775, 16.2402086 48.0047498, 16.2400601 48.004698, 16.2399631 48.0046297, 16.239923 48.0045589)",1,,,,
39782465,Conrad von Hötzendorf-Platz,tertiary,50,True,False,11.467,"LINESTRING (16.2397814 48.0040124, 16.2399348 48.0040024)",2,,,,
425939158,,tertiary,50,True,False,13.1,"LINESTRING (16.231989 48.0055314, 16.2319955 48.0055605, 16.2319867 48.0055894, 16.2319639 48.0056146, 16.2319297 48.0056331)",1,L4009,6,roundabout,
