osmid,name,highway,maxspeed,width,oneway,reversed,length,tunnel,geometry,bridge,lanes,ref,access
"[27612070, 151528570, 1165008841, 161432791, 19127160, 19127162]",Fürstenberggasse,residential,30,"['5.3', '6.1', '4.5', '8.4']",False,True,432.66400000000004,yes,"LINESTRING (16.1765482 48.2066301, 16.1766406 48.2065825, 16.1767052 48.2065122, 16.1767411 48.2064779, 16.1767491 48.2064489, 16.1767555 48.2064215, 16.1767273 48.2063595, 16.1766994 48.2063151, 16.1766495 48.2062444, 16.1765426 48.2061855, 16.176466 48.2061574, 16.1763399 48.2061106, 16.1755424 48.205765, 16.1749386 48.2054084, 16.174774 48.2052519, 16.1747239 48.2052014, 16.1746891 48.2051579, 16.1746709 48.2051024, 16.1746593 48.2050491, 16.1746209 48.2048902, 16.1745805 48.204737, 16.1744989 48.2044271, 16.1741693 48.2038715, 16.1740878 48.2038136, 16.1736784 48.203683)",,,,
789965904,Pummergasse,residential,30,7,False,False,46.512,,"LINESTRING (16.1765482 48.2066301, 16.1765927 48.2066492, 16.1770545 48.2068772)",,,,
4582399,Pummergasse,residential,30,3.2,False,False,48.736999999999995,,"LINESTRING (16.1770545 48.2068772, 16.1771454 48.2069459, 16.1773624 48.2071105, 16.1773734 48.2071313, 16.1773816 48.2072367)",,,,
"[161432793, 23626789, 27612068, 19127157]",Wiener Straße,residential,30,,False,False,43.21,yes,"LINESTRING (16.1770545 48.2068772, 16.1771322 48.2068178, 16.1772155 48.206747, 16.1772561 48.2067153, 16.1773199 48.206702, 16.1774025 48.2067001, 16.1774501 48.2067108, 16.177507 48.2067351)",,,,
789965904,Pummergasse,residential,30,7,False,True,46.512,,"LINESTRING (16.1770545 48.2068772, 16.1765927 48.2066492, 16.1765482 48.2066301)",,,,
"[26299505, 69322409]",Tullnerbachstraße,primary,50,,False,True,168.494,,"LINESTRING (16.1738343 48.2032835, 16.1742513 48.2035952, 16.174555 48.2038922, 16.174712 48.204114, 16.1748273 48.2042852, 16.1750287 48.2045595)",yes,2,B44,
40263541,Schöffelgasse,residential,30,,False,False,46.132999999999996,,"LINESTRING (16.1738343 48.2032835, 16.1738147 48.2033427, 16.1737414 48.2035635, 16.1737243 48.203625, 16.1736784 48.203683)",,,,
21286056,Hauptplatz,living_street,20,5.5,False,False,41.986999999999995,,"LINESTRING (16.1757395 48.2078018, 16.1757558 48.2077716, 16.1758322 48.2076297, 16.1759296 48.2074461)",,,,
"[285608354, 40263530, 268181628, 151528574]",Kaiser Josef-Straße,secondary,30,,False,False,58.44,,"LINESTRING (16.1757395 48.2078018, 16.1757637 48.2078422, 16.1757629 48.2078846, 16.1757557 48.2079699, 16.1757513 48.2080647, 16.1757709 48.2081248, 16.1758376 48.2082026, 16.1759423 48.2082854)",,2,,
407032140,Kaiser Josef-Straße,secondary,30,,False,True,57.093,,"LINESTRING (16.1757395 48.2078018, 16.1756012 48.2077449, 16.1750685 48.2075497)",,,,
"[148758481, 807366170, 408844167]",Linzer Straße,primary,50,,False,False,122.333,,"LINESTRING (16.1759423 48.2082854, 16.1759916 48.2082531, 16.1760544 48.2082151, 16.1761502 48.2081673, 16.1762309 48.2081359, 16.1763748 48.2080911, 16.1765179 48.2080656, 16.1767082 48.2080523, 16.1771492 48.2080214, 16.1772932 48.2080099, 16.1774867 48.2079853)",,3,B1,
"[285608354, 40263530, 268181628, 151528574]",Kaiser Josef-Straße,secondary,30,,False,True,58.44,,"LINESTRING (16.1759423 48.2082854, 16.1758376 48.2082026, 16.1757709 48.2081248, 16.1757513 48.2080647, 16.1757557 48.2079699, 16.1757629 48.2078846, 16.1757637 48.2078422, 16.1757395 48.2078018)",,2,,
"[148758483, 881285812]",Linzer Straße,primary,50,,False,True,130.78,,"LINESTRING (16.1759423 48.2082854, 16.1758824 48.2083411, 16.1758508 48.2083832, 16.1758047 48.2084465, 16.1757237 48.2086614, 16.1756481 48.2088246, 16.1756047 48.2089035, 16.1755465 48.2089892, 16.1754037 48.2091816, 16.1752476 48.2093583)",,"['2', '3']",B1,
15805104,Wintergasse,tertiary,30,,False,False,35.075,,"LINESTRING (16.1778093 48.209829, 16.178205 48.2098135, 16.1782815 48.2098079)",,,L2122,
15805129,Herrengasse,tertiary,30,,False,True,165.23999999999998,,"LINESTRING (16.1778093 48.209829, 16.1776852 48.2090399, 16.1775827 48.2084974, 16.1775556 48.2083527)",,,L2122,
23325390,Hardt Stremayr-Gasse,residential,30,,False,False,79.801,,"LINESTRING (16.1778093 48.209829, 16.1778139 48.2098834, 16.1778058 48.20992, 16.1777903 48.2099555, 16.1777716 48.2099871, 16.1777415 48.2100242, 16.1777046 48.2100554, 16.1776711 48.2100782, 16.1776248 48.2101091, 16.1775128 48.2101676, 16.177115 48.2103142)",,,,
"[27612081, 484756106, 23567020]","['Schöffelgasse', 'Pummergasse']",residential,30,,True,False,328.82699999999994,,"LINESTRING (16.1709111 48.2050485, 16.1724203 48.2043035, 16.1733874 48.2050349, 16.1737925 48.2052846, 16.1741935 48.2055301)",,,,
