osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,bridge
89949949,2,B171,Jubiläumstraße,primary,50,False,False,62.076,"LINESTRING (10.5695909 47.1454532, 10.5695469 47.1453934, 10.5694683 47.1452653, 10.5693721 47.1450636, 10.5693132 47.1449289)",,,
229940100,2,,,unclassified,,False,False,38.592999999999996,"LINESTRING (10.5695909 47.1454532, 10.5695956 47.1453457, 10.5695989 47.1452702, 10.569624 47.1451071)",,,
"[229683266, 229683271, 453607722, 453607723, 301801743, 301801744, 230118871]","['2', '3']",B171,Bahnhofstraße,primary,50,False,True,231.508,"LINESTRING (10.5695909 47.1454532, 10.5696066 47.1454732, 10.5698147 47.1456657, 10.5699581 47.1457609, 10.5700488 47.145809, 10.5702239 47.1459105, 10.5704555 47.1460286, 10.5707413 47.1461678, 10.5711206 47.1463264, 10.5712713 47.1463824, 10.5714475 47.146448, 10.5716147 47.1465008, 10.5718243 47.1465671, 10.5718285 47.1465683, 10.5718675 47.1465806, 10.5720569 47.146641)",,,
26790789,,,,unclassified,,False,False,33.222,"LINESTRING (10.5693132 47.1449289, 10.5693906 47.1449422, 10.5694477 47.1449791, 10.569507 47.1450737, 10.5695284 47.1450877, 10.569573 47.1450962, 10.569624 47.1451071)",,,
89949949,2,B171,Jubiläumstraße,primary,50,False,True,62.076,"LINESTRING (10.5693132 47.1449289, 10.5693721 47.1450636, 10.5694683 47.1452653, 10.5695469 47.1453934, 10.5695909 47.1454532)",,,
"[301801745, 229940102]",2,B171,Jubiläumstraße,primary,50,False,False,451.50100000000003,"LINESTRING (10.5693132 47.1449289, 10.5692062 47.1447185, 10.5691239 47.1445787, 10.569097 47.1445437, 10.5689113 47.1443161, 10.5680836 47.1433988, 10.567959 47.1432635, 10.5677275 47.1430062, 10.5670983 47.1423213, 10.5668569 47.142084, 10.5667014 47.1419496, 10.5665837 47.1418676, 10.5664746 47.1418037, 10.5663698 47.1417549, 10.5660802 47.1416451, 10.5660091 47.1416127)",,,
29797369,2,,Neues Straßl,residential,30,False,False,243.44100000000003,"LINESTRING (10.5695229 47.1446248, 10.5694931 47.14445, 10.5694245 47.1443188, 10.5691627 47.1438254, 10.5689805 47.1435299, 10.5685662 47.1429174, 10.5684717 47.1427634, 10.5683909 47.1426692, 10.5683782 47.1426276, 10.5683905 47.1425921)",,,
229683274,2,,Malserstraße,residential,30,False,True,404.3710000000001,"LINESTRING (10.5695229 47.1446248, 10.5694149 47.144564, 10.5693176 47.1444401, 10.5692883 47.1443386, 10.5692324 47.1441891, 10.5688793 47.1437542, 10.5686547 47.1434681, 10.5683181 47.143188, 10.5680507 47.1428777, 10.5678626 47.1426439, 10.5675945 47.1422827, 10.5673901 47.141928, 10.5673058 47.1417817, 10.5672347 47.1416074, 10.5671651 47.1415439, 10.5670818 47.1415, 10.5670043 47.1414724)",,,
"[26790796, 1253195260]",2,,,unclassified,30,False,True,57.737,"LINESTRING (10.5695229 47.1446248, 10.5696042 47.1447145, 10.5696698 47.1447868, 10.5696983 47.1448524, 10.5696663 47.1450141, 10.5696403 47.1450712, 10.569624 47.1451071)",,,
26790789,,,,unclassified,,False,True,33.222,"LINESTRING (10.569624 47.1451071, 10.569573 47.1450962, 10.5695284 47.1450877, 10.569507 47.1450737, 10.5694477 47.1449791, 10.5693906 47.1449422, 10.5693132 47.1449289)",,,
"[1253195260, 26790796]",2,,,unclassified,30,False,False,57.736999999999995,"LINESTRING (10.569624 47.1451071, 10.5696403 47.1450712, 10.5696663 47.1450141, 10.5696983 47.1448524, 10.5696698 47.1447868, 10.5696042 47.1447145, 10.5695229 47.1446248)",,,
229940100,2,,,unclassified,,False,True,38.593,"LINESTRING (10.569624 47.1451071, 10.5695989 47.1452702, 10.5695956 47.1453457, 10.5695909 47.1454532)",,,
36892133,1,,Malserstraße,residential,30,True,False,149.114,"LINESTRING (10.5670043 47.1414724, 10.5670527 47.1414247, 10.5670878 47.141364, 10.567083 47.1412876, 10.5665488 47.1404469, 10.5663841 47.1403479, 10.5662742 47.1403343)",,,
229683274,2,,Malserstraße,residential,30,False,False,404.37100000000004,"LINESTRING (10.5670043 47.1414724, 10.5670818 47.1415, 10.5671651 47.1415439, 10.5672347 47.1416074, 10.5673058 47.1417817, 10.5673901 47.141928, 10.5675945 47.1422827, 10.5678626 47.1426439, 10.5680507 47.1428777, 10.5683181 47.143188, 10.5686547 47.1434681, 10.5688793 47.1437542, 10.5692324 47.1441891, 10.5692883 47.1443386, 10.5693176 47.1444401, 10.5694149 47.144564, 10.5695229 47.1446248)",,,
"[26790792, 301127794, 301127795, 301127796, 301127797, 301127798]",2,,Malserstraße,residential,30,False,True,104.662,"LINESTRING (10.5670043 47.1414724, 10.5669334 47.1414603, 10.5668554 47.1414525, 10.566769 47.141423, 10.5667093 47.1413902, 10.5665926 47.1412738, 10.5664585 47.14114, 10.566329 47.1410108, 10.5662156 47.1408977, 10.5661188 47.1408385, 10.5660802 47.1408149)",,,
25609806,,,Fischerstraße,residential,30,False,False,233.63,"LINESTRING (10.5683905 47.1425921, 10.5684705 47.1425979, 10.568707 47.1429057, 10.568859 47.1431036, 10.568882 47.1431335, 10.5689036 47.1431617, 10.5691445 47.1434753, 10.5691888 47.143533, 10.5695306 47.143978, 10.5695454 47.1439985, 10.5695981 47.1440698, 10.5696497 47.1441397, 10.5698532 47.1444153)",,,
29797369,2,,Neues Straßl,residential,30,False,True,243.441,"LINESTRING (10.5683905 47.1425921, 10.5683782 47.1426276, 10.5683909 47.1426692, 10.5684717 47.1427634, 10.5685662 47.1429174, 10.5689805 47.1435299, 10.5691627 47.1438254, 10.5694245 47.1443188, 10.5694931 47.14445, 10.5695229 47.1446248)",,,
230337888,,,Fischerstraße,residential,30,False,False,410.63899999999995,"LINESTRING (10.5683905 47.1425921, 10.5683996 47.1425284, 10.5681601 47.1420647, 10.5680846 47.1419223, 10.5679896 47.1416936, 10.567893 47.1414608, 10.567826 47.1412995, 10.5678025 47.1412429, 10.5677923 47.1412184, 10.5677322 47.1410737, 10.5675666 47.1406747, 10.5675526 47.1406411, 10.5674332 47.1402847, 10.567412 47.1401503, 10.5673722 47.1399101, 10.5672404 47.1391886, 10.5672468 47.1391068, 10.5672534 47.1390035)",,,
104037143,,,Marktplatz,residential,30,False,False,43.103,"LINESTRING (10.5672534 47.1390035, 10.5672586 47.1389382, 10.5672574 47.1388328, 10.5672965 47.1386176)",,,
104037148,,,Marktplatz,residential,30,False,True,32.72,"LINESTRING (10.5672534 47.1390035, 10.5674623 47.1389728, 10.5676803 47.1389595)",,,
230337888,,,Fischerstraße,residential,30,False,True,410.6389999999999,"LINESTRING (10.5672534 47.1390035, 10.5672468 47.1391068, 10.5672404 47.1391886, 10.5673722 47.1399101, 10.567412 47.1401503, 10.5674332 47.1402847, 10.5675526 47.1406411, 10.5675666 47.1406747, 10.5677322 47.1410737, 10.5677923 47.1412184, 10.5678025 47.1412429, 10.567826 47.1412995, 10.567893 47.1414608, 10.5679896 47.1416936, 10.5680846 47.1419223, 10.5681601 47.1420647, 10.5683996 47.1425284, 10.5683905 47.1425921)",,,
