osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,access
536409828,4,B70c,Viktringer Ring,primary,50,False,True,11.459,"LINESTRING (14.3036721 46.6207344, 14.3038221 46.6207318)",,,
166474391,2,B91,Rosentaler Straße,primary,50,True,False,101.77499999999999,"LINESTRING (14.3036721 46.6207344, 14.30368 46.6205799, 14.3036766 46.6203494, 14.3036797 46.6200891, 14.3036523 46.6198597, 14.3036415 46.6198207)",,,
529020128,2,,August-Jaksch-Straße,primary,50,True,False,28.698999999999998,"LINESTRING (14.3036721 46.6207344, 14.3036175 46.6207799, 14.303525 46.6207954, 14.3033303 46.6207934)",,,
"[4848347, 655177918]","['4', '5']",,Arnulfplatz,residential,30,False,True,116.034,"LINESTRING (14.3107326 46.6215386, 14.3107509 46.6214806, 14.3107832 46.6214163, 14.3109222 46.6211392, 14.3110295 46.6209218, 14.3111603 46.6206509, 14.3112112 46.6205486)",,,
4848350,2,,Mießtaler Straße,residential,30,True,False,155.20100000000002,"LINESTRING (14.3107326 46.6215386, 14.3108728 46.6215393, 14.311119 46.6215399, 14.3115296 46.6215408, 14.312692 46.6215589, 14.3127645 46.6215589)",,,
"[655177920, 655177921, 24311318, 655177919]","['2', '3']",,Paulitschgasse,residential,30,False,False,135.71600000000004,"LINESTRING (14.3107326 46.6215386, 14.3105878 46.6215379, 14.3105413 46.621538, 14.3103969 46.6215348, 14.3101056 46.6215317, 14.3097474 46.6215279, 14.3094085 46.6215209, 14.3092514 46.6215186, 14.3091868 46.6215177, 14.3090994 46.6215164, 14.3089564 46.6215245)",,,
"[460370211, 60981323]","['4', '5']",B70c,Völkermarkter Ring,primary,50,False,False,107.52699999999999,"LINESTRING (14.313747 46.6225078, 14.3137961 46.6223303, 14.3138655 46.6221625, 14.3139447 46.6219683, 14.3140391 46.6217292, 14.314059 46.6216788, 14.3141022 46.6215726)",,,
"[460370212, 44729631]",4,B70c,Völkermarkter Ring,primary,50,False,True,71.214,"LINESTRING (14.313747 46.6225078, 14.3137281 46.622806, 14.3137195 46.6229956, 14.3137171 46.6230472, 14.3137134 46.6231478)",,,
"[44729634, 457211899, 852070988]",2,B70,"['Feldmarschall-Conrad-Platz', 'Völkermarkter Ring']",primary,50,True,False,153.394,"LINESTRING (14.3136827 46.6242498, 14.3136907 46.6244969, 14.3136855 46.6246133, 14.3137014 46.6246948, 14.3137121 46.6247401, 14.3137626 46.6248696, 14.3138247 46.6250299, 14.3138641 46.6251526, 14.3138789 46.6251973, 14.3138925 46.6252827, 14.3138925 46.6253407, 14.3138833 46.6253984, 14.3138481 46.6255021, 14.3137869 46.6256015)",,,
879895542,4,B70,Völkermarkter Ring,primary,50,False,True,25.378999999999998,"LINESTRING (14.3136827 46.6242498, 14.3136846 46.6242336, 14.3136935 46.624156, 14.3137055 46.6240221)",,,
"[60197471, 60979999]",,,Getreidegasse,residential,30,False,True,169.032,"LINESTRING (14.3115213 46.6279022, 14.311519 46.6277806, 14.3115199 46.6277357, 14.3115297 46.6272489, 14.311538 46.6268171, 14.3115515 46.6267613, 14.3116247 46.6264575, 14.3116415 46.626388)",,,
"[927094914, 460365843, 60980020, 460365847]","['4', '5']",B70,St. Veiter Ring,primary,50,False,True,190.418,"LINESTRING (14.3115213 46.6279022, 14.3114379 46.6279036, 14.3113246 46.6279053, 14.311185 46.6279074, 14.310945 46.6279111, 14.310878 46.6279122, 14.3107107 46.6279148, 14.3103787 46.6279199, 14.3101752 46.6279231, 14.3097741 46.6279293, 14.3093982 46.6279351, 14.3092403 46.6279376, 14.3090283 46.6279409)",,,
"[1091683298, 460365842]","['1', '2']",B70,St. Veiter Ring,primary,50,True,False,65.87700000000001,"LINESTRING (14.3115213 46.6279022, 14.3116432 46.6278527, 14.3117549 46.6278428, 14.3120179 46.6278372, 14.3123626 46.6278228)",,,
166474393,5,B83,St. Veiter Ring,primary,50,False,True,124.75800000000001,"LINESTRING (14.3035285 46.6280025, 14.3032431 46.6280098, 14.3031039 46.6280155, 14.3022273 46.6280773, 14.3020883 46.6280798, 14.3020059 46.6280739, 14.3019085 46.6280458)",,,
"[4848344, 460365858]","['4', '5']",B70,St. Veiter Ring,primary,50,False,False,107.328,"LINESTRING (14.3035285 46.6280025, 14.3037246 46.6279948, 14.3042838 46.6279733, 14.3049326 46.6279615)",,,
"[460370212, 44729631]",4,B70c,Völkermarkter Ring,primary,50,False,False,71.214,"LINESTRING (14.3137134 46.6231478, 14.3137171 46.6230472, 14.3137195 46.6229956, 14.3137281 46.622806, 14.313747 46.6225078)",,,
"[72544166, 460370214]","['4', '5']",B70,Völkermarkter Ring,primary,50,False,False,97.224,"LINESTRING (14.3137134 46.6231478, 14.3137134 46.6232344, 14.313712 46.6232867, 14.3137067 46.6234805, 14.3137029 46.6236987, 14.3137041 46.6238458, 14.3137055 46.6240221)",,,
"[4848345, 460365849]","['2', '3']",,St. Veiter Straße,residential,50,False,False,115.729,"LINESTRING (14.3090283 46.6279409, 14.308877 46.6277961, 14.3088583 46.6277708, 14.3086799 46.6275285, 14.3083569 46.6270114)",,,
"[927094914, 460365843, 60980020, 460365847]","['4', '5']",B70,St. Veiter Ring,primary,50,False,False,190.41799999999998,"LINESTRING (14.3090283 46.6279409, 14.3092403 46.6279376, 14.3093982 46.6279351, 14.3097741 46.6279293, 14.3101752 46.6279231, 14.3103787 46.6279199, 14.3107107 46.6279148, 14.310878 46.6279122, 14.310945 46.6279111, 14.311185 46.6279074, 14.3113246 46.6279053, 14.3114379 46.6279036, 14.3115213 46.6279022)",,,
"[460365850, 60980012]","['4', '5']",B70,St. Veiter Ring,primary,50,False,True,70.855,"LINESTRING (14.3090283 46.6279409, 14.3088299 46.6279408, 14.3086726 46.6279378, 14.3083621 46.6279319, 14.3081007 46.6279265)",,,
157933952,3,B70c,Viktringer Ring,primary,50,False,True,30.629,"LINESTRING (14.3070293 46.6206212, 14.3074301 46.6206115)",,,
65490284,3,B70c,Viktringer Ring,primary,50,False,False,52.010000000000005,"LINESTRING (14.3070293 46.6206212, 14.3069085 46.6206241, 14.3068455 46.6206256, 14.3063487 46.6206376)",,,
349224886,,,10.-Oktober-Straße,residential,,False,False,2.913,"LINESTRING (14.3074251 46.6215992, 14.3074252 46.621573)",,,
"[61452763, 24311324]",,,Paulitschgasse,residential,,True,False,93.843,"LINESTRING (14.3074251 46.6215992, 14.307528 46.6215984, 14.3079299 46.6216031, 14.3085695 46.6215983, 14.3086537 46.6215956)",,,
349224884,,,10.-Oktober-Straße,residential,,False,True,100.454,"LINESTRING (14.3074251 46.6215992, 14.3074247 46.6216608, 14.3074242 46.621754, 14.3074227 46.6220351, 14.3074206 46.6224379, 14.3074203 46.6225026)",,,
157933954,,,10.-Oktober-Straße,residential,20,False,True,62.346999999999994,"LINESTRING (14.3074172 46.6231099, 14.3074168 46.6231778, 14.3074146 46.6236083, 14.3074143 46.6236706)",,,
"[159208128, 1218839844]",,,8.-Mai-Straße,residential,,True,False,94.27100000000002,"LINESTRING (14.3074172 46.6231099, 14.307504 46.6231098, 14.3085196 46.6231059, 14.3085951 46.6231056, 14.3086516 46.6231053)",5.5,,
349224884,,,10.-Oktober-Straße,residential,,False,False,67.529,"LINESTRING (14.3074172 46.6231099, 14.3074176 46.6230267, 14.3074192 46.6227115, 14.3074199 46.6225855, 14.3074203 46.6225026)",,,
"[60981324, 460354709]","['2', '3']",B70c,Viktringer Ring,primary,50,False,True,114.705,"LINESTRING (14.3112112 46.6205486, 14.3113609 46.6205451, 14.3119972 46.6205385, 14.3127128 46.6205276)",,,
"[460354713, 157933949]","['2', '3']",B70c,Viktringer Ring,primary,50,False,False,234.989,"LINESTRING (14.3112112 46.6205486, 14.3110673 46.6205521, 14.3106301 46.6205599, 14.3102498 46.6205665, 14.3097062 46.6205805, 14.3090106 46.6205974, 14.3083148 46.6206121, 14.3081358 46.6206108)",,,
"[4848347, 655177918]","['4', '5']",,Arnulfplatz,residential,30,False,False,116.03400000000002,"LINESTRING (14.3112112 46.6205486, 14.3111603 46.6206509, 14.3110295 46.6209218, 14.3109222 46.6211392, 14.3107832 46.6214163, 14.3107509 46.6214806, 14.3107326 46.6215386)",,,
"[60835265, 60798383]",,,8.-Mai-Straße,residential,,True,False,99.10399999999998,"LINESTRING (14.3107358 46.6230994, 14.3108087 46.6230996, 14.3115753 46.6231022, 14.3120335 46.6231038)",5.5,,
72594087,,,Bahnhofstraße,residential,30,True,False,67.698,"LINESTRING (14.3107358 46.6230994, 14.3107365 46.6230383, 14.3107418 46.6225361, 14.3107423 46.6224906)",,,
26792604,1,,Lidmanskygasse,residential,30,True,False,76.789,"LINESTRING (14.3107423 46.6224906, 14.3106672 46.6224907, 14.3101898 46.6224917, 14.3097368 46.6224926)",,,
"[655177922, 515066387]","['1', '2']",,Bahnhofstraße,residential,30,True,False,105.87200000000001,"LINESTRING (14.3107423 46.6224906, 14.3107427 46.6224327, 14.3107463 46.6219366, 14.3107451 46.6218576, 14.3107374 46.6216347, 14.3107326 46.6215386)",,,
"[60792208, 460365863]",5,B83,Villacher Ring,primary,50,False,True,129.33300000000003,"LINESTRING (14.3019085 46.6280458, 14.3018425 46.6279874, 14.3018128 46.6279223, 14.3018113 46.6278518, 14.3018382 46.6277561, 14.3021471 46.6270891, 14.3022181 46.626944)",,,
166474393,5,B83,St. Veiter Ring,primary,50,False,False,124.75800000000001,"LINESTRING (14.3019085 46.6280458, 14.3020059 46.6280739, 14.3020883 46.6280798, 14.3022273 46.6280773, 14.3031039 46.6280155, 14.3032431 46.6280098, 14.3035285 46.6280025)",,,
853333788,,,Koschatstraße,secondary,50,False,True,7.441,"LINESTRING (14.3025915 46.6258886, 14.302496 46.6258753)",,,
"[460365864, 61193092]","['4', '5']",B83,Villacher Ring,primary,50,False,False,120.98599999999999,"LINESTRING (14.3025915 46.6258886, 14.3025338 46.6261635, 14.3024793 46.6263176, 14.3024264 46.6264599, 14.302294 46.6267823, 14.3022181 46.626944)",,,
"[529020112, 460365865, 43371304, 529020111]","['4', '5']",B83,Villacher Ring,primary,50,False,True,222.58099999999996,"LINESTRING (14.3025915 46.6258886, 14.3026169 46.6257839, 14.3026885 46.625402, 14.3026986 46.6253098, 14.3026977 46.6252541, 14.302698 46.6251921, 14.3026989 46.6249752, 14.3026926 46.6246976, 14.3026958 46.6245085, 14.3026976 46.6243335, 14.3026978 46.6243141, 14.302701 46.6242496, 14.3027074 46.6241201, 14.3027081 46.6240713, 14.3027142 46.6239771, 14.3027331 46.623893)",,,
