osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,width,lanes
24876194,Postgasse,residential,30,False,True,102.828,,"LINESTRING (14.1471235 46.6352869, 14.146648 46.6344217)",,,
115591019,Hauptstraße,primary,50,False,False,79.72,B83,"LINESTRING (14.1471235 46.6352869, 14.1465338 46.6353313, 14.1462868 46.6353499, 14.1460856 46.6353651)",,,
115591019,Hauptstraße,primary,50,False,True,100.81899999999999,B83,"LINESTRING (14.1471235 46.6352869, 14.1475953 46.6352194, 14.1479201 46.6351564, 14.1480245 46.6351369, 14.1481543 46.635111, 14.1484025 46.6350635)",,,
333369219,Hauptstraße,primary,50,False,True,63.872,B83,"LINESTRING (14.1416703 46.6360448, 14.1424828 46.635908)",,,
22873112,Moosburgerstraße,secondary,,False,False,108.20100000000001,,"LINESTRING (14.1416703 46.6360448, 14.1416793 46.6360761, 14.1416962 46.6361354, 14.141836 46.6366241, 14.1418539 46.6366921, 14.1418636 46.6367325, 14.1418742 46.636775, 14.1419189 46.6369309, 14.1419338 46.6370008)",,,
"[711029885, 463722486]",Hauptstraße,primary,50,False,False,190.431,B83,"LINESTRING (14.1416703 46.6360448, 14.1415681 46.6360649, 14.1414648 46.6360852, 14.14122 46.6361333, 14.1410701 46.6361615, 14.1409031 46.6361917, 14.1405514 46.6362553, 14.1404262 46.636272, 14.1398423 46.6363497, 14.1392377 46.6364134)",,,
"[24876190, 24876182]","['Johannaweg', 'Annastraße']",residential,30,False,False,155.849,,"LINESTRING (14.1484025 46.6350635, 14.1483827 46.6349877, 14.1483757 46.6349608, 14.1483698 46.6349268, 14.1483613 46.6348782, 14.1483327 46.6347201, 14.1482264 46.6341997, 14.1474702 46.6343021)",,,
115591019,Hauptstraße,primary,50,False,False,100.81899999999999,B83,"LINESTRING (14.1484025 46.6350635, 14.1481543 46.635111, 14.1480245 46.6351369, 14.1479201 46.6351564, 14.1475953 46.6352194, 14.1471235 46.6352869)",,,
24876185,Werzer Promenade,residential,,False,True,65.356,,"LINESTRING (14.1399181 46.6355682, 14.1399683 46.635773, 14.1399864 46.6358075, 14.1400072 46.635833, 14.140043 46.6358556, 14.1400835 46.6358759, 14.1404024 46.6359888)",,,
"[1203973777, 38001031]",Werzerpromenade,residential,,False,False,270.192,,"LINESTRING (14.1399181 46.6355682, 14.1398055 46.6350414, 14.1397827 46.6349389, 14.1396768 46.6344618, 14.1396479 46.63432, 14.1395462 46.6338209, 14.1395179 46.6337308, 14.1386916 46.633802)",,,
"[1205357680, 38000994]","['Koschatweg', 'Annastraße']",residential,30,False,False,116.655,,"LINESTRING (14.1399181 46.6355682, 14.1398143 46.6356127, 14.1397345 46.6356364, 14.1395572 46.6356763, 14.1392829 46.6357295, 14.1391518 46.635755, 14.1391042 46.6357737, 14.1390896 46.6357896, 14.1390742 46.6358063, 14.1390645 46.6358401, 14.1390644 46.6358681, 14.139146 46.6361726, 14.1391708 46.6362085)",,,
"[1205357680, 1205357681, 124123877]",Annastraße,residential,30,False,True,46.340999999999994,,"LINESTRING (14.1399181 46.6355682, 14.1401273 46.6355015, 14.1402172 46.6354806, 14.1403396 46.6354565, 14.1404024 46.6354442, 14.1404881 46.6354284)",yes,,
37885646,Elisabethstraße,residential,30,False,False,94.386,,"LINESTRING (14.1460856 46.6353651, 14.1460763 46.6353222, 14.1459038 46.6345255)",,,
115591019,Hauptstraße,primary,50,False,True,79.72,B83,"LINESTRING (14.1460856 46.6353651, 14.1462868 46.6353499, 14.1465338 46.6353313, 14.1471235 46.6352869)",,,
333369219,Hauptstraße,primary,50,False,False,112.368,B83,"LINESTRING (14.1460856 46.6353651, 14.1457453 46.6353996, 14.145542 46.6354202, 14.1452214 46.6354598, 14.1451318 46.6354739, 14.1446399 46.6355511)",,,
"[333369218, 702791843]",Bahnhofplatz,residential,30,False,True,55.054,,"LINESTRING (14.1460856 46.6353651, 14.1460957 46.6353988, 14.1462029 46.6357368, 14.1462197 46.635851)",,,
24876195,Alfredweg,residential,30,False,False,110.016,,"LINESTRING (14.1455745 46.6331418, 14.1452025 46.6331576, 14.1441355 46.6331235)",,3.5,
37885646,Elisabethstraße,residential,30,False,False,81.36999999999999,,"LINESTRING (14.1455745 46.6331418, 14.1455211 46.6330178, 14.1454948 46.6329682, 14.1454648 46.6329255, 14.1453817 46.6328298, 14.1453755 46.6328057, 14.1453836 46.632782, 14.1454178 46.632754, 14.1454704 46.6327384, 14.1455734 46.6327352, 14.145715 46.6327307, 14.1457905 46.6327239, 14.145853 46.6327081)",,,
37885646,Elisabethstraße,residential,30,False,True,64.95,,"LINESTRING (14.1455745 46.6331418, 14.1455904 46.633207, 14.1457149 46.6337179)",,,
492644619,Wahlisstraße,residential,30,False,True,42.074,,"LINESTRING (14.1462025 46.6324361, 14.1461905 46.6324922, 14.1461689 46.6325291, 14.1461381 46.6325547, 14.1460791 46.6325864, 14.145853 46.6327081)",,,
24876190,Annastraße,residential,30,False,False,116.815,,"LINESTRING (14.1459038 46.6345255, 14.1444 46.6347189)",,,
24876190,Annastraße,residential,30,False,True,57.982,,"LINESTRING (14.1459038 46.6345255, 14.146648 46.6344217)",,,
37885646,Elisabethstraße,residential,30,False,False,90.952,,"LINESTRING (14.1459038 46.6345255, 14.1457149 46.6337179)",,,
37885646,Elisabethstraße,residential,30,False,True,94.386,,"LINESTRING (14.1459038 46.6345255, 14.1460763 46.6353222, 14.1460856 46.6353651)",,,
38000994,Koschatweg,residential,,False,True,23.447000000000003,,"LINESTRING (14.1392377 46.6364134, 14.1391896 46.6362356, 14.1391708 46.6362085)",,,
"[115591020, 168968254]",Hauptstraße,primary,50,False,False,70.134,B83,"LINESTRING (14.1392377 46.6364134, 14.1390802 46.6364298, 14.1385589 46.6364855, 14.13833 46.6365102)",,,
"[711029885, 463722486]",Hauptstraße,primary,50,False,True,190.43099999999998,B83,"LINESTRING (14.1392377 46.6364134, 14.1398423 46.6363497, 14.1404262 46.636272, 14.1405514 46.6362553, 14.1409031 46.6361917, 14.1410701 46.6361615, 14.14122 46.6361333, 14.1414648 46.6360852, 14.1415681 46.6360649, 14.1416703 46.6360448)",,,
24876191,Augustenstraße,residential,30,False,False,94.332,,"LINESTRING (14.1446399 46.6355511, 14.1446294 46.6355148, 14.1444915 46.6350363, 14.1444 46.6347189)",,,
333369219,Hauptstraße,primary,50,False,False,90.178,B83,"LINESTRING (14.1446399 46.6355511, 14.1438456 46.6356797, 14.1435834 46.6357246, 14.1434914 46.6357403)",,,
333369219,Hauptstraße,primary,50,False,True,112.368,B83,"LINESTRING (14.1446399 46.6355511, 14.1451318 46.6354739, 14.1452214 46.6354598, 14.145542 46.6354202, 14.1457453 46.6353996, 14.1460856 46.6353651)",,,
24876190,Annastraße,residential,30,False,True,116.815,,"LINESTRING (14.1444 46.6347189, 14.1459038 46.6345255)",,,
24876191,Augustenstraße,residential,30,False,False,84.994,,"LINESTRING (14.1444 46.6347189, 14.1441779 46.6339699)",,,
24876191,Augustenstraße,residential,30,False,True,94.332,,"LINESTRING (14.1444 46.6347189, 14.1444915 46.6350363, 14.1446294 46.6355148, 14.1446399 46.6355511)",,,
124123877,Annastraße,residential,30,False,False,92.811,,"LINESTRING (14.1444 46.6347189, 14.1440465 46.6347635, 14.1432165 46.6349077)",,,
