osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,junction,bridge,access,width
32814996,2,B125,primary,50,False,True,25.131,"LINESTRING (14.4151031 48.35241, 14.4153427 48.3525704)",,,,,
32814996,2,B125,primary,50,False,False,66.14,"LINESTRING (14.4151031 48.35241, 14.4150181 48.3523439, 14.4148393 48.352205, 14.4147155 48.3521149, 14.4145488 48.3519935, 14.4145075 48.3519662)",,,,,
990765285,,,living_street,20,False,True,77.908,"LINESTRING (14.4151031 48.35241, 14.4151764 48.3523631, 14.4156007 48.3520914, 14.415773 48.3519969, 14.4158839 48.3519402)",Gaisbacher Straße,,,,
19785166,2,,residential,,False,False,124.31300000000002,"LINESTRING (14.4117497 48.3504043, 14.4116698 48.3504372, 14.4112443 48.3506146, 14.4109585 48.3507525, 14.4104788 48.3509771, 14.4104449 48.3509905, 14.410346 48.3510168)",Alte Straße,,,,
273827643,1,B125,primary,50,True,False,14.664,"LINESTRING (14.4117497 48.3504043, 14.4117224 48.3503637, 14.4117278 48.3503208, 14.4117646 48.3502838)",,roundabout,,,
5853731,1,B125,primary,50,True,False,15.01,"LINESTRING (14.4117646 48.3502838, 14.4118215 48.3502639, 14.4118878 48.3502645, 14.4119498 48.3502895)",,roundabout,,,
26223460,,L1463,tertiary,50,False,True,154.292,"LINESTRING (14.4158415 48.3538751, 14.4157141 48.3539388, 14.4153024 48.3541536, 14.4152045 48.3542053, 14.4150804 48.3542534, 14.4149845 48.3542837, 14.4148042 48.3543212, 14.4145828 48.3543441, 14.4145211 48.3543475, 14.4143375 48.3543679, 14.4142546 48.3543837, 14.4141732 48.3544054, 14.4141336 48.354419, 14.4141041 48.354429, 14.4140066 48.3544727)",Reichenauer Straße,,,,
146122763,,L1463,primary,50,True,False,30.177,"LINESTRING (14.4158415 48.3538751, 14.4157334 48.3537628, 14.4157007 48.3537043, 14.4157007 48.3536659, 14.4157147 48.3536298)",Schulstraße,,,,
938332990,,B125,primary,50,False,True,28.323,"LINESTRING (14.4160602 48.3530578, 14.4162985 48.3532573)",,,,,
430052635,,,living_street,20,True,False,104.332,"LINESTRING (14.4160602 48.3530578, 14.4163571 48.3529309, 14.4166634 48.35282, 14.4167397 48.3528002, 14.4168188 48.3527571, 14.4168414 48.3527038, 14.4168003 48.3526353, 14.4167201 48.3525897, 14.4165083 48.3526422)",Marktplatz,,,,
938332990,,B125,primary,50,False,False,16.612000000000002,"LINESTRING (14.4160602 48.3530578, 14.4159549 48.3529811, 14.4159101 48.3529466)",,,,,
273827644,,,primary,50,False,True,21.1,"LINESTRING (14.4190467 48.3555428, 14.4193316 48.3555299)",Prager Straße,,,,
146085737,,L1467,tertiary,50,False,False,16.761000000000003,"LINESTRING (14.4190467 48.3555428, 14.4190304 48.3556009, 14.4189974 48.355654, 14.4189681 48.3556821)",Alberndorfer Straße,,,,
854224325,,,primary,50,True,False,30.843,"LINESTRING (14.4190467 48.3555428, 14.4188696 48.3555133, 14.4186507 48.3554568)",Schulstraße,,,,
26223480,,B125,primary,50,False,True,35.966,"LINESTRING (14.4119386 48.3504162, 14.4119951 48.3504605, 14.4122666 48.3506551)",,,,,
273827643,1,B125,primary,50,True,False,15.443,"LINESTRING (14.4119386 48.3504162, 14.4118719 48.3504362, 14.4118041 48.3504309, 14.4117497 48.3504043)",,roundabout,,,
273827642,1,B125,primary,50,True,False,15.573,"LINESTRING (14.4119498 48.3502895, 14.4119818 48.3503298, 14.4119795 48.3503744, 14.4119386 48.3504162)",,roundabout,,,
9665675,,,residential,,False,False,27.578000000000003,"LINESTRING (14.4184086 48.3496234, 14.4183763 48.3496772, 14.4183445 48.3497139, 14.4182908 48.3497534, 14.4182299 48.3497746, 14.418159 48.3497874)",Gaisbacher Straße,,,,
26223487,2,,tertiary,50,False,True,95.57000000000001,"LINESTRING (14.4184086 48.3496234, 14.4185121 48.3496373, 14.4186092 48.3496395, 14.4186908 48.3496318, 14.4187902 48.3496161, 14.4189145 48.3495853, 14.4196066 48.3493561)",Gaisbacher Straße,,,,
6248675,2,L1502,tertiary,50,False,False,290.204,"LINESTRING (14.4145075 48.3519662, 14.4144766 48.3519934, 14.4144471 48.3520237, 14.4143828 48.3521035, 14.4143311 48.3521721, 14.4142875 48.3522429, 14.4142379 48.3522929, 14.4141843 48.3523405, 14.414083 48.3524047, 14.4138852 48.3525094, 14.413312 48.3527926, 14.4131593 48.3528639, 14.4130389 48.3529159, 14.4129776 48.3529423, 14.4124657 48.3531484, 14.4123454 48.3532066, 14.4120389 48.3533552, 14.4118028 48.3534837, 14.4116828 48.3535608, 14.4115764 48.3536456)",Lederergasse,,,,
32814996,2,B125,primary,50,False,True,66.13999999999999,"LINESTRING (14.4145075 48.3519662, 14.4145488 48.3519935, 14.4147155 48.3521149, 14.4148393 48.352205, 14.4150181 48.3523439, 14.4151031 48.35241)",,,,,
"[203405050, 28513627, 26223484]",2,B125,primary,50,False,False,40.034,"LINESTRING (14.4145075 48.3519662, 14.4144485 48.3519186, 14.4142588 48.3517721, 14.4141559 48.3516923)",,,yes,,
6248675,2,L1502,tertiary,50,False,False,97.946,"LINESTRING (14.4115764 48.3536456, 14.411493 48.3537502, 14.4114259 48.3538469, 14.4113468 48.3539427, 14.4112516 48.3540394, 14.4111168 48.3541557, 14.4109141 48.3543181, 14.4108419 48.3543736)",Lederergasse,,,,
6248675,2,L1502,tertiary,50,False,True,290.20399999999995,"LINESTRING (14.4115764 48.3536456, 14.4116828 48.3535608, 14.4118028 48.3534837, 14.4120389 48.3533552, 14.4123454 48.3532066, 14.4124657 48.3531484, 14.4129776 48.3529423, 14.4130389 48.3529159, 14.4131593 48.3528639, 14.413312 48.3527926, 14.4138852 48.3525094, 14.414083 48.3524047, 14.4141843 48.3523405, 14.4142379 48.3522929, 14.4142875 48.3522429, 14.4143311 48.3521721, 14.4143828 48.3521035, 14.4144471 48.3520237, 14.4144766 48.3519934, 14.4145075 48.3519662)",Lederergasse,,,,
28279867,,,residential,50,False,True,113.386,"LINESTRING (14.4115764 48.3536456, 14.4116452 48.3536835, 14.4119016 48.3538768, 14.4122934 48.3542417, 14.4124961 48.3544126, 14.4125223 48.354445)",Silberhumerweg,,,,
9665675,,,residential,,False,False,148.931,"LINESTRING (14.418159 48.3497874, 14.4179221 48.3498236, 14.4178195 48.3498468, 14.4176726 48.3498958, 14.417501 48.3499715, 14.4173394 48.3500709, 14.4172288 48.3501547, 14.4171155 48.3502848, 14.416909 48.350533, 14.4167857 48.3506796)",Gaisbacher Straße,,,,
9665675,,,residential,,False,True,27.578,"LINESTRING (14.418159 48.3497874, 14.4182299 48.3497746, 14.4182908 48.3497534, 14.4183445 48.3497139, 14.4183763 48.3496772, 14.4184086 48.3496234)",Gaisbacher Straße,,,,
15532734,,,residential,,False,False,26.931,"LINESTRING (14.418159 48.3497874, 14.4181718 48.3498231, 14.418223 48.3499662, 14.418223 48.3500246)",Hanriederstraße,,,,
146085740,,B125,primary,50,True,False,44.728,"LINESTRING (14.418804 48.3553327, 14.4193316 48.3555299)",Hauptstraße,,,,
9665678,,,primary_link,,True,False,18.762,"LINESTRING (14.418804 48.3553327, 14.4187757 48.3553875, 14.4187324 48.355427, 14.4186507 48.3554568)",,,,,
146085741,,,primary_link,50,True,False,30.298000000000002,"LINESTRING (14.418804 48.3553327, 14.4190248 48.3554845, 14.4190436 48.355509, 14.4190467 48.3555428)",Hauptstraße,,,,
5853728,,,primary,50,True,False,77.209,"LINESTRING (14.4186507 48.3554568, 14.4182986 48.3553459, 14.4177185 48.3551434)",Schulstraße,,,,
26223487,2,,tertiary,50,False,False,11.292,"LINESTRING (14.4201496 48.3491724, 14.4200136 48.3492187)",Gaisbacher Straße,,,,
28352028,,,tertiary,50,False,True,109.68599999999999,"LINESTRING (14.4201496 48.3491724, 14.4205255 48.3490351, 14.4208597 48.3488982, 14.4211037 48.3487908, 14.4214049 48.3486479)",Gaisbacher Straße,,,,
26223487,2,,tertiary,50,False,True,11.292,"LINESTRING (14.4200136 48.3492187, 14.4201496 48.3491724)",Gaisbacher Straße,,,,
15530055,,,residential,30,False,False,166.36300000000003,"LINESTRING (14.4200136 48.3492187, 14.4202388 48.3495577, 14.4203021 48.3496147, 14.4203986 48.3496784, 14.4205203 48.3497281, 14.4206664 48.3497653, 14.4209369 48.3498298, 14.4211539 48.349867, 14.4213938 48.3498912, 14.4215199 48.3498981, 14.4216517 48.3499034, 14.4217907 48.3499056)",Feldweg,,,,
26223487,2,,tertiary,50,False,False,33.735,"LINESTRING (14.4200136 48.3492187, 14.4199895 48.3492268, 14.4196066 48.3493561)",Gaisbacher Straße,,,,
