osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,width,tunnel,junction
22715761,Huebenweg,tertiary,False,False,116.58399999999999,"LINESTRING (11.4666572 47.0915514, 11.4665348 47.0914409, 11.4664672 47.0913403, 11.4664143 47.0912395, 11.4663465 47.0910623, 11.4662332 47.0908658, 11.4661846 47.0908078, 11.4660689 47.0906699, 11.4660129 47.0906081)",,,,,,,
565726950,Brennerstraße,primary,False,False,216.18800000000005,"LINESTRING (11.4666572 47.0915514, 11.4667578 47.091104, 11.4668638 47.0907383, 11.4669167 47.0905989, 11.466947 47.090519, 11.4670092 47.0903921, 11.4671043 47.0901979, 11.4671352 47.0901384, 11.4673758 47.0896758)",2,B182,50,,,,
"[1187688136, 938652641, 151717600]",Brennerstraße,primary,False,True,246.18200000000002,"LINESTRING (11.4666572 47.0915514, 11.4666535 47.0916055, 11.4666806 47.0917708, 11.4668095 47.092139, 11.466836 47.0923047, 11.4668366 47.0924386, 11.4668369 47.0925143, 11.4668149 47.0926446, 11.4667822 47.0927401, 11.4667465 47.092852, 11.4666468 47.0930474, 11.4665522 47.0932519, 11.4664929 47.0933612, 11.4664344 47.0934566, 11.4663681 47.0935492, 11.4662571 47.0936797)",2,B182,50,,,,
"[73916576, 565726963, 73916589]",Bahnhofstraße,residential,False,True,113.988,"LINESTRING (11.4679601 47.0885922, 11.4683818 47.0886338, 11.4686335 47.0886497, 11.4694579 47.0886918)",,,,yes,,,
565726950,Brennerstraße,primary,False,True,81.612,"LINESTRING (11.4679601 47.0885922, 11.4678951 47.0886985, 11.4677337 47.0890019, 11.4675819 47.0892794)",2,B182,50,,,,
22715758,Erlach,residential,False,False,113.584,"LINESTRING (11.4660473 47.0945613, 11.4662647 47.0945805, 11.4665044 47.0945805, 11.4668092 47.0945804, 11.4671848 47.0946391, 11.4675066 47.0947351)",,,,,,,
22715758,Erlach,residential,False,True,9.177999999999999,"LINESTRING (11.4660473 47.0945613, 11.4659637 47.0945455, 11.4659318 47.0945366)",,,,,,,
22715758,Erlach,residential,False,True,113.58399999999999,"LINESTRING (11.4675066 47.0947351, 11.4671848 47.0946391, 11.4668092 47.0945804, 11.4665044 47.0945805, 11.4662647 47.0945805, 11.4660473 47.0945613)",,,,,,,
"[44506945, 44506946, 29987460]",Kranebitten,residential,False,False,117.10399999999998,"LINESTRING (11.4675066 47.0947351, 11.4676976 47.0943726, 11.4678247 47.0941736, 11.4679803 47.0939401, 11.4680959 47.0937621)",2,,,yes,,,
37614346,Kranebitten,unclassified,False,True,194.494,"LINESTRING (11.4680959 47.0937621, 11.4682566 47.0934842, 11.468326 47.0933523, 11.468404 47.093204, 11.4686359 47.09289, 11.4689642 47.0927397, 11.4696304 47.0924616)",,,,,,,
"[44506945, 44506946, 29987460]",Kranebitten,residential,False,True,117.10400000000001,"LINESTRING (11.4680959 47.0937621, 11.4679803 47.0939401, 11.4678247 47.0941736, 11.4676976 47.0943726, 11.4675066 47.0947351)",2,,,yes,,,
