osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,junction,bridge,width,tunnel
23119623,Postgasse,residential,False,False,72.909,"LINESTRING (13.1496332 48.1045513, 13.1497617 48.1045748, 13.1503745 48.1046867, 13.1505803 48.1047243)",,,,,,,
722932384,Stadtplatz,primary,False,True,59.486999999999995,"LINESTRING (13.1496332 48.1045513, 13.1497272 48.1043406, 13.1498579 48.1040378)",B147,50,,,,,
"[741718468, 741718469, 41603550]",Stadtplatz,primary,False,False,305.725,"LINESTRING (13.1496332 48.1045513, 13.1496137 48.1046041, 13.1495792 48.1047026, 13.1495543 48.1047802, 13.1495058 48.1049542, 13.1494907 48.1050222, 13.1494629 48.1051943, 13.1494548 48.1052803, 13.1494534 48.1054088, 13.1494768 48.1055146, 13.149496 48.1055965, 13.1495213 48.1057206, 13.1495394 48.1058428, 13.1495475 48.106004, 13.1495435 48.1061764, 13.1495193 48.1062897, 13.1494751 48.1063927, 13.1494161 48.1064823, 13.1491056 48.1068512, 13.1490231 48.1069631, 13.1489775 48.107054, 13.1489621 48.1071111, 13.1489537 48.1071991)",B147,50,2,,,,
140645292,Salzburgerstraße,primary,False,True,21.436,"LINESTRING (13.150754 48.1022385, 13.150842 48.1020549)",B147,50,,,,,
25341496,Mattseerstraße,secondary,False,False,19.445,"LINESTRING (13.150754 48.1022385, 13.1506864 48.1022223, 13.1505887 48.1021886, 13.1505221 48.1021589)",L505,50,,,,,
"[201308458, 290879501]",Stadtplatz,primary,False,False,107.07400000000001,"LINESTRING (13.150754 48.1022385, 13.1506879 48.1023659, 13.1506046 48.1024842, 13.1505847 48.1025148, 13.1504333 48.1027502, 13.1503863 48.1028447, 13.1502559 48.1031404)",B147,"['30', '50']",,,,,
38297841,Harlochnerstraße,tertiary,False,True,89.70700000000001,"LINESTRING (13.1550032 48.1064124, 13.1546147 48.1063184, 13.154026 48.106176, 13.1538665 48.1061391)",L1041,,2,,,,
51010975,Scheiterbachstraße,residential,False,True,278.736,"LINESTRING (13.1550032 48.1064124, 13.1550767 48.1062523, 13.1551723 48.1059569, 13.1551927 48.105894, 13.1552775 48.1056877, 13.155371 48.1055247, 13.155428 48.1054356, 13.1554878 48.1053421, 13.1558423 48.1048229, 13.1558773 48.1047861, 13.1560703 48.1043908, 13.1561808 48.1041372, 13.1562191 48.1040493)",,,,,,,
53844122,Ahamerweg,residential,False,False,101.668,"LINESTRING (13.1522568 48.1000889, 13.1528266 48.1002507, 13.1535142 48.1004506)",,,,,,,
551651290,Salzburgerstraße,primary,False,False,244.406,"LINESTRING (13.1522568 48.1000889, 13.1522333 48.1001095, 13.1519191 48.1004025, 13.1517029 48.1006083, 13.1516681 48.1006462, 13.1515993 48.1007209, 13.1514933 48.1008687, 13.1513894 48.101032, 13.1512214 48.101301, 13.1511986 48.1013418, 13.1510786 48.1015724, 13.1509541 48.1018255, 13.150887 48.101962, 13.150842 48.1020549)",B147,50,,,,,
