osmid,ref,highway,oneway,reversed,length,geometry,name,bridge,lanes
32126083,P74,primary,False,False,101.24000000000001,"LINESTRING (25.7481629 56.1614555, 25.7484701 56.1616305, 25.7492562 56.1621321)",,,
"[41541794, 41541804, 522952524]",P73;P74,primary,False,"[False, True]",322.85799999999995,"LINESTRING (25.7481629 56.1614555, 25.7475079 56.1617743, 25.7473135 56.1618542, 25.7471897 56.1618867, 25.7470659 56.161918, 25.7469424 56.1619349, 25.7468525 56.1619468, 25.74676 56.161957, 25.7466356 56.1619639, 25.7465285 56.161964, 25.7464036 56.1619608, 25.7462852 56.1619504, 25.7461801 56.1619407, 25.7461073 56.1619276, 25.7459565 56.1618985, 25.7458217 56.1618648, 25.7456901 56.1618213, 25.745513 56.1617628, 25.7452127 56.1615833, 25.7449961 56.1614217, 25.7447174 56.1612133, 25.7443688 56.1609383, 25.744314 56.160907, 25.7441495 56.1608118)",Vecumnieki — Nereta — Subate,yes,
"[919727321, 1114701251, 919727318]",P73,primary,False,False,204.281,"LINESTRING (25.7481629 56.1614555, 25.7485137 56.1612848, 25.7490108 56.1610434, 25.7491345 56.1609876, 25.7495396 56.1607939, 25.7506505 56.1602489)",Vecumnieki — Nereta — Subate,,
"[41541794, 41541804, 522952524]",P73;P74,primary,False,"[False, True]",322.858,"LINESTRING (25.7441495 56.1608118, 25.744314 56.160907, 25.7443688 56.1609383, 25.7447174 56.1612133, 25.7449961 56.1614217, 25.7452127 56.1615833, 25.745513 56.1617628, 25.7456901 56.1618213, 25.7458217 56.1618648, 25.7459565 56.1618985, 25.7461073 56.1619276, 25.7461801 56.1619407, 25.7462852 56.1619504, 25.7464036 56.1619608, 25.7465285 56.161964, 25.7466356 56.1619639, 25.74676 56.161957, 25.7468525 56.1619468, 25.7469424 56.1619349, 25.7470659 56.161918, 25.7471897 56.1618867, 25.7473135 56.1618542, 25.7475079 56.1617743, 25.7481629 56.1614555)",Vecumnieki — Nereta — Subate,yes,
41541836,P74,secondary,False,False,169.257,"LINESTRING (25.7441495 56.1608118, 25.7442409 56.1606726, 25.7442325 56.1605273, 25.7441785 56.1603542, 25.7441502 56.1602636, 25.7440394 56.1601016, 25.7436944 56.1599094, 25.7430905 56.1595183)",,,
"[549420440, 1112383468]",P73,primary,False,False,200.772,"LINESTRING (25.7441495 56.1608118, 25.7440959 56.1607871, 25.7439379 56.1607232, 25.7437492 56.1606793, 25.7435229 56.1606637, 25.7433018 56.1606713, 25.7431177 56.1606888, 25.742847 56.1607429, 25.7426411 56.1608408, 25.7425136 56.1609477, 25.7423835 56.1610717, 25.7420631 56.1614419, 25.741889 56.1616123)",Vecumnieki — Nereta — Subate,,2
"[32126083, 719537478, 719537479]",P74,primary,False,True,188.527,"LINESTRING (25.7529269 56.1644601, 25.7528311 56.1643927, 25.7525939 56.1642311, 25.7509066 56.1631921)",Siliņi – Aknīste,yes,
"[549420440, 41541809]",P73,primary,False,False,61.024,"LINESTRING (25.741889 56.1616123, 25.7417447 56.1617256, 25.7415117 56.1619252, 25.741306 56.1620533)","['Skolas iela', 'Vecumnieki — Nereta — Subate']",,2
"[549420440, 1112383468]",P73,primary,False,True,200.77200000000002,"LINESTRING (25.741889 56.1616123, 25.7420631 56.1614419, 25.7423835 56.1610717, 25.7425136 56.1609477, 25.7426411 56.1608408, 25.742847 56.1607429, 25.7431177 56.1606888, 25.7433018 56.1606713, 25.7435229 56.1606637, 25.7437492 56.1606793, 25.7439379 56.1607232, 25.7440959 56.1607871, 25.7441495 56.1608118)",Vecumnieki — Nereta — Subate,,2
719537423,,living_street,False,False,229.425,"LINESTRING (25.741889 56.1616123, 25.7419337 56.161721, 25.7420732 56.1619001, 25.7422223 56.1620759, 25.7422654 56.1621268, 25.7424105 56.1622524, 25.7427298 56.162472, 25.7428862 56.1626835, 25.7430125 56.1629998, 25.7430978 56.1632927, 25.7431057 56.1634494, 25.7430671 56.1635136)",Radžupes iela,,
