osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name
125074657,P26,primary,50,roundabout,True,False,23.096,"LINESTRING (25.7513607 57.6504485, 25.7513216 57.6505145, 25.7512484 57.6505716, 25.7511473 57.6506148)",
"[905830849, 125074647]",,residential,,,True,False,118.082,"LINESTRING (25.7513607 57.6504485, 25.7515024 57.6506559, 25.7517499 57.6510297, 25.752028 57.6514486)",Zaļā iela
507492851,,residential,,,False,False,16.653,"LINESTRING (25.7525572 57.6522374, 25.7522986 57.6522947)",Sporta iela
125074647,,residential,,,True,False,90.03800000000001,"LINESTRING (25.7525572 57.6522374, 25.7529801 57.6529074, 25.7529743 57.6530099)",Zaļā iela
507492851,,residential,,,False,True,143.003,"LINESTRING (25.7525572 57.6522374, 25.7530197 57.6521359, 25.7533629 57.6520693, 25.7542957 57.6518781, 25.7547997 57.6517748)",Sporta iela
945744686,,residential,,,False,True,22.481,"LINESTRING (25.7529743 57.6530099, 25.7526256 57.6530878)",
507492850,,residential,,,False,True,148.409,"LINESTRING (25.7529743 57.6530099, 25.7538764 57.6528373, 25.7543052 57.6527393, 25.7552982 57.6525258)",Tirgus iela
533165860,,unclassified,,,False,False,197.632,"LINESTRING (25.7529743 57.6530099, 25.7536768 57.6533994, 25.754277 57.6537322, 25.7548031 57.6539884, 25.7553787 57.6542325)",Zaļā iela
945744686,,residential,,,False,False,22.481,"LINESTRING (25.7526256 57.6530878, 25.7529743 57.6530099)",
832516768,,residential,,,False,False,416.057,"LINESTRING (25.7526256 57.6530878, 25.7524118 57.6532285, 25.7501476 57.6544856, 25.7486533 57.6553104, 25.747787 57.6557885)",Stacijas iela
832516768,,residential,,,False,True,17.7,"LINESTRING (25.7526256 57.6530878, 25.7527082 57.6530075, 25.7527417 57.6529424)",Stacijas iela
533165860,,unclassified,,,False,False,567.829,"LINESTRING (25.7553787 57.6542325, 25.7555843 57.6543726, 25.755622 57.6544097, 25.7558023 57.654587, 25.7562105 57.6550006, 25.7566739 57.6553445, 25.7569645 57.6555226, 25.7587757 57.6575037, 25.759365 57.6583467, 25.7594701 57.6584482, 25.7595613 57.6585363, 25.7598695 57.6587026)",Zaļā iela
533165860,,unclassified,,,False,True,197.632,"LINESTRING (25.7553787 57.6542325, 25.7548031 57.6539884, 25.754277 57.6537322, 25.7536768 57.6533994, 25.7529743 57.6530099)",Zaļā iela
697136075,,unclassified,,,False,False,265.44100000000003,"LINESTRING (25.7553787 57.6542325, 25.755644 57.6542462, 25.7557153 57.6542397, 25.7559153 57.6542216, 25.7572642 57.6539908, 25.7596683 57.6536165)",
