osmid,name,highway,oneway,reversed,length,maxspeed,access,geometry,lanes,ref,tunnel
"[355788072, 239912391]",Paula iela,residential,False,True,139.593,20,destination,"LINESTRING (21.1622199 56.5353321, 21.1620748 56.5351309, 21.161312 56.5350618, 21.1605048 56.5350063, 21.160215 56.5349693)",,,
877501800,Lielā iela,secondary,False,False,58.980000000000004,,,"LINESTRING (21.1622199 56.5353321, 21.1628044 56.5352373, 21.1631436 56.5351841)",,,
87510011,Celtnieku iela,residential,False,False,93.699,,,"LINESTRING (21.1644458 56.5379924, 21.1659294 56.5377902)",,,
87509992,Priežu iela,residential,False,False,43.91,,,"LINESTRING (21.1644458 56.5379924, 21.1644243 56.5379365, 21.1643772 56.5378141, 21.1642972 56.5376061)",,,
87509992,Priežu iela,residential,False,True,177.115,,,"LINESTRING (21.1644458 56.5379924, 21.1648911 56.5389992, 21.1651396 56.5395386)",,,
874431774,Lielā iela,secondary,False,False,220.876,,,"LINESTRING (21.1644666 56.5351404, 21.164753 56.5351581, 21.1651234 56.5351798, 21.1658184 56.5352224, 21.1660868 56.5352388, 21.1669177 56.5352465, 21.1678348 56.5352331, 21.1680583 56.5352263)",,,
877501800,Lielā iela,secondary,False,True,81.965,,,"LINESTRING (21.1644666 56.5351404, 21.1642128 56.5351254, 21.1636488 56.5351223, 21.1631436 56.5351841)",,,
"[877501801, 182508713, 802917519]",Parka iela,residential,False,True,177.14800000000002,,,"LINESTRING (21.1644666 56.5351404, 21.1644745 56.5350876, 21.1645029 56.5349496, 21.1645391 56.5345448, 21.1645802 56.5342892, 21.1647172 56.5337551, 21.16477 56.5336084, 21.1647973 56.5335603)",,,
87510012,Kalēju iela,residential,False,True,205.28300000000002,,,"LINESTRING (21.1704379 56.5410694, 21.1714325 56.5407773, 21.1734061 56.540215)",,,
"[874431800, 877501794]",Skuju iela,residential,False,True,142.446,,,"LINESTRING (21.1704379 56.5410694, 21.1693239 56.5404488, 21.1691396 56.5403144, 21.1690588 56.5401603, 21.1690086 56.5400863)",,,
87510006,Zentas Mauriņas iela,residential,False,False,50.026,,,"LINESTRING (21.1740333 56.5411204, 21.1737248 56.5407039)",,,
