osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,maxspeed,junction,access
26460235,2,P10,primary_link,False,False,165.40300000000002,"LINESTRING (24.4963271 56.8365689, 24.4965522 56.836466, 24.4968353 56.8363166, 24.4973307 56.8360463, 24.4975674 56.8359221, 24.4978075 56.8358088, 24.4979263 56.8357778, 24.4980331 56.8357677, 24.4981359 56.835771, 24.4982278 56.8357796, 24.4983135 56.8358007, 24.4983911 56.8358299, 24.4984428 56.8358499)",,,,
844790234,,,tertiary,False,False,64.113,"LINESTRING (24.4963271 56.8365689, 24.4962633 56.8365275, 24.4959267 56.8363522, 24.4956925 56.8362304, 24.4955648 56.8361714)",Skolas iela,,,
961226188,2,P10,primary,False,True,64.97800000000001,"LINESTRING (24.4963271 56.8365689, 24.4965157 56.8367005, 24.4969465 56.8370447)",Skolas iela,70,,
8662383,,,residential,False,False,130.297,"LINESTRING (24.5006449 56.8404557, 24.5007208 56.8404302, 24.5008809 56.8403782, 24.5024685 56.8398408)",Pārbrauktuves iela,,,
"[801338247, 124861671]",2,P10,primary,False,True,83.997,"LINESTRING (24.5006449 56.8404557, 24.500699 56.8405139, 24.5007455 56.8405674, 24.5007811 56.8406084, 24.5008163 56.8406532, 24.501069 56.8409911, 24.5011065 56.8410408, 24.5011941 56.8411485)","['Skolas iela', 'Tīnūžu Šoseja']",70,,
152604352,,P10,primary,False,False,105.70100000000001,"LINESTRING (24.5006449 56.8404557, 24.5006123 56.8404215, 24.4998665 56.8396058)",Skolas iela,70,,
8662383,,,residential,False,False,80.75699999999999,"LINESTRING (24.5024685 56.8398408, 24.5029672 56.8397171, 24.50307 56.8396948, 24.5035833 56.8395837, 24.5036926 56.83956)",Pārbrauktuves iela,,,
8662383,,,residential,False,True,130.297,"LINESTRING (24.5024685 56.8398408, 24.5008809 56.8403782, 24.5007208 56.8404302, 24.5006449 56.8404557)",Pārbrauktuves iela,,,
159698837,,,residential,False,True,132.423,"LINESTRING (24.5024685 56.8398408, 24.5024098 56.8397879, 24.5023287 56.8397364, 24.5021918 56.8396754, 24.5014298 56.8394442, 24.5009592 56.8392499, 24.5008638 56.8391832, 24.5008106 56.839108)",Stacijas iela,,,
120446228,,,residential,False,True,109.981,"LINESTRING (24.5053344 56.8391685, 24.5051347 56.839264, 24.5048774 56.8393372, 24.5046008 56.8393898, 24.5037956 56.839543, 24.5036926 56.83956)",Pārbrauktuves iela,,,
"[939267889, 26396258]",,,residential,False,False,183.412,"LINESTRING (24.5053344 56.8391685, 24.505306 56.8391419, 24.5052646 56.8390965, 24.5049782 56.8387163, 24.5046083 56.8382603, 24.5041939 56.8376923, 24.5041626 56.8376493)",Daugavas prospekts,,,
26396258,,,residential,False,False,105.612,"LINESTRING (24.5036671 56.8369885, 24.5036165 56.8369205, 24.5029957 56.8361126)",Daugavas prospekts,,,
26396258,,,residential,False,True,79.42,"LINESTRING (24.5036671 56.8369885, 24.5039836 56.8374058, 24.5041626 56.8376493)",Daugavas prospekts,,,
26397271,,,residential,False,False,147.35999999999999,"LINESTRING (24.5036671 56.8369885, 24.5035396 56.8370124, 24.5034404 56.8370456, 24.5029276 56.8374075, 24.5021792 56.8379357, 24.5021101 56.8379845)",Sūniņu iela,,,
26397273,,,residential,False,False,88.802,"LINESTRING (24.5021101 56.8379845, 24.5011953 56.8373621)",Melioratoru iela,,,
26397271,,,residential,False,True,147.36,"LINESTRING (24.5021101 56.8379845, 24.5021792 56.8379357, 24.5029276 56.8374075, 24.5034404 56.8370456, 24.5035396 56.8370124, 24.5036671 56.8369885)",Sūniņu iela,,,
26397273,,,residential,False,True,200.707,"LINESTRING (24.5021101 56.8379845, 24.5026837 56.8384628, 24.5033242 56.8390389, 24.5036544 56.839506, 24.5036926 56.83956)",Melioratoru iela,,,
8797865,,,tertiary,False,False,119.764,"LINESTRING (24.4951158 56.8347538, 24.4951726 56.8349598, 24.4952051 56.8351373, 24.4952478 56.8352246, 24.4953383 56.8353178, 24.4954523 56.8353847, 24.4956958 56.8355251, 24.4957692 56.8355801, 24.4958253 56.8356525, 24.4958384 56.8357148)",Peldu iela,,,
37756073,,,residential,True,False,127.025,"LINESTRING (24.4951158 56.8347538, 24.4951935 56.8347412, 24.4953126 56.8347132, 24.4954525 56.834668, 24.4957995 56.8345097, 24.4966834 56.834016)",Lībiešu iela,,,
26396258,,,residential,False,False,79.42,"LINESTRING (24.5041626 56.8376493, 24.5039836 56.8374058, 24.5036671 56.8369885)",Daugavas prospekts,,,
"[939267889, 26396258]",,,residential,False,True,183.412,"LINESTRING (24.5041626 56.8376493, 24.5041939 56.8376923, 24.5046083 56.8382603, 24.5049782 56.8387163, 24.5052646 56.8390965, 24.505306 56.8391419, 24.5053344 56.8391685)",Daugavas prospekts,,,
1099449728,,,residential,False,False,78.619,"LINESTRING (24.5041626 56.8376493, 24.5042813 56.8376211, 24.5045495 56.8375588, 24.5053522 56.8373728)",Lupīnu iela,,,
"[124861671, 801338247]",2,P10,primary,False,False,83.997,"LINESTRING (24.5011941 56.8411485, 24.5011065 56.8410408, 24.501069 56.8409911, 24.5008163 56.8406532, 24.5007811 56.8406084, 24.5007455 56.8405674, 24.500699 56.8405139, 24.5006449 56.8404557)","['Skolas iela', 'Tīnūžu Šoseja']",70,,
"[801338248, 26412866]",,C2,tertiary,False,False,176.647,"LINESTRING (24.5011941 56.8411485, 24.5009885 56.8412037, 24.5005066 56.8413363, 24.4992255 56.8416792, 24.4985898 56.8418518)",Riekstu iela,40,,
"[801338248, 26412866]",,C2,tertiary,False,True,176.64700000000002,"LINESTRING (24.4985898 56.8418518, 24.4992255 56.8416792, 24.5005066 56.8413363, 24.5009885 56.8412037, 24.5011941 56.8411485)",Riekstu iela,40,,
26396258,,,residential,False,True,53.857,"LINESTRING (24.5023381 56.8352494, 24.5025796 56.8355703, 24.5026768 56.8356969)",Daugavas prospekts,,,
26397273,,,residential,False,True,212.26999999999998,"LINESTRING (24.4984812 56.837025, 24.4985122 56.8370137, 24.4991606 56.8367773, 24.4994568 56.8366649, 24.4997003 56.8366263, 24.4998909 56.8366633, 24.5001025 56.8367091, 24.5002982 56.8367847, 24.5003622 56.8368095, 24.5005748 56.8369242, 24.5011953 56.8373621)",Melioratoru iela,,,
924029710,,,residential,True,False,44.873000000000005,"LINESTRING (24.4984812 56.837025, 24.4983204 56.8371168, 24.497968 56.8373149)",Melioratoru iela,,,
26459388,,,residential,False,False,144.575,"LINESTRING (24.5019831 56.8347534, 24.5017777 56.8344699, 24.5012783 56.8338079, 24.501079 56.833551)",Daugavas prospekts,,,
37756074,,,tertiary,True,False,20.041,"LINESTRING (24.4955648 56.8361714, 24.4954678 56.8361995, 24.4953579 56.8361985, 24.4952629 56.8361684)",Skolas iela,,roundabout,
844790234,,,tertiary,False,True,64.113,"LINESTRING (24.4955648 56.8361714, 24.4956925 56.8362304, 24.4959267 56.8363522, 24.4962633 56.8365275, 24.4963271 56.8365689)",Skolas iela,,,
26459761,,,residential,False,True,111.639,"LINESTRING (24.4979958 56.8347178, 24.4966834 56.834016)",Dīķu iela,,,
26459761,,,residential,False,False,118.501,"LINESTRING (24.4979958 56.8347178, 24.4980496 56.8347504, 24.4986373 56.8351059, 24.4991104 56.8355597, 24.4991286 56.8355771)",Dīķu iela,,,
37757197,,,tertiary,True,False,175.90400000000002,"LINESTRING (24.4979958 56.8347178, 24.4963357 56.8356211, 24.496201 56.8356828, 24.4960845 56.8357121, 24.4959362 56.8357166, 24.4958384 56.8357148)",Birzes iela,,,
37757197,,,tertiary,True,False,240.391,"LINESTRING (24.5007924 56.8331909, 24.5007013 56.833237, 24.500612 56.8332949, 24.5004946 56.833355, 24.4995526 56.8338723, 24.4979958 56.8347178)",Birzes iela,,,
"[939267891, 26459388]",,,residential,False,True,43.672,"LINESTRING (24.5007924 56.8331909, 24.500862 56.8332781, 24.501079 56.833551)",Daugavas prospekts,,,
26459761,,,residential,False,False,111.639,"LINESTRING (24.4966834 56.834016, 24.4979958 56.8347178)",Dīķu iela,,,
221625130,2,P10,primary_link,False,True,32.161,"LINESTRING (24.4957852 56.837924, 24.4962788 56.8378203)",,,,
38624207,1,P10,primary_link,True,False,201.236,"LINESTRING (24.4957852 56.837924, 24.4953146 56.8380385, 24.4935636 56.8384156, 24.4927154 56.8385983)",,,,
26460235,2,P10,primary_link,False,True,165.403,"LINESTRING (24.4984428 56.8358499, 24.4983911 56.8358299, 24.4983135 56.8358007, 24.4982278 56.8357796, 24.4981359 56.835771, 24.4980331 56.8357677, 24.4979263 56.8357778, 24.4978075 56.8358088, 24.4975674 56.8359221, 24.4973307 56.8360463, 24.4968353 56.8363166, 24.4965522 56.836466, 24.4963271 56.8365689)",,,,
26460254,1,P10,primary_link,True,False,74.74099999999999,"LINESTRING (24.4984428 56.8358499, 24.4985367 56.8358783, 24.4986033 56.8359167, 24.4986563 56.8359424, 24.4987283 56.8359681, 24.4987895 56.8359815, 24.4988549 56.8359903, 24.4989064 56.835992, 24.4989893 56.8359923, 24.499062 56.8359882, 24.4991143 56.8359787, 24.4995478 56.8358767)",,,,
