osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,bridge
13940894,2,Zvejnieku iela,residential,False,True,144.889,"LINESTRING (27.156052 55.8982747, 27.1560102 55.8982124, 27.1557823 55.8978856, 27.1551678 55.8970698)",,,,
792968103,2,Rīgas iela,trunk,False,True,186.24,"LINESTRING (27.156052 55.8982747, 27.1564508 55.8981858, 27.1582588 55.897766, 27.1583856 55.897737, 27.1588155 55.8976387)",A6,50,3,
879153871,2,Aglonas iela,primary,False,True,141.813,"LINESTRING (27.156052 55.8982747, 27.1561162 55.8984744, 27.1564665 55.8995287)",P62,50,,
"[28076769, 28076770]",,"['Krasta iela', 'Ostas iela']",residential,False,False,150.373,"LINESTRING (27.1643085 55.89543, 27.1642556 55.8953507, 27.1633229 55.8949309, 27.1630906 55.8948369, 27.1626188 55.895184)",,50,,
37700074,2,Rīgas iela,trunk,False,True,150.896,"LINESTRING (27.1643085 55.89543, 27.164495 55.8952838, 27.1651207 55.8948119, 27.1657484 55.8943393)",A6,50,7,
"[888402712, 854245958]",2,Rīgas iela,trunk,False,False,111.481,"LINESTRING (27.1643085 55.89543, 27.1639356 55.8956817, 27.1635686 55.8959446, 27.1631851 55.8962099)",A6,50,7,
30137279,2,18. novembra laukums,tertiary,True,False,76.51,"LINESTRING (27.1653262 55.8958081, 27.164366 55.8954736, 27.1643085 55.89543)",,50,9,
19209077,2,Rīgas iela,trunk,False,True,168.8,"LINESTRING (27.1588155 55.8976387, 27.1590869 55.897576, 27.1599727 55.8973581, 27.1604124 55.8972506, 27.1613028 55.8970391)",A6,50,3,
792968103,2,Rīgas iela,trunk,False,False,186.24,"LINESTRING (27.1588155 55.8976387, 27.1583856 55.897737, 27.1582588 55.897766, 27.1564508 55.8981858, 27.156052 55.8982747)",A6,50,3,
879153871,2,Aglonas iela,primary,False,False,141.813,"LINESTRING (27.1564665 55.8995287, 27.1561162 55.8984744, 27.156052 55.8982747)",P62,50,,
19209077,2,Rīgas iela,trunk,False,False,168.8,"LINESTRING (27.1613028 55.8970391, 27.1604124 55.8972506, 27.1599727 55.8973581, 27.1590869 55.897576, 27.1588155 55.8976387)",A6,50,3,
19209077,2,Rīgas iela,trunk,False,True,57.416000000000004,"LINESTRING (27.1613028 55.8970391, 27.1615458 55.8969739, 27.1621336 55.8968163)",A6,50,3,
12955801,2,Sv. Ludvika laukums,tertiary,False,True,1.506,"LINESTRING (27.1696185 55.8971077, 27.1696395 55.8971144)",,50,,
20466665,1,Brīvības iela,tertiary,True,False,99.006,"LINESTRING (27.1696185 55.8971077, 27.1692674 55.8970207, 27.1682045 55.8967034)",,50,,
13456998,2,Lāčplēša iela,tertiary,True,False,50.469,"LINESTRING (27.1671917 55.8943912, 27.1674562 55.894722, 27.1675168 55.8948068)",,50,,
13459739,,Tirgus iela,residential,True,False,195.868,"LINESTRING (27.1671917 55.8943912, 27.1671328 55.8944412, 27.1653883 55.8957521, 27.1653262 55.8958081)",,,,
37700074,2,Rīgas iela,trunk,False,False,82.457,"LINESTRING (27.1665302 55.8937412, 27.1657484 55.8943393)",A6,50,7,
185521870,2,Rīgas iela,trunk,False,True,144.553,"LINESTRING (27.1665302 55.8937412, 27.1679212 55.8927012)",A6,50,7,
13456998,2,Lāčplēša iela,tertiary,True,False,84.848,"LINESTRING (27.1665302 55.8937412, 27.1666151 55.8937749, 27.166736 55.8938299, 27.1668581 55.8939505, 27.1671917 55.8943912)",,50,,
185521870,2,Rīgas iela,trunk,False,False,25.078,"LINESTRING (27.1681575 55.8925187, 27.1679212 55.8927012)",A6,50,7,
185521870,2,Rīgas iela,trunk,False,True,128.772,"LINESTRING (27.1681575 55.8925187, 27.1693908 55.8915898)",A6,50,7,
