osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,ref
100313839,Комсомольская улица,tertiary,50,False,True,330.071,"LINESTRING (29.9143903 46.6247593, 29.9141597 46.6241203, 29.9140239 46.6237279, 29.9139776 46.623594, 29.9137549 46.6229387, 29.9136335 46.6226059, 29.9134636 46.622108, 29.913372 46.6218746)",,,
"[712004505, 711708603]",улица Котовского,tertiary,50,False,True,361.157,"LINESTRING (29.9143903 46.6247593, 29.9123171 46.625105, 29.9112923 46.6252817, 29.9111263 46.6253065, 29.9109895 46.6253321, 29.9107874 46.6253675, 29.9103565 46.6254431, 29.9098 46.6255406)",2,,
238475858,улица Строителей,tertiary,50,False,False,41.32,"LINESTRING (29.9087238 46.6219226, 29.9092502 46.6218367)",,,
"[136035344, 136035345]","['улица Терпиловского', 'улица 25 Октября']",residential,,False,"[False, True]",242.378,"LINESTRING (29.9087238 46.6219226, 29.9088222 46.6222403, 29.9091791 46.6231164, 29.9094369 46.6238763, 29.909204 46.6239166)",,yes,
238475858,улица Строителей,tertiary,50,False,True,173.93900000000002,"LINESTRING (29.9087238 46.6219226, 29.9081046 46.6220173, 29.9069635 46.6222303, 29.9065148 46.6223022)",,,
100313839,Комсомольская улица,tertiary,50,False,False,78.497,"LINESTRING (29.9131443 46.6211862, 29.913372 46.6218746)",,,
238475858,улица Строителей,tertiary,50,False,True,306.10799999999995,"LINESTRING (29.9131443 46.6211862, 29.9120352 46.6213759, 29.9114824 46.6214759, 29.9112922 46.6215092, 29.9108599 46.6215892, 29.9106919 46.6216138, 29.9102871 46.6216773, 29.9101523 46.6216979, 29.9099442 46.6217284, 29.9096279 46.621776, 29.9094995 46.6217972, 29.9092502 46.6218367)",,,
238475858,улица Строителей,tertiary,50,False,True,41.32,"LINESTRING (29.9092502 46.6218367, 29.9087238 46.6219226)",,,
238475858,улица Строителей,tertiary,50,False,False,306.108,"LINESTRING (29.9092502 46.6218367, 29.9094995 46.6217972, 29.9096279 46.621776, 29.9099442 46.6217284, 29.9101523 46.6216979, 29.9102871 46.6216773, 29.9106919 46.6216138, 29.9108599 46.6215892, 29.9112922 46.6215092, 29.9114824 46.6214759, 29.9120352 46.6213759, 29.9131443 46.6211862)",,,
114681188,Тираспольская улица,primary,50,False,True,183.68200000000002,"LINESTRING (29.9046099 46.6264496, 29.9044898 46.626069, 29.9042704 46.6254616, 29.9040471 46.6248437)",,,R27
711708603,улица Котовского,tertiary,50,False,False,409.035,"LINESTRING (29.9046099 46.6264496, 29.9046866 46.6264353, 29.9068899 46.6260488, 29.9074716 46.6259487, 29.9080546 46.6258399, 29.9086524 46.6257394, 29.9092734 46.6256351, 29.9098 46.6255406)",2,,
114681188,Тираспольская улица,primary,50,False,False,132.66899999999998,"LINESTRING (29.9036287 46.6236857, 29.9037595 46.6240475, 29.9038779 46.6243754, 29.9039384 46.6245428, 29.9040471 46.6248437)",,,R27
114681188,Тираспольская улица,primary,50,False,True,93.01100000000001,"LINESTRING (29.9036287 46.6236857, 29.9033811 46.6230004, 29.9033198 46.622877)",,,R27
190232990,,residential,,False,False,318.97299999999996,"LINESTRING (29.9036287 46.6236857, 29.9040415 46.6236138, 29.904312 46.623569, 29.9049245 46.6234613, 29.9055135 46.6233628, 29.9060014 46.6232805, 29.9064101 46.6244363)",,,
114681188,Тираспольская улица,primary,50,False,False,93.01100000000001,"LINESTRING (29.9033198 46.622877, 29.9033811 46.6230004, 29.9036287 46.6236857)",,,R27
238475858,улица Строителей,tertiary,50,False,False,252.253,"LINESTRING (29.9033198 46.622877, 29.903415 46.6228575, 29.9037365 46.6227962, 29.9040091 46.622753, 29.904636 46.6226448, 29.9052054 46.6225401, 29.9052581 46.6225291, 29.9065148 46.6223022)",,,
100313839,Комсомольская улица,tertiary,50,False,True,78.497,"LINESTRING (29.913372 46.6218746, 29.9131443 46.6211862)",,,
100313839,Комсомольская улица,tertiary,50,False,False,330.071,"LINESTRING (29.913372 46.6218746, 29.9134636 46.622108, 29.9136335 46.6226059, 29.9137549 46.6229387, 29.9139776 46.623594, 29.9140239 46.6237279, 29.9141597 46.6241203, 29.9143903 46.6247593)",,,
114681188,Тираспольская улица,primary,50,False,False,183.68200000000002,"LINESTRING (29.9040471 46.6248437, 29.9042704 46.6254616, 29.9044898 46.626069, 29.9046099 46.6264496)",,,R27
114681188,Тираспольская улица,primary,50,False,True,132.66899999999998,"LINESTRING (29.9040471 46.6248437, 29.9039384 46.6245428, 29.9038779 46.6243754, 29.9037595 46.6240475, 29.9036287 46.6236857)",,,R27
136035344,улица Терпиловского,residential,,False,False,186.05200000000002,"LINESTRING (29.9040471 46.6248437, 29.9059251 46.6245199, 29.9064101 46.6244363)",,yes,
238475858,улица Строителей,tertiary,50,False,False,173.939,"LINESTRING (29.9065148 46.6223022, 29.9069635 46.6222303, 29.9081046 46.6220173, 29.9087238 46.6219226)",,,
238475858,улица Строителей,tertiary,50,False,True,252.253,"LINESTRING (29.9065148 46.6223022, 29.9052581 46.6225291, 29.9052054 46.6225401, 29.904636 46.6226448, 29.9040091 46.622753, 29.9037365 46.6227962, 29.903415 46.6228575, 29.9033198 46.622877)",,,
190229770,,residential,,False,True,186.22799999999998,"LINESTRING (29.9098 46.6255406, 29.9097241 46.6253338, 29.9095681 46.6249088, 29.9095516 46.6248638, 29.9095237 46.6247877, 29.9093273 46.6242569, 29.909204 46.6239166)",,,
