osmid,name,highway,oneway,reversed,length,geometry,bridge,ref,junction
40629182,Strada Armata Sovietică,residential,False,False,193.066,"LINESTRING (28.4003338 45.6835945, 28.4005886 45.6832202, 28.401317 45.682123, 28.4013847 45.6820211)",,,
40629182,Strada Armata Sovietică,residential,False,True,52.912,"LINESTRING (28.4003338 45.6835945, 28.4001823 45.6838086, 28.400098 45.6839107, 28.4000066 45.6840113)",,,
40629184,Strada Nicutov,residential,False,False,88.09700000000001,"LINESTRING (28.3976826 45.6808827, 28.397621 45.6806921, 28.3974327 45.6801099)",,,
58645334,Strada Vladimir Lenin,primary,False,False,61.711999999999996,"LINESTRING (28.3976826 45.6808827, 28.3974973 45.6808328, 28.3973645 45.6808047, 28.3972533 45.6807913, 28.3970813 45.6807767, 28.3969104 45.6807749)",,,
58645334,Strada Vladimir Lenin,primary,False,True,149.885,"LINESTRING (28.3976826 45.6808827, 28.3983391 45.6810595, 28.3994579 45.6814094)",,,
1023023953,,living_street,False,True,163.739,"LINESTRING (28.3976826 45.6808827, 28.3979182 45.6808509, 28.3982715 45.6809303, 28.3986463 45.680969, 28.3992515 45.6811235, 28.3997147 45.6811918)",,,
40629184,Strada Nicutov,residential,False,True,57.322,"LINESTRING (28.3972744 45.6796064, 28.3974327 45.6801099)",,,
40629185,Strada Mihail Kalinin,residential,False,False,99.135,"LINESTRING (28.3972744 45.6796064, 28.3985124 45.6793903)",,,
40629185,Strada Mihail Kalinin,residential,False,True,93.213,"LINESTRING (28.3972744 45.6796064, 28.3967828 45.6796927, 28.3961051 45.6797937)",,,
40629186,Strada al 24-lea Congres,residential,False,False,99.538,"LINESTRING (28.3961051 45.6797937, 28.3958367 45.6789184)",,,
40629185,Strada Mihail Kalinin,residential,False,False,93.213,"LINESTRING (28.3961051 45.6797937, 28.3967828 45.6796927, 28.3972744 45.6796064)",,,
40629185,Strada Mihail Kalinin,residential,False,True,50.176,"LINESTRING (28.4014325 45.6788985, 28.400805 45.6790053)",,,
58645333,Strada Armata Sovietică,residential,False,True,358.47999999999996,"LINESTRING (28.4014325 45.6788985, 28.4016982 45.6795584, 28.4018246 45.6798391, 28.4019114 45.6801211, 28.401932 45.6802448, 28.4019369 45.6803599, 28.4019224 45.6805605, 28.4018814 45.6807918, 28.4018519 45.6809425, 28.4018175 45.681094, 28.4017672 45.6812563, 28.4017071 45.6813968, 28.4016258 45.6815479, 28.4015564 45.6816821, 28.4014931 45.6818218, 28.4014224 45.6819517, 28.4013847 45.6820211)",,,
637515099,Strada Mihail Kalinin,residential,False,True,82.15199999999999,"LINESTRING (28.4014325 45.6788985, 28.4016886 45.6788572, 28.4020258 45.6788088, 28.4024666 45.6787443)",,,
40629186,Strada al 24-lea Congres,residential,False,True,99.538,"LINESTRING (28.3958367 45.6789184, 28.3961051 45.6797937)",,,
40629182,Strada Armata Sovietică,residential,False,False,173.799,"LINESTRING (28.3992299 45.6854696, 28.3994675 45.6849759, 28.3996407 45.6845916, 28.3997454 45.6843351, 28.3998527 45.6841766, 28.4000066 45.6840113)",,,
62686178,Strada Ivan Turgheniev,residential,False,False,224.424,"LINESTRING (28.3992299 45.6854696, 28.3985111 45.685399, 28.398239 45.6853292, 28.3980398 45.6852579, 28.397817 45.6851231, 28.3975261 45.6849342, 28.3971888 45.6847435, 28.3967592 45.6845343)",,,
109714491,Strada Iurii Gagarin,residential,False,True,101.359,"LINESTRING (28.4063791 45.6793308, 28.4069833 45.6785229)",,,
109714491,Strada Iurii Gagarin,residential,False,False,207.453,"LINESTRING (28.4063791 45.6793308, 28.4055856 45.6803708, 28.4055312 45.6804422, 28.4051436 45.6809846)",,,
109714491,Strada Iurii Gagarin,residential,False,False,213.986,"LINESTRING (28.4037116 45.6827974, 28.4035744 45.6829732, 28.4031069 45.6835721, 28.4024095 45.6844932)",,,
109714491,Strada Iurii Gagarin,residential,False,True,75.416,"LINESTRING (28.4037116 45.6827974, 28.4038053 45.6826788, 28.4041807 45.6822036)",,,
"[62686241, 414503701, 58645334]",Strada Vladimir Lenin,primary,False,False,200.319,"LINESTRING (28.4037116 45.6827974, 28.4035348 45.6827379, 28.4024607 45.6823764, 28.4019094 45.6821939, 28.4015103 45.6820625, 28.4013847 45.6820211)",yes,,
"[722083347, 414503701]",Strada Vladimir Lenin,primary,False,True,233.48399999999998,"LINESTRING (28.4037116 45.6827974, 28.403807 45.6828303, 28.4062314 45.6836684, 28.4064069 45.6837265)",,,
58645334,Strada Vladimir Lenin,primary,False,True,61.712,"LINESTRING (28.3969104 45.6807749, 28.3970813 45.6807767, 28.3972533 45.6807913, 28.3973645 45.6808047, 28.3974973 45.6808328, 28.3976826 45.6808827)",,,
62686193,Strada Ananiev,tertiary,False,False,59.678,"LINESTRING (28.3969104 45.6807749, 28.3968195 45.6809268, 28.3966939 45.6811012, 28.3965703 45.6812555)",,L637,
40629185,Strada Mihail Kalinin,residential,False,False,50.176,"LINESTRING (28.400805 45.6790053, 28.4014325 45.6788985)",,,
40629185,Strada Mihail Kalinin,residential,False,True,183.183,"LINESTRING (28.400805 45.6790053, 28.4003273 45.6790855, 28.3985124 45.6793903)",,,
62686200,Strada Komarov,residential,False,False,345.868,"LINESTRING (28.400805 45.6790053, 28.4009344 45.6795099, 28.400937 45.6795483, 28.4009259 45.6795914, 28.4008966 45.6796242, 28.4008439 45.6796522, 28.4007765 45.6796783, 28.4006959 45.6796981, 28.3989367 45.6799291, 28.3982813 45.6800205, 28.3974327 45.6801099)",,,
62686211,Stradela Mihail Kalinin,residential,False,False,132.619,"LINESTRING (28.3981021 45.6782326, 28.3984946 45.67934, 28.3985124 45.6793903)",,,
62686178,Strada Ivan Turgheniev,residential,False,True,37.639,"LINESTRING (28.3963448 45.6843589, 28.3967592 45.6845343)",,,
62686234,Strada 25 de ani ai Moldovei,residential,False,False,48.616,"LINESTRING (28.3963448 45.6843589, 28.3959817 45.684715)",,,
62686316,Strada 25 de ani ai Moldovei,residential,False,False,184.202,"LINESTRING (28.3979586 45.6841082, 28.398101 45.684139, 28.3987756 45.6844157, 28.3988862 45.6844493, 28.39901 45.684462, 28.3991436 45.6844318, 28.3992739 45.6843701, 28.3995422 45.6842169, 28.4000066 45.6840113)",,,
62686316,Strada 25 de ani ai Moldovei,residential,False,True,107.269,"LINESTRING (28.3979586 45.6841082, 28.3977177 45.6841524, 28.3974763 45.6841954, 28.3972041 45.6842652, 28.3970468 45.6843369, 28.3968975 45.6844211, 28.3967592 45.6845343)",,,
40629184,Strada Nicutov,residential,False,False,57.322,"LINESTRING (28.3974327 45.6801099, 28.3972744 45.6796064)",,,
40629184,Strada Nicutov,residential,False,True,88.09700000000001,"LINESTRING (28.3974327 45.6801099, 28.397621 45.6806921, 28.3976826 45.6808827)",,,
62686200,Strada Komarov,residential,False,True,345.868,"LINESTRING (28.3974327 45.6801099, 28.3982813 45.6800205, 28.3989367 45.6799291, 28.4006959 45.6796981, 28.4007765 45.6796783, 28.4008439 45.6796522, 28.4008966 45.6796242, 28.4009259 45.6795914, 28.400937 45.6795483, 28.4009344 45.6795099, 28.400805 45.6790053)",,,
62686178,Strada Ivan Turgheniev,residential,False,False,37.639,"LINESTRING (28.3967592 45.6845343, 28.3963448 45.6843589)",,,
62686178,Strada Ivan Turgheniev,residential,False,True,224.424,"LINESTRING (28.3967592 45.6845343, 28.3971888 45.6847435, 28.3975261 45.6849342, 28.397817 45.6851231, 28.3980398 45.6852579, 28.398239 45.6853292, 28.3985111 45.685399, 28.3992299 45.6854696)",,,
62686316,Strada 25 de ani ai Moldovei,residential,False,False,107.26899999999999,"LINESTRING (28.3967592 45.6845343, 28.3968975 45.6844211, 28.3970468 45.6843369, 28.3972041 45.6842652, 28.3974763 45.6841954, 28.3977177 45.6841524, 28.3979586 45.6841082)",,,
